tmc,hour,vol.fraction
110+05364,18,0.055875
110+05364,19,0.045763
110+05364,20,0.03784
110+05364,21,0.031826
110+05364,22,0.025555
110+05364,23,0.019764
110+05365,0,0.016247
110+05365,1,0.0138
110+05365,2,0.012603
110+05365,3,0.01438
110+05365,4,0.017021
110+05365,5,0.023391
110+05365,6,0.031432
110+05365,7,0.044008
110+05365,8,0.046574
110+05365,9,0.050171
110+05365,10,0.055451
110+05365,11,0.059351
110+05365,12,0.061383
110+05365,13,0.065368
110+05365,14,0.068711
110+05365,15,0.07224
110+05365,16,0.069661
110+05365,17,0.065998
110+05365,18,0.053959
110+05365,19,0.044833
110+05365,20,0.037167
110+05365,21,0.031155
110+05365,22,0.02517
110+05365,23,0.019927
110+05366,0,0.016247
110+05366,1,0.0138
110+05366,2,0.012603
110+05366,3,0.01438
110+05366,4,0.017021
110+05366,5,0.023391
110+05366,6,0.031432
110+05366,7,0.044008
110+05366,8,0.046574
110+05366,9,0.050171
110+05366,10,0.055451
110+05366,11,0.059351
110+05366,12,0.061383
110+05366,13,0.065368
110+05366,14,0.068711
110+05366,15,0.07224
110+05366,16,0.069661
110+05366,17,0.065998
110+05366,18,0.053959
110+05366,19,0.044833
110+05366,20,0.037167
110+05366,21,0.031155
110+05366,22,0.02517
110+05366,23,0.019927
110+05367,0,0.016876
110+05367,1,0.014256
110+05367,2,0.013117
110+05367,3,0.014838
110+05367,4,0.018405
110+05367,5,0.02399
110+05367,6,0.034178
110+05367,7,0.045842
110+05367,8,0.047452
110+05367,9,0.050483
110+05367,10,0.054933
110+05367,11,0.058672
110+05367,12,0.060119
110+05367,13,0.063646
110+05367,14,0.067771
110+05367,15,0.06985
110+05367,16,0.068362
110+05367,17,0.065689
110+05367,18,0.053779
110+05367,19,0.044204
110+05367,20,0.036703
110+05367,21,0.030795
110+05367,22,0.02574
110+05367,23,0.020302
110+05368,0,0.014729
110+05368,1,0.013901
110+05368,2,0.012597
110+05368,3,0.015859
110+05368,4,0.018217
110+05368,5,0.023638
110+05368,6,0.03631
110+05368,7,0.048154
110+05368,8,0.049735
110+05368,9,0.053223
110+05368,10,0.056385
110+05368,11,0.056912
110+05368,12,0.05912
110+05368,13,0.06306
110+05368,14,0.065369
110+05368,15,0.068606
110+05368,16,0.068606
110+05368,17,0.065595
110+05368,18,0.051717
110+05368,19,0.045996
110+05368,20,0.036687
110+05368,21,0.029385
110+05368,22,0.025897
110+05368,23,0.020301
110+05369,0,0.016941
110+05369,1,0.014396
110+05369,2,0.013098
110+05369,3,0.014939
110+05369,4,0.01892
110+05369,5,0.024372
110+05369,6,0.034304
110+05369,7,0.046002
110+05369,8,0.047835
110+05369,9,0.050573
110+05369,10,0.054968
110+05369,11,0.058577
110+05369,12,0.060053
110+05369,13,0.062842
110+05369,14,0.066817
110+05369,15,0.069072
110+05369,16,0.067807
110+05369,17,0.065661
110+05369,18,0.054398
110+05369,19,0.044753
110+05369,20,0.036991
110+05369,21,0.030884
110+05369,22,0.025566
110+05369,23,0.020232
110+05370,0,0.015647
110+05370,1,0.013609
110+05370,2,0.012233
110+05370,3,0.014683
110+05370,4,0.023193
110+05370,5,0.030433
110+05370,6,0.044582
110+05370,7,0.052277
110+05370,8,0.050265
110+05370,9,0.05107
110+05370,10,0.054202
110+05370,11,0.056518
110+05370,12,0.058406
110+05370,13,0.060893
110+05370,14,0.064444
110+05370,15,0.065316
110+05370,16,0.066344
110+05370,17,0.063954
110+05370,18,0.052093
110+05370,19,0.042048
110+05370,20,0.0351
110+05370,21,0.02907
110+05370,22,0.024279
110+05370,23,0.019342
110+05371,0,0.015647
110+05371,1,0.013609
110+05371,2,0.012233
110+05371,3,0.014683
110+05371,4,0.023193
110+05371,5,0.030433
110+05371,6,0.044582
110+05371,7,0.052277
110+05371,8,0.050265
110+05371,9,0.05107
110+05371,10,0.054202
110+05371,11,0.056518
110+05371,12,0.058406
110+05371,13,0.060893
110+05371,14,0.064444
110+05371,15,0.065316
110+05371,16,0.066344
110+05371,17,0.063954
110+05371,18,0.052093
110+05371,19,0.042048
110+05371,20,0.0351
110+05371,21,0.02907
110+05371,22,0.024279
110+05371,23,0.019342
110+05372,0,0.014982
110+05372,1,0.012806
110+05372,2,0.011872
110+05372,3,0.015331
110+05372,4,0.026535
110+05372,5,0.03457
110+05372,6,0.049331
110+05372,7,0.056961
110+05372,8,0.052445
110+05372,9,0.051238
110+05372,10,0.053467
110+05372,11,0.055339
110+05372,12,0.057303
110+05372,13,0.059246
110+05372,14,0.062583
110+05372,15,0.063702
110+05372,16,0.064283
110+05372,17,0.06231
110+05372,18,0.051257
110+05372,19,0.04088
110+05372,20,0.034024
110+05372,21,0.028219
110+05372,22,0.023009
110+05372,23,0.018306
110+05373,0,0.013809
110+05373,1,0.011861
110+05373,2,0.01128
110+05373,3,0.014891
110+05373,4,0.027497
110+05373,5,0.036238
110+05373,6,0.051686
110+05373,7,0.061877
110+05373,8,0.055817
110+05373,9,0.052054
110+05373,10,0.053378
110+05373,11,0.054742
110+05373,12,0.056519
110+05373,13,0.058179
110+05373,14,0.060991
110+05373,15,0.06367
110+05373,16,0.063601
110+05373,17,0.061367
110+05373,18,0.049798
110+05373,19,0.039735
110+05373,20,0.033009
110+05373,21,0.027656
110+05373,22,0.022581
110+05373,23,0.017764
110+05374,0,0.012248
110+05374,1,0.010219
110+05374,2,0.009337
110+05374,3,0.01022
110+05374,4,0.014763
110+05374,5,0.02616
110+05374,6,0.045598
110+05374,7,0.064084
110+05374,8,0.05964
110+05374,9,0.055305
110+05374,10,0.056113
110+05374,11,0.056958
110+05374,12,0.058234
110+05374,13,0.060462
110+05374,14,0.064345
110+05374,15,0.070597
110+05374,16,0.071228
110+05374,17,0.06975
110+05374,18,0.053229
110+05374,19,0.039104
110+05374,20,0.030986
110+05374,21,0.024682
110+05374,22,0.020126
110+05374,23,0.01661
110+05375,0,0.01221
110+05375,1,0.010013
110+05375,2,0.009289
110+05375,3,0.009931
110+05375,4,0.014371
110+05375,5,0.025553
110+05375,6,0.045712
110+05375,7,0.064144
110+05375,8,0.05862
110+05375,9,0.054011
110+05375,10,0.055478
110+05375,11,0.056783
110+05375,12,0.058449
110+05375,13,0.059843
110+05375,14,0.064138
110+05375,15,0.071499
110+05375,16,0.072106
110+05375,17,0.070291
110+05375,18,0.053874
110+05375,19,0.039491
110+05375,20,0.031655
110+05375,21,0.02555
110+05375,22,0.02038
110+05375,23,0.01661
110+05376,0,0.014195
110+05376,1,0.011412
110+05376,2,0.010452
110+05376,3,0.009928
110+05376,4,0.012942
110+05376,5,0.022206
110+05376,6,0.037651
110+05376,7,0.045119
110+05376,8,0.044923
110+05376,9,0.046878
110+05376,10,0.050256
110+05376,11,0.053139
110+05376,12,0.055096
110+05376,13,0.057586
110+05376,14,0.065759
110+05376,15,0.075613
110+05376,16,0.082268
110+05376,17,0.081544
110+05376,18,0.061595
110+05376,19,0.048109
110+05376,20,0.038487
110+05376,21,0.03162
110+05376,22,0.023921
110+05376,23,0.019299
110+05377,0,0.014178
110+05377,1,0.011442
110+05377,2,0.010425
110+05377,3,0.00995
110+05377,4,0.012637
110+05377,5,0.02137
110+05377,6,0.037037
110+05377,7,0.045476
110+05377,8,0.045292
110+05377,9,0.046774
110+05377,10,0.050258
110+05377,11,0.053206
110+05377,12,0.055178
110+05377,13,0.057544
110+05377,14,0.065946
110+05377,15,0.075885
110+05377,16,0.082957
110+05377,17,0.082358
110+05377,18,0.061654
110+05377,19,0.047856
110+05377,20,0.038159
110+05377,21,0.03133
110+05377,22,0.023918
110+05377,23,0.019171
110+05378,0,0.015133
110+05378,1,0.012392
110+05378,2,0.01137
110+05378,3,0.011061
110+05378,4,0.013868
110+05378,5,0.022882
110+05378,6,0.037748
110+05378,7,0.048114
110+05378,8,0.047111
110+05378,9,0.048133
110+05378,10,0.051604
110+05378,11,0.054295
110+05378,12,0.055838
110+05378,13,0.057925
110+05378,14,0.065522
110+05378,15,0.073931
110+05378,16,0.079227
110+05378,17,0.077524
110+05378,18,0.05881
110+05378,19,0.046033
110+05378,20,0.036981
110+05378,21,0.030782
110+05378,22,0.024121
110+05378,23,0.019594
110+05379,0,0.01133
110+05379,1,0.009147
110+05379,2,0.00938
110+05379,3,0.01183
110+05379,4,0.017231
110+05379,5,0.026348
110+05379,6,0.039036
110+05379,7,0.050232
110+05379,8,0.055533
110+05379,9,0.0541
110+05379,10,0.055691
110+05379,11,0.058384
110+05379,12,0.060268
110+05379,13,0.061585
110+05379,14,0.064294
110+05379,15,0.06591
110+05379,16,0.070745
110+05379,17,0.071495
110+05379,18,0.056863
110+05379,19,0.04436
110+05379,20,0.036546
110+05379,21,0.029958
110+05379,22,0.023066
110+05379,23,0.016667
110+05380,0,0.012671
110+05380,1,0.010316
110+05380,2,0.010449
110+05380,3,0.012914
110+05380,4,0.017962
110+05380,5,0.024745
110+05380,6,0.035473
110+05380,7,0.045774
110+05380,8,0.052952
110+05380,9,0.054346
110+05380,10,0.056193
110+05380,11,0.059009
110+05380,12,0.060904
110+05380,13,0.06168
110+05380,14,0.06328
110+05380,15,0.065522
110+05380,16,0.069473
110+05380,17,0.070334
110+05380,18,0.058439
110+05380,19,0.045716
110+05380,20,0.038459
110+05380,21,0.031887
110+05380,22,0.023885
110+05380,23,0.017617
110+05381,0,0.013507
110+05381,1,0.011004
110+05381,2,0.011126
110+05381,3,0.013696
110+05381,4,0.019186
110+05381,5,0.025152
110+05381,6,0.033776
110+05381,7,0.041523
110+05381,8,0.049646
110+05381,9,0.054243
110+05381,10,0.056828
110+05381,11,0.059411
110+05381,12,0.06113
110+05381,13,0.063144
110+05381,14,0.064024
110+05381,15,0.065516
110+05381,16,0.067883
110+05381,17,0.068233
110+05381,18,0.058382
110+05381,19,0.046449
110+05381,20,0.039521
110+05381,21,0.033012
110+05381,22,0.024947
110+05381,23,0.018663
110+05382,0,0.014131
110+05382,1,0.011433
110+05382,2,0.011411
110+05382,3,0.013844
110+05382,4,0.019286
110+05382,5,0.024586
110+05382,6,0.032356
110+05382,7,0.040833
110+05382,8,0.048378
110+05382,9,0.053608
110+05382,10,0.056422
110+05382,11,0.059402
110+05382,12,0.061318
110+05382,13,0.063341
110+05382,14,0.064402
110+05382,15,0.065345
110+05382,16,0.066249
110+05382,17,0.066422
110+05382,18,0.058352
110+05382,19,0.047489
110+05382,20,0.041107
110+05382,21,0.034352
110+05382,22,0.026495
110+05382,23,0.019438
110+05383,0,0.015604
110+05383,1,0.013195
110+05383,2,0.013379
110+05383,3,0.016358
110+05383,4,0.021888
110+05383,5,0.025314
110+05383,6,0.032023
110+05383,7,0.04021
110+05383,8,0.047446
110+05383,9,0.053741
110+05383,10,0.056678
110+05383,11,0.059134
110+05383,12,0.060461
110+05383,13,0.062301
110+05383,14,0.062751
110+05383,15,0.062777
110+05383,16,0.063153
110+05383,17,0.062922
110+05383,18,0.057195
110+05383,19,0.047832
110+05383,20,0.041635
110+05383,21,0.03536
110+05383,22,0.027855
110+05383,23,0.020787
110+05384,0,0.014844
110+05384,1,0.012386
110+05384,2,0.011987
110+05384,3,0.014861
110+05384,4,0.022138
110+05384,5,0.027787
110+05384,6,0.036456
110+05384,7,0.045157
110+05384,8,0.0499
110+05384,9,0.054628
110+05384,10,0.056938
110+05384,11,0.059142
110+05384,12,0.060411
110+05384,13,0.061942
110+05384,14,0.062234
110+05384,15,0.061751
110+05384,16,0.061162
110+05384,17,0.060475
110+05384,18,0.055805
110+05384,19,0.047136
110+05384,20,0.040745
110+05384,21,0.034768
110+05384,22,0.027313
110+05384,23,0.020036
110+05390,0,0.013942
110+05390,1,0.011986
110+05390,2,0.011833
110+05390,3,0.015666
110+05390,4,0.025505
110+05390,5,0.032749
110+05390,6,0.043004
110+05390,7,0.05196
110+05390,8,0.052853
110+05390,9,0.055575
110+05390,10,0.056354
110+05390,11,0.057803
110+05390,12,0.059263
110+05390,13,0.061357
110+05390,14,0.061429
110+05390,15,0.060389
110+05390,16,0.058757
110+05390,17,0.057662
110+05390,18,0.05313
110+05390,19,0.044782
110+05390,20,0.0385
110+05390,21,0.032472
110+05390,22,0.024612
110+05390,23,0.018415
110+05392,0,0.014432
110+05392,1,0.012075
110+05392,2,0.010946
110+05392,3,0.011751
110+05392,4,0.018524
110+05392,5,0.029689
110+05392,6,0.037403
110+05392,7,0.049428
110+05392,8,0.051149
110+05392,9,0.05364
110+05392,10,0.059166
110+05392,11,0.064221
110+05392,12,0.065442
110+05392,13,0.065665
110+05392,14,0.067697
110+05392,15,0.068721
110+05392,16,0.064838
110+05392,17,0.062144
110+05392,18,0.049536
110+05392,19,0.039564
110+05392,20,0.033606
110+05392,21,0.029395
110+05392,22,0.022828
110+05392,23,0.018141
110+05393,0,0.013097
110+05393,1,0.012233
110+05393,2,0.010207
110+05393,3,0.011639
110+05393,4,0.018849
110+05393,5,0.032539
110+05393,6,0.038885
110+05393,7,0.050902
110+05393,8,0.054736
110+05393,9,0.056708
110+05393,10,0.057599
110+05393,11,0.062378
110+05393,12,0.065484
110+05393,13,0.066429
110+05393,14,0.068805
110+05393,15,0.068913
110+05393,16,0.063135
110+05393,17,0.06065
110+05393,18,0.046986
110+05393,19,0.040965
110+05393,20,0.030541
110+05393,21,0.025572
110+05393,22,0.025978
110+05393,23,0.016769
110+05394,0,0.018085
110+05394,1,0.015508
110+05394,2,0.014463
110+05394,3,0.01516
110+05394,4,0.022245
110+05394,5,0.035036
110+05394,6,0.042369
110+05394,7,0.055722
110+05394,8,0.056596
110+05394,9,0.056527
110+05394,10,0.057356
110+05394,11,0.058179
110+05394,12,0.057313
110+05394,13,0.057085
110+05394,14,0.05772
110+05394,15,0.058232
110+05394,16,0.056435
110+05394,17,0.057369
110+05394,18,0.048441
110+05394,19,0.040818
110+05394,20,0.036366
110+05394,21,0.033585
110+05394,22,0.0273
110+05394,23,0.022091
110+05395,0,0.014667
110+05395,1,0.012457
110+05395,2,0.011453
110+05395,3,0.0123
110+05395,4,0.019643
110+05395,5,0.03512
110+05395,6,0.041957
110+05395,7,0.055
110+05395,8,0.05344
110+05395,9,0.053814
110+05395,10,0.058078
110+05395,11,0.062237
110+05395,12,0.06339
110+05395,13,0.06364
110+05395,14,0.065907
110+05395,15,0.067248
110+05395,16,0.061545
110+05395,17,0.059256
110+05395,18,0.048651
110+05395,19,0.038065
110+05395,20,0.032358
110+05395,21,0.028786
110+05395,22,0.022956
110+05395,23,0.018031
110+05396,0,0.013503
110+05396,1,0.011072
110+05396,2,0.010442
110+05396,3,0.011747
110+05396,4,0.019264
110+05396,5,0.032947
110+05396,6,0.041341
110+05396,7,0.056869
110+05396,8,0.054416
110+05396,9,0.056532
110+05396,10,0.058512
110+05396,11,0.062788
110+05396,12,0.063778
110+05396,13,0.064498
110+05396,14,0.06675
110+05396,15,0.068775
110+05396,16,0.063103
110+05396,17,0.060605
110+05396,18,0.048115
110+05396,19,0.037156
110+05396,20,0.030674
110+05396,21,0.027164
110+05396,22,0.023
110+05396,23,0.016946
110+05397,0,0.014826
110+05397,1,0.012495
110+05397,2,0.011475
110+05397,3,0.011951
110+05397,4,0.018479
110+05397,5,0.033982
110+05397,6,0.041641
110+05397,7,0.053726
110+05397,8,0.052872
110+05397,9,0.053783
110+05397,10,0.057779
110+05397,11,0.061959
110+05397,12,0.063407
110+05397,13,0.063876
110+05397,14,0.065261
110+05397,15,0.067995
110+05397,16,0.0626
110+05397,17,0.060255
110+05397,18,0.04931
110+05397,19,0.038681
110+05397,20,0.032748
110+05397,21,0.029431
110+05397,22,0.023405
110+05397,23,0.018061
110+05398,0,0.016358
110+05398,1,0.011664
110+05398,2,0.010777
110+05398,3,0.010706
110+05398,4,0.014657
110+05398,5,0.024333
110+05398,6,0.041194
110+05398,7,0.060761
110+05398,8,0.055707
110+05398,9,0.053408
110+05398,10,0.054342
110+05398,11,0.054127
110+05398,12,0.056689
110+05398,13,0.059372
110+05398,14,0.066269
110+05398,15,0.071873
110+05398,16,0.071251
110+05398,17,0.064928
110+05398,18,0.057767
110+05398,19,0.04378
110+05398,20,0.032835
110+05398,21,0.027375
110+05398,22,0.021267
110+05398,23,0.018561
110+05399,0,0.015177
110+05399,1,0.012466
110+05399,2,0.011004
110+05399,3,0.010415
110+05399,4,0.013807
110+05399,5,0.023388
110+05399,6,0.040108
110+05399,7,0.057479
110+05399,8,0.056489
110+05399,9,0.05464
110+05399,10,0.057799
110+05399,11,0.061282
110+05399,12,0.063658
110+05399,13,0.064679
110+05399,14,0.067902
110+05399,15,0.068656
110+05399,16,0.068513
110+05399,17,0.063322
110+05399,18,0.050913
110+05399,19,0.038959
110+05399,20,0.031814
110+05399,21,0.027821
110+05399,22,0.022699
110+05399,23,0.017011
110+05400,0,0.015086
110+05400,1,0.012644
110+05400,2,0.011236
110+05400,3,0.010545
110+05400,4,0.013544
110+05400,5,0.021784
110+05400,6,0.039444
110+05400,7,0.055163
110+05400,8,0.056866
110+05400,9,0.055252
110+05400,10,0.058231
110+05400,11,0.061739
110+05400,12,0.064211
110+05400,13,0.065167
110+05400,14,0.067824
110+05400,15,0.068341
110+05400,16,0.069045
110+05400,17,0.063623
110+05400,18,0.051071
110+05400,19,0.039187
110+05400,20,0.031981
110+05400,21,0.027943
110+05400,22,0.022933
110+05400,23,0.017141
110+05401,0,0.013241
110+05401,1,0.01127
110+05401,2,0.010136
110+05401,3,0.00996
110+05401,4,0.01267
110+05401,5,0.020965
110+05401,6,0.037969
110+05401,7,0.056995
110+05401,8,0.057783
110+05401,9,0.054048
110+05401,10,0.056496
110+05401,11,0.061532
110+05401,12,0.06401
110+05401,13,0.064516
110+05401,14,0.067167
110+05401,15,0.070027
110+05401,16,0.073286
110+05401,17,0.069402
110+05401,18,0.051595
110+05401,19,0.03963
110+05401,20,0.031624
110+05401,21,0.027188
110+05401,22,0.022115
110+05401,23,0.016376
110+05402,0,0.010696
110+05402,1,0.009987
110+05402,2,0.007643
110+05402,3,0.008391
110+05402,4,0.012015
110+05402,5,0.023401
110+05402,6,0.043256
110+05402,7,0.076347
110+05402,8,0.068094
110+05402,9,0.055704
110+05402,10,0.052494
110+05402,11,0.059053
110+05402,12,0.061614
110+05402,13,0.060727
110+05402,14,0.061476
110+05402,15,0.065809
110+05402,16,0.069355
110+05402,17,0.070517
110+05402,18,0.050524
110+05402,19,0.038036
110+05402,20,0.031358
110+05402,21,0.027931
110+05402,22,0.020722
110+05402,23,0.014852
110+05403,0,0.010696
110+05403,1,0.009987
110+05403,2,0.007643
110+05403,3,0.008391
110+05403,4,0.012015
110+05403,5,0.023401
110+05403,6,0.043256
110+05403,7,0.076347
110+05403,8,0.068094
110+05403,9,0.055704
110+05403,10,0.052494
110+05403,11,0.059053
110+05403,12,0.061614
110+05403,13,0.060727
110+05403,14,0.061476
110+05403,15,0.065809
110+05403,16,0.069355
110+05403,17,0.070517
110+05403,18,0.050524
110+05403,19,0.038036
110+05403,20,0.031358
110+05403,21,0.027931
110+05403,22,0.020722
110+05403,23,0.014852
110+05404,0,0.012119
110+05404,1,0.010202
110+05404,2,0.009565
110+05404,3,0.009952
110+05404,4,0.013919
110+05404,5,0.024026
110+05404,6,0.042332
110+05404,7,0.058704
110+05404,8,0.053728
110+05404,9,0.053974
110+05404,10,0.055524
110+05404,11,0.058967
110+05404,12,0.062721
110+05404,13,0.06551
110+05404,14,0.067493
110+05404,15,0.070423
110+05404,16,0.073456
110+05404,17,0.071574
110+05404,18,0.051362
110+05404,19,0.039168
110+05404,20,0.03122
110+05404,21,0.027191
110+05404,22,0.021085
110+05404,23,0.015784
110+05405,0,0.015592
110+05405,1,0.013543
110+05405,2,0.011857
110+05405,3,0.013712
110+05405,4,0.016773
110+05405,5,0.019761
110+05405,6,0.030316
110+05405,7,0.040221
110+05405,8,0.047474
110+05405,9,0.051957
110+05405,10,0.057596
110+05405,11,0.06403
110+05405,12,0.066681
110+05405,13,0.069718
110+05405,14,0.070778
110+05405,15,0.069115
110+05405,16,0.070079
110+05405,17,0.06844
110+05405,18,0.051692
110+05405,19,0.040751
110+05405,20,0.036341
110+05405,21,0.029906
110+05405,22,0.022846
110+05405,23,0.020821
110+05406,0,0.015592
110+05406,1,0.013543
110+05406,2,0.011857
110+05406,3,0.013712
110+05406,4,0.016773
110+05406,5,0.019761
110+05406,6,0.030316
110+05406,7,0.040221
110+05406,8,0.047474
110+05406,9,0.051957
110+05406,10,0.057596
110+05406,11,0.06403
110+05406,12,0.066681
110+05406,13,0.069718
110+05406,14,0.070778
110+05406,15,0.069115
110+05406,16,0.070079
110+05406,17,0.06844
110+05406,18,0.051692
110+05406,19,0.040751
110+05406,20,0.036341
110+05406,21,0.029906
110+05406,22,0.022846
110+05406,23,0.020821
110+05407,0,0.016244
110+05407,1,0.014483
110+05407,2,0.013368
110+05407,3,0.013522
110+05407,4,0.015645
110+05407,5,0.020309
110+05407,6,0.029039
110+05407,7,0.03937
110+05407,8,0.048875
110+05407,9,0.055432
110+05407,10,0.059717
110+05407,11,0.062627
110+05407,12,0.063892
110+05407,13,0.067353
110+05407,14,0.069121
110+05407,15,0.069188
110+05407,16,0.067498
110+05407,17,0.064237
110+05407,18,0.053268
110+05407,19,0.043746
110+05407,20,0.036123
110+05407,21,0.031051
110+05407,22,0.025634
110+05407,23,0.020259
110+05408,0,0.015289
110+05408,1,0.013338
110+05408,2,0.012217
110+05408,3,0.012335
110+05408,4,0.014547
110+05408,5,0.019381
110+05408,6,0.028515
110+05408,7,0.038765
110+05408,8,0.048416
110+05408,9,0.056264
110+05408,10,0.061059
110+05408,11,0.064154
110+05408,12,0.065837
110+05408,13,0.069824
110+05408,14,0.072248
110+05408,15,0.071635
110+05408,16,0.068851
110+05408,17,0.063725
110+05408,18,0.053088
110+05408,19,0.042367
110+05408,20,0.035027
110+05408,21,0.029789
110+05408,22,0.024007
110+05408,23,0.01932
110+05409,0,0.017046
110+05409,1,0.013746
110+05409,2,0.011885
110+05409,3,0.014416
110+05409,4,0.016749
110+05409,5,0.019826
110+05409,6,0.03124
110+05409,7,0.039726
110+05409,8,0.046004
110+05409,9,0.0531
110+05409,10,0.057517
110+05409,11,0.065756
110+05409,12,0.068758
110+05409,13,0.071438
110+05409,14,0.073869
110+05409,15,0.068014
110+05409,16,0.066103
110+05409,17,0.062058
110+05409,18,0.051859
110+05409,19,0.040346
110+05409,20,0.036624
110+05409,21,0.029429
110+05409,22,0.024417
110+05409,23,0.020074
110+05410,0,0.016302
110+05410,1,0.01423
110+05410,2,0.012835
110+05410,3,0.013097
110+05410,4,0.014958
110+05410,5,0.019237
110+05410,6,0.028532
110+05410,7,0.038625
110+05410,8,0.047285
110+05410,9,0.055667
110+05410,10,0.060658
110+05410,11,0.063423
110+05410,12,0.064944
110+05410,13,0.068501
110+05410,14,0.070914
110+05410,15,0.070242
110+05410,16,0.067724
110+05410,17,0.062171
110+05410,18,0.053555
110+05410,19,0.043473
110+05410,20,0.036446
110+05410,21,0.030809
110+05410,22,0.025857
110+05410,23,0.020515
110+05411,0,0.017687
110+05411,1,0.01371
110+05411,2,0.014123
110+05411,3,0.013142
110+05411,4,0.014769
110+05411,5,0.018874
110+05411,6,0.02835
110+05411,7,0.03873
110+05411,8,0.046656
110+05411,9,0.054557
110+05411,10,0.059824
110+05411,11,0.063026
110+05411,12,0.062897
110+05411,13,0.065815
110+05411,14,0.070849
110+05411,15,0.069326
110+05411,16,0.067596
110+05411,17,0.059153
110+05411,18,0.055435
110+05411,19,0.045572
110+05411,20,0.035889
110+05411,21,0.032094
110+05411,22,0.026853
110+05411,23,0.025071
110+05412,0,0.016849
110+05412,1,0.01437
110+05412,2,0.012909
110+05412,3,0.012897
110+05412,4,0.014214
110+05412,5,0.018904
110+05412,6,0.027068
110+05412,7,0.040177
110+05412,8,0.046582
110+05412,9,0.054428
110+05412,10,0.059332
110+05412,11,0.062764
110+05412,12,0.064168
110+05412,13,0.067777
110+05412,14,0.07043
110+05412,15,0.071226
110+05412,16,0.067729
110+05412,17,0.063167
110+05412,18,0.054716
110+05412,19,0.044488
110+05412,20,0.036686
110+05412,21,0.031199
110+05412,22,0.026488
110+05412,23,0.021432
110+05413,0,0.015931
110+05413,1,0.013527
110+05413,2,0.012503
110+05413,3,0.012789
110+05413,4,0.014399
110+05413,5,0.020744
110+05413,6,0.029789
110+05413,7,0.043287
110+05413,8,0.048242
110+05413,9,0.054445
110+05413,10,0.059359
110+05413,11,0.061953
110+05413,12,0.063589
110+05413,13,0.067141
110+05413,14,0.069739
110+05413,15,0.071579
110+05413,16,0.069247
110+05413,17,0.063523
110+05413,18,0.053447
110+05413,19,0.043239
110+05413,20,0.035587
110+05413,21,0.030198
110+05413,22,0.025253
110+05413,23,0.02049
110+05415,0,0.01493
110+05415,1,0.012477
110+05415,2,0.0117
110+05415,3,0.011593
110+05415,4,0.017086
110+05415,5,0.028077
110+05415,6,0.034294
110+05415,7,0.038022
110+05415,8,0.044862
110+05415,9,0.053182
110+05415,10,0.061394
110+05415,11,0.065092
110+05415,12,0.064663
110+05415,13,0.065762
110+05415,14,0.068624
110+05415,15,0.067113
110+05415,16,0.066946
110+05415,17,0.061892
110+05415,18,0.052927
110+05415,19,0.04524
110+05415,20,0.037853
110+05415,21,0.030801
110+05415,22,0.026112
110+05415,23,0.019358
110+05416,0,0.015366
110+05416,1,0.012756
110+05416,2,0.01211
110+05416,3,0.011762
110+05416,4,0.016746
110+05416,5,0.028912
110+05416,6,0.036167
110+05416,7,0.03914
110+05416,8,0.044945
110+05416,9,0.052205
110+05416,10,0.060034
110+05416,11,0.063914
110+05416,12,0.063961
110+05416,13,0.064925
110+05416,14,0.067554
110+05416,15,0.066702
110+05416,16,0.065856
110+05416,17,0.062423
110+05416,18,0.053262
110+05416,19,0.045465
110+05416,20,0.038028
110+05416,21,0.031189
110+05416,22,0.026639
110+05416,23,0.01994
110+05417,0,0.015313
110+05417,1,0.012884
110+05417,2,0.012129
110+05417,3,0.011958
110+05417,4,0.017235
110+05417,5,0.03163
110+05417,6,0.040179
110+05417,7,0.041328
110+05417,8,0.046035
110+05417,9,0.051898
110+05417,10,0.058957
110+05417,11,0.062605
110+05417,12,0.063003
110+05417,13,0.06383
110+05417,14,0.06648
110+05417,15,0.065835
110+05417,16,0.064265
110+05417,17,0.061732
110+05417,18,0.052837
110+05417,19,0.044897
110+05417,20,0.037751
110+05417,21,0.030896
110+05417,22,0.026439
110+05417,23,0.019884
110+05418,0,0.015303
110+05418,1,0.013008
110+05418,2,0.012267
110+05418,3,0.012105
110+05418,4,0.016925
110+05418,5,0.028537
110+05418,6,0.036423
110+05418,7,0.042672
110+05418,8,0.047253
110+05418,9,0.05322
110+05418,10,0.060177
110+05418,11,0.063262
110+05418,12,0.063463
110+05418,13,0.064313
110+05418,14,0.065814
110+05418,15,0.066553
110+05418,16,0.064747
110+05418,17,0.065387
110+05418,18,0.051985
110+05418,19,0.043948
110+05418,20,0.036965
110+05418,21,0.030496
110+05418,22,0.025249
110+05418,23,0.019929
110+05419,0,0.015577
110+05419,1,0.013282
110+05419,2,0.012476
110+05419,3,0.012288
110+05419,4,0.016783
110+05419,5,0.027922
110+05419,6,0.033145
110+05419,7,0.040689
110+05419,8,0.046308
110+05419,9,0.053766
110+05419,10,0.06108
110+05419,11,0.064131
110+05419,12,0.063932
110+05419,13,0.064764
110+05419,14,0.066273
110+05419,15,0.067096
110+05419,16,0.065045
110+05419,17,0.064928
110+05419,18,0.052381
110+05419,19,0.04432
110+05419,20,0.037469
110+05419,21,0.030878
110+05419,22,0.025167
110+05419,23,0.020299
110+05420,0,0.015444
110+05420,1,0.013074
110+05420,2,0.012233
110+05420,3,0.012039
110+05420,4,0.01623
110+05420,5,0.02783
110+05420,6,0.033356
