tmc,hour,vol.fraction
110+04130,16,0.055967
110+04130,17,0.049686
110+04130,18,0.051244
110+04130,19,0.048566
110+04130,20,0.042001
110+04130,21,0.035953
110+04130,22,0.030182
110+04130,23,0.022074
110+04143,0,0.012585
110+04143,1,0.010101
110+04143,2,0.0101
110+04143,3,0.016466
110+04143,4,0.041511
110+04143,5,0.061208
110+04143,6,0.061148
110+04143,7,0.056386
110+04143,8,0.054336
110+04143,9,0.053768
110+04143,10,0.052546
110+04143,11,0.052272
110+04143,12,0.052582
110+04143,13,0.052583
110+04143,14,0.052401
110+04143,15,0.051713
110+04143,16,0.051248
110+04143,17,0.051217
110+04143,18,0.046902
110+04143,19,0.043324
110+04143,20,0.038805
110+04143,21,0.033841
110+04143,22,0.024881
110+04143,23,0.018078
110+04144,0,0.012585
110+04144,1,0.010101
110+04144,2,0.0101
110+04144,3,0.016466
110+04144,4,0.041511
110+04144,5,0.061208
110+04144,6,0.061148
110+04144,7,0.056386
110+04144,8,0.054336
110+04144,9,0.053768
110+04144,10,0.052546
110+04144,11,0.052272
110+04144,12,0.052582
110+04144,13,0.052583
110+04144,14,0.052401
110+04144,15,0.051713
110+04144,16,0.051248
110+04144,17,0.051217
110+04144,18,0.046902
110+04144,19,0.043324
110+04144,20,0.038805
110+04144,21,0.033841
110+04144,22,0.024881
110+04144,23,0.018078
110+04145,0,0.012248
110+04145,1,0.009825
110+04145,2,0.009464
110+04145,3,0.014726
110+04145,4,0.037375
110+04145,5,0.060605
110+04145,6,0.056254
110+04145,7,0.057071
110+04145,8,0.058537
110+04145,9,0.056668
110+04145,10,0.054315
110+04145,11,0.052847
110+04145,12,0.052864
110+04145,13,0.052897
110+04145,14,0.052659
110+04145,15,0.052011
110+04145,16,0.051565
110+04145,17,0.052602
110+04145,18,0.047386
110+04145,19,0.043325
110+04145,20,0.038428
110+04145,21,0.034319
110+04145,22,0.024173
110+04145,23,0.017834
110+04146,0,0.011527
110+04146,1,0.009341
110+04146,2,0.009764
110+04146,3,0.016997
110+04146,4,0.045836
110+04146,5,0.069294
110+04146,6,0.068707
110+04146,7,0.066982
110+04146,8,0.062879
110+04146,9,0.057487
110+04146,10,0.052332
110+04146,11,0.050412
110+04146,12,0.049837
110+04146,13,0.049199
110+04146,14,0.048184
110+04146,15,0.047279
110+04146,16,0.047745
110+04146,17,0.048209
110+04146,18,0.044492
