TMC,YEAR,lanes
110P05427,2017,2
110P05428,2017,2
110P05423,2017,2
110P05424,2017,2
110P05421,2017,2
110P05422,2017,2
110P05420,2017,2
110P05438,2017,2
110P05439,2017,2
110P05436,2017,2
110P05437,2017,2
110P05434,2017,2
110P05435,2017,2
110P05432,2017,2
110P05433,2017,2
110P05430,2017,2
110P05431,2017,2
110P05449,2017,2
110P05447,2017,2
110P05448,2017,2
110P05445,2017,2
110P05446,2017,2
110P05443,2017,2
110P05444,2017,2
110P05440,2017,2
110P04129,2017,4
110P05458,2017,2
110P04127,2017,3
110P05459,2017,2
110P04128,2017,4
110P04125,2017,4
110P05456,2017,2
110P04126,2017,4
110P05457,2017,2
110P05454,2017,2
110P04123,2017,4
110P05455,2017,2
110P04124,2017,4
110P04121,2017,3
110P05452,2017,2
110P05453,2017,2
110P04122,2017,4
110P05450,2017,2
110P05451,2017,2
110N15859,2017,3
110P05409,2017,2
110P05407,2017,2
110P05408,2017,2
110P05405,2017,2
110P05406,2017,2
110P05403,2017,2
110P05404,2017,2
110P05401,2017,2
110P05402,2017,2
110P05400,2017,2
110P05419,2017,2
110P05416,2017,2
110P05417,2017,2
110P05415,2017,2
110P05412,2017,2
110P05413,2017,2
110P05410,2017,2
110P05411,2017,2
110N10918,2017,4
110N10919,2017,4
110N10921,2017,4
110N10920,2017,4
110-04890,2017,2
110-04891,2017,2
110-04896,2017,2
110-04897,2017,2
110-04898,2017,2
110-04899,2017,2
110-04892,2017,2
110-04893,2017,2
110-04894,2017,2
110-04895,2017,2
110-04880,2017,3
110-04885,2017,4
110-04886,2017,4
110-04887,2017,4
110-04888,2017,4
110-04881,2017,3
110-04882,2017,4
110-04883,2017,5
110-04884,2017,5
110-04889,2017,2
110-04874,2017,2
110-04875,2017,2
110-04876,2017,2
110-04877,2017,2
110-04870,2017,2
110-04871,2017,2
110-04872,2017,2
110-04873,2017,2
110-04878,2017,3
110-04879,2017,3
110-04863,2017,3
110P04178,2017,4
110P04179,2017,4
110-04864,2017,3
110P04176,2017,3
110-04865,2017,3
110P04177,2017,4
110-04866,2017,3
110P04174,2017,2
110P04175,2017,2
110-04860,2017,4
110-04861,2017,4
110P04172,2017,2
110P04173,2017,2
110-04862,2017,3
110P04170,2017,2
110P04171,2017,2
110-04867,2017,3
110-04868,2017,3
110-04869,2017,2
110P04189,2017,2
110P04187,2017,2
110-04854,2017,2
110-04855,2017,2
110P04188,2017,2
110P04185,2017,4
110P04186,2017,2
110-04850,2017,3
110P04183,2017,4
110P04184,2017,4
110-04851,2017,3
110P04181,2017,4
110P04182,2017,4
110P04180,2017,4
110-04858,2017,3
110-04859,2017,4
110-04849,2017,3
110P04192,2017,2
110P04193,2017,2
110P04190,2017,2
110P04191,2017,2
110-04846,2017,3
110-04847,2017,3
110-04848,2017,3
110-04700,2017,3
110-04701,2017,3
110-04706,2017,4
110-04707,2017,4
110-04708,2017,3
110-04709,2017,3
110-04702,2017,3
110-04703,2017,4
110-04704,2017,4
110-04705,2017,4
110+05542,2017,2
110+05541,2017,2
110+05540,2017,2
110N05019,2017,3
110N05018,2017,3
110N05017,2017,3
110N05011,2017,2
110N05010,2017,2
110N05012,2017,2
110N05008,2017,2
110N05007,2017,2
110N05009,2017,2
110-04790,2017,3
110-04791,2017,3
110-04792,2017,3
110-04797,2017,2
110-04798,2017,2
110-04799,2017,2
110-04793,2017,3
110-04794,2017,3
110-04795,2017,3
110N05022,2017,3
110N05021,2017,3
110N05020,2017,3
110-04786,2017,3
110-04787,2017,3
110-04788,2017,3
110-04789,2017,3
110-04784,2017,3
110-04785,2017,3
110-04770,2017,2
110-04775,2017,4
110-04776,2017,4
110-04777,2017,4
110-04771,2017,3
110-04772,2017,3
110-04773,2017,3
110-04774,2017,3
110-04769,2017,2
110+05539,2017,2
110+05538,2017,2
110+05537,2017,2
110+05536,2017,2
110+05531,2017,2
110+05530,2017,2
110+05535,2017,2
110+05534,2017,2
110+05533,2017,2
110+05532,2017,2
110-04742,2017,3
110-04743,2017,4
110-04740,2017,3
110-04741,2017,3
110+05529,2017,2
110+05520,2017,2
110+05522,2017,2
110+05521,2017,2
110-04731,2017,2
110-04732,2017,3
110-04733,2017,2
110-04734,2017,3
110-04730,2017,2
110-04739,2017,3
110-04735,2017,2
110-04736,2017,3
110-04738,2017,3
110+05517,2017,2
110+05515,2017,2
110+05514,2017,2
110+05519,2017,2
110+05518,2017,2
110+05513,2017,2
110+05512,2017,2
110+05511,2017,2
110+05510,2017,2
110-04728,2017,4
110-04729,2017,2
110-04727,2017,4
110+05505,2017,2
110+05504,2017,2
110+05503,2017,2
110+05509,2017,2
110+05508,2017,2
110+05507,2017,2
110+05501,2017,2
110+05500,2017,2
110-04690,2017,3
110-04691,2017,2
110-04692,2017,2
110-04693,2017,2
110-04698,2017,4
110-04699,2017,4
110-04694,2017,2
110-04697,2017,4
110-04681,2017,2
110-04682,2017,2
110-04687,2017,3
110-04688,2017,3
110-04689,2017,3
110-04683,2017,2
110-04684,2017,2
110-04685,2017,2
110-04686,2017,2
110-04670,2017,4
110-04644,2017,5
110-04645,2017,6
110-04646,2017,4
110-04647,2017,4
110-04648,2017,4
110-04610,2017,4
110-04611,2017,4
110-04612,2017,4
110-04613,2017,4
110-04607,2017,4
110-04608,2017,4
110-04609,2017,4
110-04603,2017,4
110-04604,2017,4
110-04605,2017,4
110-04606,2017,4
110N04800,2017,2
110N04801,2017,2
110N04806,2017,2
110N04807,2017,3
110N04808,2017,3
110N04809,2017,3
110N04803,2017,2
110N04804,2017,2
110N04805,2017,2
110N04820,2017,3
110N04821,2017,3
110N04823,2017,4
110N04828,2017,2
110N04824,2017,4
110N04827,2017,2
110N04810,2017,3
110N04811,2017,3
110N04812,2017,3
110N04817,2017,3
110N04818,2017,3
110N04819,2017,3
110N04813,2017,3
110N04814,2017,3
110N04815,2017,3
110N04816,2017,3
110+16029,2017,3
110+05377,2017,2
110+05376,2017,2
110+05375,2017,2
110+05374,2017,2
110N04847,2017,3
110+05379,2017,3
110N04848,2017,3
110+05378,2017,2
110N04849,2017,3
110+05373,2017,2
110+05372,2017,2
110+05371,2017,2
110+05370,2017,2
110+05366,2017,2
110+05365,2017,2
110+05364,2017,2
110+05363,2017,2
110+05369,2017,2
110+05368,2017,2
110+05367,2017,2
110+05362,2017,2
110+05361,2017,2
110+05360,2017,2
110N04864,2017,3
110N04865,2017,3
110N04866,2017,3
110N04867,2017,3
110N04860,2017,4
110N04861,2017,4
110N04862,2017,3
110N04863,2017,3
110+05355,2017,2
110+05354,2017,2
110+05359,2017,2
110N04868,2017,3
110+05358,2017,2
110N04869,2017,3
110+05357,2017,2
110+05356,2017,2
110N04855,2017,2
110N04856,2017,2
110N04850,2017,3
110N04851,2017,3
110N04852,2017,3
110N04858,2017,3
110N04859,2017,4
110N04886,2017,4
110N04887,2017,4
110+16072,2017,3
110N04888,2017,4
110N04889,2017,4
110N04883,2017,4
110N04884,2017,5
110N04885,2017,4
110N04880,2017,3
110N04881,2017,3
110N04875,2017,2
110N04876,2017,2
110N04877,2017,2
110N04878,2017,2
110N04871,2017,2
110N04872,2017,2
110N04873,2017,2
110N04874,2017,2
110N04879,2017,3
110N04870,2017,2
110+05399,2017,2
110+05398,2017,2
110+05397,2017,2
110+05396,2017,2
110+05390,2017,3
110+05395,2017,2
110+05394,2017,2
110+05393,2017,2
110+05392,2017,2
110N04897,2017,2
110N04898,2017,2
110N04899,2017,2
110N04893,2017,2
110N04894,2017,2
110N04895,2017,2
110N04896,2017,2
110+05380,2017,3
110+05384,2017,3
110+05383,2017,3
110+05382,2017,3
110+05381,2017,3
110N04890,2017,2
110N04891,2017,2
110N04892,2017,2
110+04129,2017,4
110+05459,2017,2
110+04128,2017,4
110+05454,2017,2
110+04123,2017,4
110+04122,2017,3
110+05453,2017,2
110+05452,2017,2
110+04121,2017,3
110+05451,2017,2
110+05458,2017,2
110+04127,2017,4
110+04126,2017,4
110+05457,2017,2
110+05456,2017,2
110+04125,2017,4
110+05455,2017,2
110+04124,2017,4
110+05450,2017,2
110+05449,2017,2
110+05448,2017,2
110+05443,2017,2
110+05441,2017,2
110+05440,2017,2
110+05447,2017,2
110+05446,2017,2
110+05445,2017,2
110+05444,2017,2
110+05439,2017,2
110N04700,2017,4
110N04701,2017,3
110+05438,2017,2
110+05437,2017,2
110N04702,2017,3
110N04707,2017,4
110+05432,2017,2
110+05431,2017,2
110N04708,2017,4
110P05009,2017,2
110N04709,2017,3
110+05430,2017,2
110N04703,2017,4
110+05436,2017,2
110P05007,2017,2
110N04704,2017,4
110+05435,2017,2
110P05008,2017,2
110+05434,2017,2
110N04705,2017,4
110N04706,2017,4
110+05433,2017,2
110+05429,2017,2
110+05428,2017,2
110+05427,2017,2
110+05421,2017,2
110+05420,2017,2
110P05018,2017,3
110+05425,2017,2
110P05019,2017,3
110+05424,2017,2
110+05423,2017,2
110P05017,2017,3
110+05422,2017,2
110P05012,2017,2
110P05010,2017,2
110P05011,2017,2
110+04167,2017,2
110+05498,2017,2
110N04729,2017,2
110+05497,2017,2
110+04166,2017,2
110+05496,2017,2
110+04165,2017,2
110+05495,2017,2
110+04164,2017,2
110+04169,2017,2
110+05499,2017,2
110N04728,2017,4
110+04168,2017,2
110+05490,2017,3
110+04163,2017,2
110+05493,2017,3
110+05492,2017,3
110+05491,2017,3
110N04710,2017,3
110+05487,2017,2
110+04156,2017,4
110+04155,2017,4
110+05486,2017,2
110+05485,2017,2
110+04154,2017,4
110+05484,2017,2
110+04153,2017,4
110+04159,2017,4
110+04158,2017,4
110+04157,2017,4
110+05488,2017,2
110+05483,2017,2
110+04152,2017,3
110+05482,2017,2
110+04151,2017,3
110+04150,2017,3
110+05481,2017,2
110+05480,2017,2
110N04743,2017,3
110N04740,2017,3
110N04741,2017,3
110N04742,2017,3
110+04145,2017,3
110+05476,2017,2
110+04144,2017,3
110+05475,2017,2
110+05474,2017,2
110+04143,2017,3
110+05473,2017,2
110+04149,2017,3
110+04148,2017,3
110+05479,2017,2
110+04147,2017,3
110+05478,2017,2
110+04146,2017,3
110+05477,2017,2
110-09219,2017,2
110+05472,2017,2
110+05471,2017,2
110+05470,2017,2
110N04732,2017,2
110N04733,2017,2
110N04734,2017,2
110N04735,2017,3
110N04730,2017,2
110N04731,2017,2
110+05465,2017,3
110+05464,2017,3
110+05463,2017,3
110N04736,2017,2
110+05469,2017,2
110N04737,2017,2
110+05468,2017,2
110N04738,2017,2
110+05467,2017,2
110N04739,2017,3
110+05466,2017,3
110+05461,2017,2
110+04130,2017,4
110+05460,2017,2
110+04192,2017,2
110+04191,2017,2
110+04190,2017,2
110+04194,2017,2
110+04193,2017,2
110N04787,2017,3
110N04788,2017,3
110N04789,2017,4
110N04784,2017,3
110N04785,2017,3
110N04786,2017,3
110+04189,2017,2
110+04188,2017,2
110+04187,2017,2
110+04186,2017,4
110+04181,2017,4
110+04180,2017,4
110+04185,2017,4
110+04184,2017,4
110+04183,2017,4
110+04182,2017,4
110N04776,2017,4
110N04772,2017,3
110N04773,2017,3
110N04774,2017,3
110N04775,2017,3
110+04178,2017,4
110+04177,2017,4
110+04176,2017,3
110+04175,2017,2
110+04179,2017,4
110+04170,2017,2
110+04174,2017,2
110+04173,2017,2
110+04172,2017,2
110N04770,2017,2
110N04771,2017,3
110N04798,2017,2
110N04799,2017,2
110N04794,2017,3
110N04795,2017,3
110N04790,2017,3
110N04791,2017,3
110N04792,2017,3
110N04793,2017,3
110+05418,2017,2
110+05417,2017,2
110+05416,2017,2
110+05415,2017,2
110+05419,2017,2
110+05410,2017,2
110+05413,2017,2
110+05412,2017,2
110+05411,2017,2
110P05021,2017,3
110P05022,2017,3
110P05020,2017,3
110+05407,2017,2
110+05406,2017,2
110+05405,2017,2
110+05404,2017,2
110+05409,2017,2
110+05408,2017,2
110+05403,2017,2
110+05402,2017,2
110+05401,2017,2
110+05400,2017,2
110P10919,2017,4
110P10918,2017,4
110P10920,2017,4
110P10921,2017,4
110P15859,2017,3
110N04925,2017,3
110N04926,2017,3
110N04910,2017,3
110N04911,2017,3
110N04912,2017,3
110N04913,2017,3
110N04914,2017,2
110N04915,2017,2
110N04944,2017,4
110N04949,2017,3
110N04945,2017,3
110N04946,2017,3
110N04947,2017,3
110N04948,2017,3
110N04954,2017,3
110N04955,2017,4
110N04950,2017,3
110N04951,2017,3
110N04956,2017,3
110N04957,2017,3
110N04958,2017,3
110-04190,2017,2
110-04191,2017,2
110-04192,2017,2
110-04193,2017,2
110-04184,2017,4
110-04185,2017,4
110-04186,2017,2
110-04187,2017,2
110-04180,2017,4
110-04181,2017,4
110-04182,2017,4
110-04183,2017,4
110-04188,2017,2
110-04189,2017,2
110-04173,2017,2
110-04174,2017,2
110-04175,2017,3
110-04176,2017,3
110-04170,2017,2
110-04171,2017,2
110-04172,2017,2
110-04177,2017,3
110-04178,2017,3
110-04179,2017,4
110-05494,2017,2
110-04162,2017,2
110-04163,2017,2
110-05496,2017,2
110-04164,2017,2
110-04165,2017,2
110-05495,2017,2
110-05490,2017,3
110-05492,2017,3
110-05491,2017,3
110-05498,2017,2
110-04166,2017,2
110-05497,2017,2
110-04167,2017,2
110-04168,2017,2
110-04169,2017,2
110-05499,2017,2
110-04151,2017,3
110-05483,2017,2
110-05482,2017,2
110-04152,2017,4
110-05485,2017,2
110-04153,2017,4
110-04154,2017,4
110-05484,2017,2
110-05481,2017,2
110-04150,2017,3
110-05480,2017,2
110-05487,2017,2
110-05486,2017,2
110-04156,2017,5
110-05489,2017,3
110-04158,2017,5
110-05540,2017,2
110-05541,2017,2
110-05535,2017,2
110-05534,2017,2
110-05537,2017,2
110-05536,2017,2
110-05531,2017,2
110-05530,2017,2
110-05533,2017,2
110-05532,2017,2
110-05539,2017,2
110-05538,2017,2
110-05520,2017,2
110-05521,2017,2
110-05528,2017,2
110-05529,2017,2
110-05513,2017,2
110-05512,2017,2
110-05514,2017,2
110-05511,2017,2
110-05510,2017,2
110-05517,2017,2
110-05516,2017,2
110-05519,2017,2
110-05518,2017,2
110-05502,2017,2
110-05504,2017,2
110-05503,2017,2
110-05500,2017,2
110-05509,2017,2
110-05506,2017,2
110-05508,2017,2
110-05507,2017,2
110N04900,2017,2
110N04905,2017,3
110N04906,2017,3
110N04907,2017,3
110N04901,2017,2
110N04902,2017,2
110N04903,2017,2
110N04904,2017,3
110P04899,2017,2
110P04897,2017,2
110P04898,2017,2
110P04895,2017,2
110P04896,2017,2
110P04893,2017,2
110P04894,2017,2
110P04891,2017,2
110P04892,2017,2
110P04890,2017,2
110-16072,2017,3
110P04859,2017,4
110P04857,2017,3
110-05395,2017,2
110P04858,2017,3
110-05394,2017,2
110-05397,2017,2
110P04855,2017,2
110-05396,2017,2
110P04856,2017,2
110-05391,2017,2
110-05390,2017,3
110P04851,2017,3
110-05393,2017,2
110-05392,2017,2
110P04852,2017,3
110P04850,2017,3
110-05399,2017,2
110-05398,2017,2
110P04868,2017,3
110-05383,2017,3
110P04869,2017,3
110P04866,2017,3
110P04867,2017,3
110-05380,2017,3
110P04865,2017,3
110-05382,2017,3
110P04862,2017,3
110P04863,2017,3
110-05381,2017,3
110P04860,2017,4
110P04861,2017,4
110-05389,2017,3
110-16029,2017,3
110-05373,2017,2
110P04879,2017,3
110-05372,2017,2
110-05375,2017,2
110P04877,2017,2
110-05374,2017,2
110P04878,2017,3
110P04875,2017,2
110P04876,2017,2
110-05371,2017,2
110P04873,2017,2
110P04874,2017,2
110-05370,2017,2
110P04871,2017,2
110P04872,2017,2
110P04870,2017,3
