TMC,YEAR,PERIOD,ALL_WEATHER
110+04152,2018,PMP,0.045414538
110+04152,2018,WE,0.082634632
110+04152,2019,AMP,0.076710568
110+04152,2019,MIDD,0.026555804
110+04152,2019,PMP,0.032647403
110+04152,2019,WE,0.076710568
110+04152,2020,AMP,0.048837203
110+04152,2020,MIDD,0.018719607
110+04152,2020,PMP,0.025094625
110+04152,2020,WE,0.048837203
110+04153,2017,AMP,0.034801282
110+04153,2017,MIDD,0.024487714
110+04153,2017,PMP,0.02766266
110+04153,2017,WE,0.034801282
110+04153,2018,AMP,0.02932285
110+04153,2018,MIDD,0.00599333
110+04153,2018,PMP,0.006424808
110+04153,2018,WE,0.02932285
110+04153,2019,AMP,0.009997073
110+04153,2019,MIDD,0.007775472
110+04153,2019,PMP,0.00566092
110+04153,2019,WE,0.009997073
110+04153,2020,AMP,0.019390373
110+04153,2020,MIDD,0.006608178
110+04153,2020,PMP,0.010136238
110+04153,2020,WE,0.019390373
110+04154,2017,AMP,0.025003472
110+04154,2017,MIDD,0.019098469
110+04154,2017,PMP,0.014127404
110+04154,2017,WE,0.025003472
110+04154,2018,AMP,0.042664964
110+04154,2018,MIDD,0.021453455
110+04154,2018,PMP,0.022383195
110+04154,2018,WE,0.042664964
110+04154,2019,AMP,0.042583014
110+04154,2019,MIDD,0.038924365
110+04154,2019,PMP,0.034943859
110+04154,2019,WE,0.042583014
110+04154,2020,AMP,0.032415978
110+04154,2020,MIDD,0.021626202
110+04154,2020,PMP,0.029455577
110+04154,2020,WE,0.032415978
110+04155,2017,AMP,0.064137821
110+04155,2017,MIDD,0.084940705
110+04155,2017,PMP,0.087375267
110+04155,2017,WE,0.064137821
110+04155,2018,AMP,0.097602171
110+04155,2018,MIDD,0.068234
110+04155,2018,PMP,0.069209504
110+04155,2018,WE,0.097602171
110+04155,2019,AMP,0.086520062
110+04155,2019,MIDD,0.070755641
110+04155,2019,PMP,0.054101213
110+04155,2019,WE,0.086520062
110+04155,2020,AMP,0.052901559
110+04155,2020,MIDD,0.053114574
110+04155,2020,PMP,0.0331743
110+04155,2020,WE,0.052901559
110+04156,2017,AMP,0.000450321
110+04156,2017,MIDD,0.001248219
110+04156,2017,PMP,0.00032719
110+04156,2017,WE,0.000450321
110+04156,2018,AMP,0.000191837
110+04156,2018,MIDD,0.000871115
110+04156,2018,PMP,0.000635909
110+04156,2018,WE,0.000191837
110+04156,2019,AMP,0.019538101
110+04156,2019,MIDD,0.012145771
110+04156,2019,PMP,0.015921137
110+04156,2019,WE,0.019538101
110+04156,2020,AMP,0.006024968
110+04156,2020,MIDD,0.005453244
110+04156,2020,PMP,0.003527619
110+04156,2020,WE,0.006024968
110+04157,2017,AMP,0.045456197
110+04157,2017,MIDD,0.033758903
110+04157,2017,PMP,0.045139156
110+04157,2017,WE,0.045456197
110+04157,2018,AMP,0.032774053
110+04157,2018,MIDD,0.020755995
110+04157,2018,PMP,0.026412835
110+04157,2018,WE,0.032774053
110+04157,2019,AMP,0.002938484
110+04157,2019,MIDD,0.005533915
110+04157,2019,PMP,0.002279693
110+04157,2019,WE,0.002938484
110+04157,2020,AMP,0.008813878
110+04157,2020,MIDD,0.005765656
110+04157,2020,PMP,0.00815071
110+04157,2020,WE,0.008813878
110+04158,2017,AMP,0
110+04158,2017,MIDD,0
110+04158,2017,PMP,0
110+04158,2017,WE,0
110+04158,2018,AMP,0
110+04158,2018,MIDD,0
110+04158,2018,PMP,0
110+04158,2018,WE,0
110+04158,2019,AMP,0
110+04158,2019,MIDD,0.000429438
110+04158,2019,PMP,0.002030917
110+04158,2019,WE,0
110+04158,2020,AMP,0.000801527
110+04158,2020,MIDD,0.002099943
110+04158,2020,PMP,0.001157231
110+04158,2020,WE,0.000801527
110+04159,2017,AMP,0
110+04159,2017,MIDD,0.000363426
110+04159,2017,PMP,0.002746261
110+04159,2017,WE,0
110+04159,2018,AMP,0.002436941
110+04159,2018,MIDD,0.001167873
110+04159,2018,PMP,0.003281982
110+04159,2018,WE,0.002436941
110+04159,2019,AMP,0.000952533
110+04159,2019,MIDD,0.001560771
110+04159,2019,PMP,0.002459823
110+04159,2019,WE,0.000952533
110+04159,2020,AMP,0.004209341
110+04159,2020,MIDD,0.001436069
110+04159,2020,PMP,0.000809743
110+04159,2020,WE,0.004209341
110+04163,2017,AMP,0.006029647
110+04163,2017,MIDD,0.004562144
110+04163,2017,PMP,0.015300748
110+04163,2017,WE,0.006029647
110+04163,2018,AMP,0.004010217
110+04163,2018,MIDD,0.004146091
110+04163,2018,PMP,0.010356269
110+04163,2018,WE,0.004010217
110+04163,2019,AMP,0
110+04163,2019,MIDD,0
110+04163,2019,PMP,0
110+04163,2019,WE,0
110+04163,2020,AMP,0
110+04163,2020,MIDD,0
110+04163,2020,PMP,0
110+04163,2020,WE,0
110+04164,2017,AMP,0
110+04164,2017,MIDD,0
110+04164,2017,PMP,0
110+04164,2017,WE,0
110+04164,2018,AMP,0
110+04164,2018,MIDD,0
110+04164,2018,PMP,0
110+04164,2018,WE,0
110+04164,2019,AMP,0
110+04164,2019,MIDD,0.0000461189
110+04164,2019,PMP,0
110+04164,2019,WE,0
110+04164,2020,AMP,0
110+04164,2020,MIDD,0
110+04164,2020,PMP,0.000189779
110+04164,2020,WE,0
110+04165,2017,AMP,0.001352297
110+04165,2017,MIDD,0.002334224
110+04165,2017,PMP,0.003594017
110+04165,2017,WE,0.001352297
110+04165,2018,AMP,0.001068806
110+04165,2018,MIDD,0.000780119
110+04165,2018,PMP,0.004063697
110+04165,2018,WE,0.001068806
110+04165,2019,AMP,0.001895487
110+04165,2019,MIDD,0.000955371
110+04165,2019,PMP,0.002134685
110+04165,2019,WE,0.001895487
110+04165,2020,AMP,0
110+04165,2020,MIDD,0.000507316
110+04165,2020,PMP,0.000178647
110+04165,2020,WE,0
110+04166,2017,AMP,0.003116453
110+04166,2017,MIDD,0.006958868
110+04166,2017,PMP,0.006066239
110+04166,2017,WE,0.003116453
110+04166,2018,AMP,0.005871914
110+04166,2018,MIDD,0.007922875
110+04166,2018,PMP,0.013024957
110+04166,2018,WE,0.005871914
110+04166,2019,AMP,0.010236537
110+04166,2019,MIDD,0.008279764
110+04166,2019,PMP,0.006074926
110+04166,2019,WE,0.010236537
110+04166,2020,AMP,0.004312182
110+04166,2020,MIDD,0.001144508
110+04166,2020,PMP,0.002111694
110+04166,2020,WE,0.004312182
110+04167,2017,AMP,0.004175214
110+04167,2017,MIDD,0.009018697
110+04167,2017,PMP,0.003841613
110+04167,2017,WE,0.004175214
110+04167,2018,AMP,0.005620743
110+04167,2018,MIDD,0.007416631
110+04167,2018,PMP,0.00910281
110+04167,2018,WE,0.005620743
110+04167,2019,AMP,0.011365741
110+04167,2019,MIDD,0.005008692
110+04167,2019,PMP,0.005737016
110+04167,2019,WE,0.011365741
110+04167,2020,AMP,0.005054601
110+04167,2020,MIDD,0.003788168
110+04167,2020,PMP,0.006550838
110+04167,2020,WE,0.005054601
110+04168,2017,AMP,0.001954861
110+04168,2017,MIDD,0.001746261
110+04168,2017,PMP,0.000978365
110+04168,2017,WE,0.001954861
110+04168,2018,AMP,0.000993242
110+04168,2018,MIDD,0.001666489
110+04168,2018,PMP,0.00286026
110+04168,2018,WE,0.000993242
110+04168,2019,AMP,0.000597595
110+04168,2019,MIDD,0.000219597
110+04168,2019,PMP,0.000492231
110+04168,2019,WE,0.000597595
110+04168,2020,AMP,0
110+04168,2020,MIDD,0.000437164
110+04168,2020,PMP,0
110+04168,2020,WE,0
110+04169,2017,AMP,0.015782318
110+04169,2017,MIDD,0.03013604
110+04169,2017,PMP,0.039764156
110+04169,2017,WE,0.015782318
110+04169,2018,AMP,0.021302682
110+04169,2018,MIDD,0.014193983
110+04169,2018,PMP,0.023275596
110+04169,2018,WE,0.021302682
110+04169,2019,AMP,0.022121648
110+04169,2019,MIDD,0.011059671
110+04169,2019,PMP,0.012505587
110+04169,2019,WE,0.022121648
110+04169,2020,AMP,0.007494964
110+04169,2020,MIDD,0.005668822
110+04169,2020,PMP,0.006594572
110+04169,2020,WE,0.007494964
110+04170,2017,AMP,0.013417468
110+04170,2017,MIDD,0.023601852
110+04170,2017,PMP,0.022557425
110+04170,2017,WE,0.013417468
110+04170,2018,AMP,0.014800713
110+04170,2018,MIDD,0.0070138
110+04170,2018,PMP,0.009969934
110+04170,2018,WE,0.014800713
110+04170,2019,AMP,0.004363559
110+04170,2019,MIDD,0.00215943
110+04170,2019,PMP,0.00080646
110+04170,2019,WE,0.004363559
110+04170,2020,AMP,0.001241783
110+04170,2020,MIDD,0.00086302
110+04170,2020,PMP,0.000888465
110+04170,2020,WE,0.001241783
110+04172,2017,AMP,0
110+04172,2017,MIDD,0
110+04172,2017,PMP,0
110+04172,2017,WE,0
110+04172,2018,AMP,0
110+04172,2018,MIDD,0
110+04172,2018,PMP,0
110+04172,2018,WE,0
110+04172,2019,AMP,0
110+04172,2019,MIDD,0
110+04172,2019,PMP,0
110+04172,2019,WE,0
110+04172,2020,AMP,0
110+04172,2020,MIDD,0
110+04172,2020,PMP,0
110+04172,2020,WE,0
110+04173,2017,AMP,0.005410791
110+04173,2017,MIDD,0.005212963
110+04173,2017,PMP,0.013552618
110+04173,2017,WE,0.005410791
110+04173,2018,AMP,0.007754097
110+04173,2018,MIDD,0.007939904
110+04173,2018,PMP,0.009186888
110+04173,2018,WE,0.007754097
110+04173,2019,AMP,0.021612388
110+04173,2019,MIDD,0.013738116
110+04173,2019,PMP,0.007209451
110+04173,2019,WE,0.021612388
110+04173,2020,AMP,0.004864822
110+04173,2020,MIDD,0.003365317
110+04173,2020,PMP,0.006983938
110+04173,2020,WE,0.004864822
110+04174,2017,AMP,0.00295219
110+04174,2017,MIDD,0.001995548
110+04174,2017,PMP,0.002197382
110+04174,2017,WE,0.00295219
110+04174,2018,AMP,0.004069817
110+04174,2018,MIDD,0.000724244
110+04174,2018,PMP,0.001927682
110+04174,2018,WE,0.004069817
110+04174,2019,AMP,0.005359461
110+04174,2019,MIDD,0.002762523
110+04174,2019,PMP,0.002224883
110+04174,2019,WE,0.005359461
110+04174,2020,AMP,0.003995441
110+04174,2020,MIDD,0.001514172
110+04174,2020,PMP,0.003502439
110+04174,2020,WE,0.003995441
110+04175,2017,AMP,0.002508013
110+04175,2017,MIDD,0.006581197
110+04175,2017,PMP,0.006335737
110+04175,2017,WE,0.002508013
110+04175,2018,AMP,0.008403576
110+04175,2018,MIDD,0.006881652
110+04175,2018,PMP,0.00492284
110+04175,2018,WE,0.008403576
110+04175,2019,AMP,0.009840092
110+04175,2019,MIDD,0.003330673
110+04175,2019,PMP,0.00533179
110+04175,2019,WE,0.009840092
110+04175,2020,AMP,0.004303435
110+04175,2020,MIDD,0.006257422
110+04175,2020,PMP,0.003621448
110+04175,2020,WE,0.004303435
110+04176,2017,AMP,0.030482105
110+04176,2017,MIDD,0.034036147
110+04176,2017,PMP,0.053480235
110+04176,2017,WE,0.030482105
110+04176,2018,AMP,0.034793795
110+04176,2018,MIDD,0.035513694
110+04176,2018,PMP,0.068353555
110+04176,2018,WE,0.034793795
110+04176,2019,AMP,0.041798638
110+04176,2019,MIDD,0.046380375
110+04176,2019,PMP,0.063407301
110+04176,2019,WE,0.041798638
110+04176,2020,AMP,0.010639313
110+04176,2020,MIDD,0.01644084
110+04176,2020,PMP,0.026625848
110+04176,2020,WE,0.010639313
110+04177,2017,AMP,0.003472222
110+04177,2017,MIDD,0.005329238
110+04177,2017,PMP,0.008274306
110+04177,2017,WE,0.003472222
110+04177,2018,AMP,0.001310398
110+04177,2018,MIDD,0.004277529
110+04177,2018,PMP,0.007224617
110+04177,2018,WE,0.001310398
110+04177,2019,AMP,0.008686675
110+04177,2019,MIDD,0.003511246
110+04177,2019,PMP,0.008731375
110+04177,2019,WE,0.008686675
110+04177,2020,AMP,0.002778308
110+04177,2020,MIDD,0.003012617
110+04177,2020,PMP,0.002448579
110+04177,2020,WE,0.002778308
110+04178,2017,AMP,0.007294872
110+04178,2017,MIDD,0.016468127
110+04178,2017,PMP,0.044879541
110+04178,2017,WE,0.007294872
110+04178,2018,AMP,0.020825883
110+04178,2018,MIDD,0.032849085
110+04178,2018,PMP,0.054220945
110+04178,2018,WE,0.020825883
110+04178,2019,AMP,0.043073382
110+04178,2019,MIDD,0.028637896
110+04178,2019,PMP,0.037542305
110+04178,2019,WE,0.043073382
110+04178,2020,AMP,0.01452131
110+04178,2020,MIDD,0.014974555
110+04178,2020,PMP,0.013594678
110+04178,2020,WE,0.01452131
110+04179,2017,AMP,0.009459669
110+04179,2017,MIDD,0.051695335
110+04179,2017,PMP,0.298945513
110+04179,2017,WE,0.009459669
110+04179,2018,AMP,0.007674276
110+04179,2018,MIDD,0.024637967
110+04179,2018,PMP,0.083803746
110+04179,2018,WE,0.007674276
110+04179,2019,AMP,0.027719242
110+04179,2019,MIDD,0.033878069
110+04179,2019,PMP,0.034770381
110+04179,2019,WE,0.027719242
110+04179,2020,AMP,0.011224025
110+04179,2020,MIDD,0.016200876
110+04179,2020,PMP,0.021797074
110+04179,2020,WE,0.011224025
110+04180,2017,AMP,0.001495459
110+04180,2017,MIDD,0.00363141
110+04180,2017,PMP,0.010286592
110+04180,2017,WE,0.001495459
110+04180,2018,AMP,0.006075192
110+04180,2018,MIDD,0.005835462
110+04180,2018,PMP,0.020297733
110+04180,2018,WE,0.006075192
110+04180,2019,AMP,0.006184014
110+04180,2019,MIDD,0.006323258
110+04180,2019,PMP,0.006093284
110+04180,2019,WE,0.006184014
110+04180,2020,AMP,0.003055821
110+04180,2020,MIDD,0.005142246
110+04180,2020,PMP,0.001501537
110+04180,2020,WE,0.003055821
110+04181,2017,AMP,0.005493857
110+04181,2017,MIDD,0.005685185
110+04181,2017,PMP,0.019530182
110+04181,2017,WE,0.005493857
110+04181,2018,AMP,0.003741486
110+04181,2018,MIDD,0.012289095
110+04181,2018,PMP,0.033192848
110+04181,2018,WE,0.003741486
110+04181,2019,AMP,0.014127288
110+04181,2019,MIDD,0.014749894
110+04181,2019,PMP,0.032879949
110+04181,2019,WE,0.014127288
110+04181,2020,AMP,0.016884807
110+04181,2020,MIDD,0.016846551
110+04181,2020,PMP,0.02100986
110+04181,2020,WE,0.016884807
110+04182,2017,AMP,0.021955395
110+04182,2017,MIDD,0.018472222
110+04182,2017,PMP,0.086923878
110+04182,2017,WE,0.021955395
110+04182,2018,AMP,0.059413048
110+04182,2018,MIDD,0.042528381
110+04182,2018,PMP,0.08000878
110+04182,2018,WE,0.059413048
110+04182,2019,AMP,0.075866858
110+04182,2019,MIDD,0.058850397
110+04182,2019,PMP,0.10754603
110+04182,2019,WE,0.075866858
110+04182,2020,AMP,0.038824215
110+04182,2020,MIDD,0.031978725
110+04182,2020,PMP,0.041183471
110+04182,2020,WE,0.038824215
110+04183,2017,AMP,0.0000552885
110+04183,2017,MIDD,0.000809651
110+04183,2017,PMP,0.006679754
110+04183,2017,WE,0.0000552885
110+04183,2018,AMP,0.002278895
110+04183,2018,MIDD,0.003857315
110+04183,2018,PMP,0.013002075
110+04183,2018,WE,0.002278895
110+04183,2019,AMP,0.007440932
110+04183,2019,MIDD,0.005520434
110+04183,2019,PMP,0.01230497
110+04183,2019,WE,0.007440932
110+04183,2020,AMP,0.002301209
110+04183,2020,MIDD,0.001193101
110+04183,2020,PMP,0.007641274
110+04183,2020,WE,0.002301209
110+04184,2017,AMP,0.008636752
110+04184,2017,MIDD,0.059735043
110+04184,2017,PMP,0.617437233
110+04184,2017,WE,0.008636752
110+04184,2018,AMP,0.021448755
110+04184,2018,MIDD,0.046785334
110+04184,2018,PMP,0.358484461
110+04184,2018,WE,0.021448755
110+04184,2019,AMP,0.036848925
110+04184,2019,MIDD,0.048704591
110+04184,2019,PMP,0.094126756
110+04184,2019,WE,0.036848925
110+04184,2020,AMP,0.034089271
110+04184,2020,MIDD,0.04046367
110+04184,2020,PMP,0.067612118
110+04184,2020,WE,0.034089271
110+04185,2017,AMP,0.004416667
110+04185,2017,MIDD,0.011240563
110+04185,2017,PMP,0.025599092
110+04185,2017,WE,0.004416667
110+04185,2018,AMP,0.018459983
110+04185,2018,MIDD,0.023357634
110+04185,2018,PMP,0.02088841
110+04185,2018,WE,0.018459983
110+04185,2019,AMP,0.039266443
110+04185,2019,MIDD,0.034018377
110+04185,2019,PMP,0.055160175
110+04185,2019,WE,0.039266443
110+04185,2020,AMP,0.024145462
110+04185,2020,MIDD,0.031394543
110+04185,2020,PMP,0.047190151
110+04185,2020,WE,0.024145462
110+04186,2017,AMP,0.001720353
110+04186,2017,MIDD,0.006582977
110+04186,2017,PMP,0.005184562
110+04186,2017,WE,0.001720353
110+04186,2018,AMP,0.002993295
110+04186,2018,MIDD,0.002918618
110+04186,2018,PMP,0.006052043
110+04186,2018,WE,0.002993295
