TMC,YEAR,PERIOD,Crashes
110+04129,2018,AMP,4
110+04129,2018,MIDD,5
110+04129,2018,PMP,7
110+04129,2018,WE,6
110+04129,2019,AMP,4
110+04129,2019,MIDD,7
110+04129,2019,PMP,1
110+04129,2019,WE,5
110+04129,2020,AMP,0
110+04129,2020,MIDD,2
110+04129,2020,PMP,2
110+04129,2020,WE,1
110+04129,2021,AMP,0.707038735
110+04129,2021,MIDD,0.491853033
110+04129,2021,PMP,0.430371404
110+04129,2021,WE,0.491853033
110+04129,2022,AMP,0.706562132
110+04129,2022,MIDD,0.491521483
110+04129,2022,PMP,0.430081298
110+04129,2022,WE,0.491521483
110+04129,2023,AMP,0.706085725
110+04129,2023,MIDD,0.49119007
110+04129,2023,PMP,0.429791311
110+04129,2023,WE,0.49119007
110+04129,2024,AMP,0.705590471
110+04129,2024,MIDD,0.490845545
110+04129,2024,PMP,0.429489852
110+04129,2024,WE,0.490845545
110+04130,2017,AMP,3
110+04130,2017,MIDD,7
110+04130,2017,PMP,1
110+04130,2017,WE,2
110+04130,2018,AMP,4
110+04130,2018,MIDD,7
110+04130,2018,PMP,5
110+04130,2018,WE,9
110+04130,2019,AMP,5
110+04130,2019,MIDD,4
110+04130,2019,PMP,2
110+04130,2019,WE,1
110+04130,2020,AMP,3
110+04130,2020,MIDD,4
110+04130,2020,PMP,1
110+04130,2020,WE,3
110+04130,2021,AMP,0.261516342
110+04130,2021,MIDD,0.383557301
110+04130,2021,PMP,0.156909805
110+04130,2021,WE,0.261516342
110+04130,2022,AMP,0.261340058
110+04130,2022,MIDD,0.383298751
110+04130,2022,PMP,0.156804035
110+04130,2022,WE,0.261340058
110+04130,2023,AMP,0.261163847
110+04130,2023,MIDD,0.383040308
110+04130,2023,PMP,0.156698308
110+04130,2023,WE,0.261163847
110+04130,2024,AMP,0.260980664
110+04130,2024,MIDD,0.382771641
110+04130,2024,PMP,0.156588399
110+04130,2024,WE,0.260980664
110+04143,2017,AMP,3
110+04143,2017,MIDD,5
110+04143,2017,PMP,1
110+04143,2017,WE,4
110+04143,2018,AMP,0
110+04143,2018,MIDD,0
110+04143,2018,PMP,0
110+04143,2018,WE,0
110+04143,2019,AMP,2
110+04143,2019,MIDD,3
110+04143,2019,PMP,2
110+04143,2019,WE,0
110+04143,2020,AMP,0
110+04143,2020,MIDD,0
110+04143,2020,PMP,0
110+04143,2020,WE,0
110+04143,2021,AMP,2.320126379
110+04143,2021,MIDD,3.712202207
110+04143,2021,PMP,1.392075828
110+04143,2021,WE,6.496353862
110+04143,2022,AMP,2.342318968
110+04143,2022,MIDD,3.747710349
110+04143,2022,PMP,1.405391381
110+04143,2022,WE,6.55849311
110+04143,2023,AMP,2.364738906
110+04143,2023,MIDD,3.783582249
110+04143,2023,PMP,1.418843343
110+04143,2023,WE,6.621268935
110+04143,2024,AMP,2.387388586
110+04143,2024,MIDD,3.819821738
110+04143,2024,PMP,1.432433152
110+04143,2024,WE,6.684688041
110+04144,2017,AMP,45
110+04144,2017,MIDD,42
110+04144,2017,PMP,14
110+04144,2017,WE,48
110+04144,2018,AMP,30
110+04144,2018,MIDD,28
110+04144,2018,PMP,7
110+04144,2018,WE,23
110+04144,2019,AMP,28
110+04144,2019,MIDD,20
110+04144,2019,PMP,18
110+04144,2019,WE,29
110+04144,2020,AMP,3
110+04144,2020,MIDD,20
110+04144,2020,PMP,9
110+04144,2020,WE,22
110+04144,2021,AMP,22.68421219
110+04144,2021,MIDD,23.54022019
110+04144,2021,PMP,10.27209608
110+04144,2021,WE,26.10824421
110+04144,2022,AMP,23.18620091
110+04144,2022,MIDD,24.06115189
110+04144,2022,PMP,10.49941173
110+04144,2022,WE,26.68600482
110+04144,2023,AMP,23.70291206
110+04144,2023,MIDD,24.59736158
110+04144,2023,PMP,10.73339414
110+04144,2023,WE,27.28071011
110+04144,2024,AMP,24.23483716
110+04144,2024,MIDD,25.14935931
110+04144,2024,PMP,10.97426588
110+04144,2024,WE,27.89292578
110+04145,2017,AMP,33
110+04145,2017,MIDD,22
110+04145,2017,PMP,7
110+04145,2017,WE,32
110+04145,2018,AMP,24
110+04145,2018,MIDD,11
110+04145,2018,PMP,2
110+04145,2018,WE,4
110+04145,2019,AMP,10
110+04145,2019,MIDD,5
110+04145,2019,PMP,3
110+04145,2019,WE,8
110+04145,2020,AMP,5
110+04145,2020,MIDD,10
110+04145,2020,PMP,6
110+04145,2020,WE,9
110+04145,2021,AMP,16.55428728
110+04145,2021,MIDD,11.03619152
110+04145,2021,PMP,4.138571821
110+04145,2021,WE,12.18579481
110+04145,2022,AMP,16.63676298
110+04145,2022,MIDD,11.09117532
110+04145,2022,PMP,4.159190744
110+04145,2022,WE,12.24650608
110+04145,2023,AMP,16.71959436
110+04145,2023,MIDD,11.14639624
110+04145,2023,PMP,4.17989859
110+04145,2023,WE,12.30747918
110+04145,2024,AMP,16.80327915
110+04145,2024,MIDD,11.2021861
110+04145,2024,PMP,4.200819787
110+04145,2024,WE,12.36908048
110+04146,2017,AMP,13
110+04146,2017,MIDD,38
110+04146,2017,PMP,24
110+04146,2017,WE,15
110+04146,2018,AMP,5
110+04146,2018,MIDD,27
110+04146,2018,PMP,23
110+04146,2018,WE,10
110+04146,2019,AMP,5
110+04146,2019,MIDD,42
110+04146,2019,PMP,22
110+04146,2019,WE,14
110+04146,2020,AMP,8
110+04146,2020,MIDD,18
110+04146,2020,PMP,11
110+04146,2020,WE,13
110+04146,2021,AMP,6.018089384
110+04146,2021,MIDD,24.26648945
110+04146,2021,PMP,15.53055325
110+04146,2021,WE,10.09485961
110+04146,2022,AMP,6.040380227
110+04146,2022,MIDD,24.35637188
110+04146,2022,PMP,15.58807801
110+04146,2022,WE,10.1322507
110+04146,2023,AMP,6.06287615
110+04146,2023,MIDD,24.44708125
110+04146,2023,PMP,15.646132
110+04146,2023,WE,10.1699858
110+04146,2024,AMP,6.085426843
110+04146,2024,MIDD,24.53801146
110+04146,2024,PMP,15.70432734
110+04146,2024,WE,10.20781277
110+04147,2017,AMP,5
110+04147,2017,MIDD,9
110+04147,2017,PMP,8
110+04147,2017,WE,10
110+04147,2018,AMP,4
110+04147,2018,MIDD,7
110+04147,2018,PMP,10
110+04147,2018,WE,4
110+04147,2019,AMP,4
110+04147,2019,MIDD,11
110+04147,2019,PMP,9
110+04147,2019,WE,11
110+04147,2020,AMP,5
110+04147,2020,MIDD,3
110+04147,2020,PMP,4
110+04147,2020,WE,7
110+04147,2021,AMP,4.012654106
110+04147,2021,MIDD,6.687756844
110+04147,2021,PMP,6.910682072
110+04147,2021,WE,7.1336073
110+04147,2022,AMP,4.219081839
110+04147,2022,MIDD,7.031803064
110+04147,2022,PMP,7.2661965
110+04147,2022,WE,7.500589935
110+04147,2023,AMP,4.440075918
110+04147,2023,MIDD,7.40012653
110+04147,2023,PMP,7.646797415
110+04147,2023,WE,7.893468299
110+04147,2024,AMP,4.676546555
110+04147,2024,MIDD,7.794244258
110+04147,2024,PMP,8.0540524
110+04147,2024,WE,8.313860542
110+04148,2017,AMP,10
110+04148,2017,MIDD,13
110+04148,2017,PMP,12
110+04148,2017,WE,9
110+04148,2018,AMP,12
110+04148,2018,MIDD,9
110+04148,2018,PMP,10
110+04148,2018,WE,19
110+04148,2019,AMP,7
110+04148,2019,MIDD,18
110+04148,2019,PMP,20
110+04148,2019,WE,15
110+04148,2020,AMP,20
110+04148,2020,MIDD,14
110+04148,2020,PMP,14
110+04148,2020,WE,8
110+04148,2021,AMP,8.347783792
110+04148,2021,MIDD,9.199598464
110+04148,2021,PMP,9.540324333
110+04148,2021,WE,8.688509661
110+04148,2022,AMP,8.331658035
110+04148,2022,MIDD,9.181827222
110+04148,2022,PMP,9.521894897
110+04148,2022,WE,8.67172571
110+04148,2023,AMP,8.315565444
110+04148,2023,MIDD,9.16409253
110+04148,2023,PMP,9.503503365
110+04148,2023,WE,8.654976278
110+04148,2024,AMP,8.299505949
110+04148,2024,MIDD,9.146394311
110+04148,2024,PMP,9.485149656
110+04148,2024,WE,8.638261294
110+04149,2017,AMP,5
110+04149,2017,MIDD,24
110+04149,2017,PMP,8
110+04149,2017,WE,25
110+04149,2018,AMP,21
110+04149,2018,MIDD,25
110+04149,2018,PMP,12
110+04149,2018,WE,19
110+04149,2019,AMP,26
110+04149,2019,MIDD,24
110+04149,2019,PMP,11
110+04149,2019,WE,13
110+04149,2020,AMP,12
110+04149,2020,MIDD,18
110+04149,2020,PMP,12
110+04149,2020,WE,17
110+04149,2021,AMP,11.37704343
110+04149,2021,MIDD,16.17673363
110+04149,2021,PMP,7.643951057
110+04149,2021,WE,13.15470647
110+04149,2022,AMP,11.36851712
110+04149,2022,MIDD,16.16461028
110+04149,2022,PMP,7.63822244
110+04149,2022,WE,13.14484792
110+04149,2023,AMP,11.35972897
110+04149,2023,MIDD,16.15211463
110+04149,2023,PMP,7.632317902
110+04149,2023,WE,13.13468662
110+04149,2024,AMP,11.3512116
110+04149,2024,MIDD,16.14000399
110+04149,2024,PMP,7.626595291
110+04149,2024,WE,13.12483841
110+04150,2017,AMP,3
110+04150,2017,MIDD,0
110+04150,2017,PMP,0
110+04150,2017,WE,0
110+04150,2018,AMP,2
110+04150,2018,MIDD,1
110+04150,2018,PMP,0
110+04150,2018,WE,0
110+04150,2019,AMP,7
110+04150,2019,MIDD,5
110+04150,2019,PMP,1
110+04150,2019,WE,1
110+04150,2020,AMP,4
110+04150,2020,MIDD,5
110+04150,2020,PMP,2
110+04150,2020,WE,5
110+04150,2021,AMP,4.533156618
110+04150,2021,MIDD,4.533156618
110+04150,2021,PMP,3.116545175
110+04150,2021,WE,3.966512041
110+04150,2022,AMP,4.529689332
110+04150,2022,MIDD,4.529689332
110+04150,2022,PMP,3.114161416
110+04150,2022,WE,3.963478166
110+04150,2023,AMP,4.526223888
110+04150,2023,MIDD,4.526223888
110+04150,2023,PMP,3.111778923
110+04150,2023,WE,3.960445902
110+04150,2024,AMP,4.522760284
110+04150,2024,MIDD,4.522760284
110+04150,2024,PMP,3.109397695
110+04150,2024,WE,3.957415249
110+04151,2017,AMP,14
110+04151,2017,MIDD,10
110+04151,2017,PMP,10
110+04151,2017,WE,10
110+04151,2018,AMP,6
110+04151,2018,MIDD,9
110+04151,2018,PMP,6
110+04151,2018,WE,14
110+04151,2019,AMP,11
110+04151,2019,MIDD,13
110+04151,2019,PMP,4
110+04151,2019,WE,13
110+04151,2020,AMP,2
110+04151,2020,MIDD,9
110+04151,2020,PMP,7
110+04151,2020,WE,3
110+04151,2021,AMP,2.787666466
110+04151,2021,MIDD,3.463464397
110+04151,2021,PMP,2.280818017
110+04151,2021,WE,3.378989655
110+04151,2022,AMP,2.785534257
110+04151,2022,MIDD,3.460815288
110+04151,2022,PMP,2.279073483
110+04151,2022,WE,3.376405159
110+04151,2023,AMP,2.78340318
110+04151,2023,MIDD,3.458167587
110+04151,2023,PMP,2.277329875
110+04151,2023,WE,3.373822036
110+04151,2024,AMP,2.781273236
110+04151,2024,MIDD,3.455521293
110+04151,2024,PMP,2.275587193
110+04151,2024,WE,3.371240286
110+04152,2017,AMP,21
110+04152,2017,MIDD,17
110+04152,2017,PMP,9
110+04152,2017,WE,9
110+04152,2018,AMP,15
110+04152,2018,MIDD,14
110+04152,2018,PMP,8
110+04152,2018,WE,13
110+04152,2019,AMP,20
110+04152,2019,MIDD,7
110+04152,2019,PMP,10
110+04152,2019,WE,12
110+04152,2020,AMP,10
110+04152,2020,MIDD,2
110+04152,2020,PMP,7
110+04152,2020,WE,7
110+04152,2021,AMP,8.821221876
110+04152,2021,MIDD,5.346195076
110+04152,2021,PMP,4.544265815
110+04152,2021,WE,5.479849953
110+04152,2022,AMP,8.814092541
110+04152,2022,MIDD,5.341874267
110+04152,2022,PMP,4.540593127
110+04152,2022,WE,5.475421124
110+04152,2023,AMP,8.806967397
110+04152,2023,MIDD,5.337555998
110+04152,2023,PMP,4.536922599
110+04152,2023,WE,5.470994898
110+04152,2024,AMP,8.799846441
110+04152,2024,MIDD,5.333240268
110+04152,2024,PMP,4.533254227
110+04152,2024,WE,5.466571274
110+04153,2017,AMP,8
110+04153,2017,MIDD,2
110+04153,2017,PMP,4
110+04153,2017,WE,0
110+04153,2018,AMP,3
110+04153,2018,MIDD,2
110+04153,2018,PMP,0
110+04153,2018,WE,2
110+04153,2019,AMP,5
110+04153,2019,MIDD,2
110+04153,2019,PMP,0
110+04153,2019,WE,6
110+04153,2020,AMP,1
110+04153,2020,MIDD,4
110+04153,2020,PMP,1
110+04153,2020,WE,3
110+04153,2021,AMP,4.836461599
110+04153,2021,MIDD,2.844977411
110+04153,2021,PMP,8.250434493
110+04153,2021,WE,8.250434493
110+04153,2022,AMP,4.832478093
110+04153,2022,MIDD,2.842634172
110+04153,2022,PMP,8.2436391
110+04153,2022,WE,8.2436391
110+04153,2023,AMP,4.828601722
110+04153,2023,MIDD,2.840353954
110+04153,2023,PMP,8.237026467
110+04153,2023,WE,8.237026467
110+04153,2024,AMP,4.824622952
110+04153,2024,MIDD,2.838013501
110+04153,2024,PMP,8.230239153
110+04153,2024,WE,8.230239153
110+04154,2017,AMP,8
110+04154,2017,MIDD,13
110+04154,2017,PMP,3
110+04154,2017,WE,7
110+04154,2018,AMP,12
110+04154,2018,MIDD,7
110+04154,2018,PMP,0
110+04154,2018,WE,9
110+04154,2019,AMP,12
110+04154,2019,MIDD,19
110+04154,2019,PMP,2
110+04154,2019,WE,9
110+04154,2020,AMP,6
110+04154,2020,MIDD,10
110+04154,2020,PMP,5
110+04154,2020,WE,7
110+04154,2021,AMP,9.804588391
110+04154,2021,MIDD,12.64275871
110+04154,2021,PMP,11.35268129
110+04154,2021,WE,8.256495487
110+04154,2022,AMP,9.796585973
110+04154,2022,MIDD,12.63243981
110+04154,2022,PMP,11.34341534
110+04154,2022,WE,8.249756609
110+04154,2023,AMP,9.788377968
110+04154,2023,MIDD,12.6218558
110+04154,2023,PMP,11.33391133
110+04154,2023,WE,8.242844605
110+04154,2024,AMP,9.780385297
110+04154,2024,MIDD,12.61154946
110+04154,2024,PMP,11.32465666
110+04154,2024,WE,8.236113934
110+04155,2017,AMP,17
110+04155,2017,MIDD,31
110+04155,2017,PMP,19
110+04155,2017,WE,23
110+04155,2018,AMP,37
110+04155,2018,MIDD,22
110+04155,2018,PMP,10
110+04155,2018,WE,24
110+04155,2019,AMP,20
110+04155,2019,MIDD,31
110+04155,2019,PMP,10
110+04155,2019,WE,16
110+04155,2020,AMP,6
110+04155,2020,MIDD,18
110+04155,2020,PMP,8
110+04155,2020,WE,9
110+04155,2021,AMP,19.00475957
110+04155,2021,MIDD,24.23106845
110+04155,2021,PMP,11.16529625
110+04155,2021,WE,17.10428361
110+04155,2022,AMP,18.98817429
110+04155,2022,MIDD,24.20992222
110+04155,2022,PMP,11.15555239
110+04155,2022,WE,17.08935686
110+04155,2023,AMP,18.9712148
110+04155,2023,MIDD,24.18829887
110+04155,2023,PMP,11.1455887
110+04155,2023,WE,17.07409332
110+04155,2024,AMP,18.954652
110+04155,2024,MIDD,24.1671813
110+04155,2024,PMP,11.13585805
110+04155,2024,WE,17.0591868
110+04156,2017,AMP,1
110+04156,2017,MIDD,0
110+04156,2017,PMP,0
110+04156,2017,WE,0
110+04156,2018,AMP,1
110+04156,2018,MIDD,0
110+04156,2018,PMP,0
110+04156,2018,WE,0
110+04156,2019,AMP,4
110+04156,2019,MIDD,2
110+04156,2019,PMP,2
110+04156,2019,WE,0
110+04156,2020,AMP,1
110+04156,2020,MIDD,4
110+04156,2020,PMP,1
110+04156,2020,WE,1
110+04156,2021,AMP,4.770650105
110+04156,2021,MIDD,10.22282165
110+04156,2021,PMP,8.178257322
110+04156,2021,WE,13.63042887
110+04156,2022,AMP,4.766423586
110+04156,2022,MIDD,10.21376483
110+04156,2022,PMP,8.171011862
110+04156,2022,WE,13.6183531
110+04156,2023,AMP,4.762199959
110+04156,2023,MIDD,10.2047142
110+04156,2023,PMP,8.163771357
110+04156,2023,WE,13.6062856
110+04156,2024,AMP,4.757979221
110+04156,2024,MIDD,10.19566976
110+04156,2024,PMP,8.156535807
110+04156,2024,WE,13.59422634
110+04157,2017,AMP,8
110+04157,2017,MIDD,11
110+04157,2017,PMP,3
110+04157,2017,WE,5
110+04157,2018,AMP,10
110+04157,2018,MIDD,8
110+04157,2018,PMP,1
110+04157,2018,WE,9
110+04157,2019,AMP,1
110+04157,2019,MIDD,3
110+04157,2019,PMP,0
110+04157,2019,WE,1
110+04157,2020,AMP,0
110+04157,2020,MIDD,3
110+04157,2020,PMP,0
110+04157,2020,WE,4
110+04157,2021,AMP,4.876979079
110+04157,2021,MIDD,3.69468112
110+04157,2021,PMP,3.842468365
110+04157,2021,WE,2.807957651
110+04157,2022,AMP,4.872658359
110+04157,2022,MIDD,3.691407847
110+04157,2022,PMP,3.839064161
110+04157,2022,WE,2.805469964
110+04157,2023,AMP,4.868340594
110+04157,2023,MIDD,3.688136814
110+04157,2023,PMP,3.835662286
110+04157,2023,WE,2.802983979
110+04157,2024,AMP,4.864025784
110+04157,2024,MIDD,3.684868018
110+04157,2024,PMP,3.832262739
110+04157,2024,WE,2.800499694
110+04158,2017,AMP,0
110+04158,2017,MIDD,0
110+04158,2017,PMP,0
110+04158,2017,WE,0
110+04158,2018,AMP,0
110+04158,2018,MIDD,0
110+04158,2018,PMP,0
110+04158,2018,WE,0
110+04158,2019,AMP,0
110+04158,2019,MIDD,2
110+04158,2019,PMP,1
110+04158,2019,WE,1
110+04158,2020,AMP,1
110+04158,2020,MIDD,2
110+04158,2020,PMP,0
110+04158,2020,WE,0
110+04158,2021,AMP,7.483500745
110+04158,2021,MIDD,4.27628614
110+04158,2021,PMP,6.41442921
110+04158,2021,WE,6.41442921
110+04158,2022,AMP,7.475358715
110+04158,2022,MIDD,4.271633551
110+04158,2022,PMP,6.407450327
110+04158,2022,WE,6.407450327
110+04158,2023,AMP,7.46735532
110+04158,2023,MIDD,4.267060183
110+04158,2023,PMP,6.400590274
110+04158,2023,WE,6.400590274
110+04158,2024,AMP,7.459359171
110+04158,2024,MIDD,4.262490955
110+04158,2024,PMP,6.393736432
110+04158,2024,WE,6.393736432
110+04159,2017,AMP,1
110+04159,2017,MIDD,4
110+04159,2017,PMP,6
110+04159,2017,WE,3
110+04159,2018,AMP,6
110+04159,2018,MIDD,3
110+04159,2018,PMP,1
110+04159,2018,WE,5
110+04159,2019,AMP,1
110+04159,2019,MIDD,0
110+04159,2019,PMP,2
110+04159,2019,WE,0
110+04159,2020,AMP,3
110+04159,2020,MIDD,0
110+04159,2020,PMP,0
110+04159,2020,WE,0
110+04159,2021,AMP,3.5834
110+04159,2021,MIDD,4.560690909
110+04159,2021,PMP,3.909163636
110+04159,2021,WE,4.886454545
110+04159,2022,AMP,3.580025788
110+04159,2022,MIDD,4.556396458
110+04159,2022,PMP,3.905482678
110+04159,2022,WE,4.881853348
110+04159,2023,AMP,3.576654111
110+04159,2023,MIDD,4.552105232
110+04159,2023,PMP,3.901804485
110+04159,2023,WE,4.877255606
110+04159,2024,AMP,3.573284966
110+04159,2024,MIDD,4.54781723
110+04159,2024,PMP,3.898129054
110+04159,2024,WE,4.872661318
110+04163,2017,AMP,0
110+04163,2017,MIDD,0
110+04163,2017,PMP,0
110+04163,2017,WE,0
110+04163,2018,AMP,0
110+04163,2018,MIDD,0
110+04163,2018,PMP,0
110+04163,2018,WE,0
