TMC,YEAR,PERIOD,V/C_STRAIGHT_AVG,AVG_HOURLY_VAL
110+04125,2019,AMP,0.669707721,5897.5
110+04125,2019,MIDD,0.545409624,4803
110+04125,2019,PMP,0.561538647,4945
110+04125,2019,WE,0.585531658,5156.285714
110+04125,2020,AMP,0.579217771,5100.5
110+04125,2020,MIDD,0.471714655,4154
110+04125,2020,PMP,0.485664348,4277
110+04125,2020,WE,0.506415458,4459.571429
110+04125,2021,AMP,0.632392277,5569
110+04125,2021,MIDD,0.515019946,4535.333333
110+04125,2021,PMP,0.530250276,4669.75
110+04125,2021,WE,0.552906421,4869.071429
110+04125,2022,AMP,0.63210868,5566.75
110+04125,2022,MIDD,0.514788985,4533.333333
110+04125,2022,PMP,0.530012485,4667.5
110+04125,2022,WE,0.552658469,4866.928571
110+04125,2023,AMP,0.631825083,5564
110+04125,2023,MIDD,0.514558023,4531.333333
110+04125,2023,PMP,0.529774693,4665.5
110+04125,2023,WE,0.552410517,4864.714286
110+04125,2024,AMP,0.631548948,5561.75
110+04125,2024,MIDD,0.514333139,4529.333333
110+04125,2024,PMP,0.529543159,4663
110+04125,2024,WE,0.552169091,4862.5
110+04126,2017,AMP,0.755716798,6498.5
110+04126,2017,MIDD,0.552973886,4755.166667
110+04126,2017,PMP,0.561673067,4830
110+04126,2017,WE,0.613385913,5274.642857
110+04126,2018,AMP,0.733858387,6310.25
110+04126,2018,MIDD,0.536979626,4617.333333
110+04126,2018,PMP,0.545427192,4690
110+04126,2018,WE,0.595644291,5121.785714
110+04126,2019,AMP,0.744679711,6403.5
110+04126,2019,MIDD,0.544897817,4685.666667
110+04126,2019,PMP,0.553469949,4759
110+04126,2019,WE,0.604427539,5197.428571
110+04126,2020,AMP,0.644059653,5538
110+04126,2020,MIDD,0.471272003,4052.333333
110+04126,2020,PMP,0.478685881,4116.25
110+04126,2020,WE,0.522758154,4495.071429
110+04126,2021,AMP,0.703186904,6046.5
110+04126,2021,MIDD,0.514536657,4424.5
110+04126,2021,PMP,0.522631158,4494
110+04126,2021,WE,0.570749442,4907.785714
110+04126,2022,AMP,0.702871558,6043.75
110+04126,2022,MIDD,0.514305912,4422.5
110+04126,2022,PMP,0.522396783,4492
110+04126,2022,WE,0.570493488,4905.571429
110+04126,2023,AMP,0.702556213,6041.5
110+04126,2023,MIDD,0.514075167,4420.5
110+04126,2023,PMP,0.522162408,4490
110+04126,2023,WE,0.570237535,4903.5
110+04126,2024,AMP,0.702249166,6038.5
110+04126,2024,MIDD,0.513850495,4418.5
110+04126,2024,PMP,0.521934201,4488
110+04126,2024,WE,0.569988317,4901.214286
110+04127,2017,AMP,0.728895282,6419
110+04127,2017,MIDD,0.533348018,4697
110+04127,2017,PMP,0.541738453,4770.75
110+04127,2017,WE,0.591615932,5210.071429
110+04127,2018,AMP,0.707819436,6233.25
110+04127,2018,MIDD,0.517926378,4560.833333
110+04127,2018,PMP,0.526074206,4632.75
110+04127,2018,WE,0.574509488,5059.214286
110+04127,2019,AMP,0.718247969,6325.5
110+04127,2019,MIDD,0.525557155,4628.166667
110+04127,2019,PMP,0.533825027,4701
110+04127,2019,WE,0.582973923,5133.928571
110+04127,2020,AMP,0.621198602,5470.75
110+04127,2020,MIDD,0.454544091,4003
110+04127,2020,PMP,0.461694811,4066
110+04127,2020,WE,0.504202728,4440.357143
110+04127,2021,AMP,0.620728629,5466.5
110+04127,2021,MIDD,0.454200202,3999.833333
110+04127,2021,PMP,0.461345512,4063
110+04127,2021,WE,0.50382127,4436.928571
110+04127,2022,AMP,0.620453128,5463.75
110+04127,2022,MIDD,0.453998612,3998.166667
110+04127,2022,PMP,0.461140751,4061.25
110+04127,2022,WE,0.503597656,4434.928571
110+04127,2023,AMP,0.620177627,5461.75
110+04127,2023,MIDD,0.453797022,3996.5
110+04127,2023,PMP,0.460935989,4059.25
110+04127,2023,WE,0.503374042,4433.071429
110+04127,2024,AMP,0.619902125,5459.25
110+04127,2024,MIDD,0.453595432,3994.666667
110+04127,2024,PMP,0.460731228,4057.5
110+04127,2024,WE,0.503150429,4431.071429
110+04128,2017,AMP,0.342781053,3018.5
110+04128,2017,MIDD,0.300816051,2649.333333
110+04128,2017,PMP,0.28006491,2466.5
110+04128,2017,WE,0.306877154,2702.571429
110+04128,2018,AMP,0.332868573,2931.25
110+04128,2018,MIDD,0.292117108,2572.5
110+04128,2018,PMP,0.271966045,2394.75
110+04128,2018,WE,0.298002937,2624.214286
110+04128,2019,AMP,0.337776086,2974.5
110+04128,2019,MIDD,0.296423817,2610.333333
110+04128,2019,PMP,0.275975665,2430.5
110+04128,2019,WE,0.302396422,2663
110+04128,2020,AMP,0.292132739,2572.75
110+04128,2020,MIDD,0.256368361,2257.5
