TMC,PERIOD,TRUCK_PCT
110+04183,PMP,1.5725707
110+04183,WE,1.3575432
110+04184,AMP,13.5280558
110+04184,MIDD,10.4274148
110+04184,PMP,5.0390653
110+04184,WE,8.9074799
110+04185,AMP,13.5695169
110+04185,MIDD,10.5109833
110+04185,PMP,5.2281395
110+04185,WE,8.9679522
110+04186,AMP,13.5524906
110+04186,MIDD,10.4457062
110+04186,PMP,5.1052141
110+04186,WE,8.927164
110+04187,AMP,13.56964
110+04187,MIDD,10.4239298
110+04187,PMP,5.0622144
110+04187,WE,8.9570391
110+04188,AMP,13.56964
110+04188,MIDD,10.4239298
110+04188,PMP,5.0622144
110+04188,WE,8.9570391
110+04189,AMP,13.5524694
110+04189,MIDD,10.3724043
110+04189,PMP,4.9912276
110+04189,WE,8.8636993
110+04190,AMP,13.5712803
110+04190,MIDD,10.546841
110+04190,PMP,4.9852084
110+04190,WE,9.0378568
110+04191,AMP,13.5753282
110+04191,MIDD,10.5642486
110+04191,PMP,4.9692854
110+04191,WE,9.070757
110+04192,AMP,13.5599367
110+04192,MIDD,10.5506339
110+04192,PMP,4.9714162
110+04192,WE,9.0625423
110+04193,AMP,13.5599367
110+04193,MIDD,10.5506339
110+04193,PMP,4.9714162
110+04193,WE,9.0625423
110+04194,AMP,20.8748456
110+04194,MIDD,17.4116918
110+04194,PMP,12.3491679
110+04194,WE,16.1923368
110+04603,AMP,8.7935589
110+04603,MIDD,9.1951775
110+04603,PMP,5.2470766
110+04603,WE,7.8922741
110+04604,AMP,5.6943416
110+04604,MIDD,6.3520866
110+04604,PMP,3.1797003
110+04604,WE,5.2515369
110+04605,AMP,5.6667396
110+04605,MIDD,6.4075081
110+04605,PMP,3.1796526
110+04605,WE,5.3087916
110+04606,AMP,5.6495453
110+04606,MIDD,6.5768962
110+04606,PMP,3.1920405
110+04606,WE,5.4583183
110+04607,AMP,5.6662824
110+04607,MIDD,6.3851285
110+04607,PMP,3.1874424
110+04607,WE,5.3522408
110+04608,AMP,5.7017867
110+04608,MIDD,6.377893
110+04608,PMP,3.1847149
110+04608,WE,5.3083343
110+04609,AMP,5.7117741
110+04609,MIDD,6.4192463
110+04609,PMP,3.1857164
110+04609,WE,5.3661764
110+04610,AMP,5.7069861
110+04610,MIDD,6.3727275
110+04610,PMP,3.180512
110+04610,WE,5.2851606
110+04611,AMP,5.6785049
110+04611,MIDD,6.3036438
110+04611,PMP,3.1808224
110+04611,WE,5.1594532
110+04612,AMP,5.6500972
110+04612,MIDD,6.3661082
110+04612,PMP,3.1974381
110+04612,WE,5.3738495
110+04613,AMP,5.6531025
110+04613,MIDD,6.3827644
110+04613,PMP,3.194205
110+04613,WE,5.3579704
110+04614,AMP,5.69619
110+04614,MIDD,6.3483588
110+04614,PMP,3.1925167
110+04614,WE,5.309414
110+04645,AMP,8.7987952
110+04645,MIDD,9.1144389
110+04645,PMP,5.2469426
110+04645,WE,7.8429962
110+04646,AMP,8.7987952
110+04646,MIDD,9.1144389
110+04646,PMP,5.2469426
110+04646,WE,7.8429962
110+04647,AMP,8.7987952
110+04647,MIDD,9.1144389
110+04647,PMP,5.2469426
110+04647,WE,7.8429962
110+04648,AMP,8.7916665
110+04648,MIDD,9.1161613
110+04648,PMP,5.2363135
110+04648,WE,7.7409284
110+04670,AMP,2.4720923
110+04670,MIDD,2.4720923
110+04670,PMP,2.4720923
110+04670,WE,2.4720923
110+04681,AMP,23.8645603
110+04681,MIDD,23.1088377
110+04681,PMP,17.9502774
110+04681,WE,21.8870001
110+04682,AMP,23.9194824
110+04682,MIDD,23.1125946
110+04682,PMP,18.0399872
110+04682,WE,21.8582038
110+04683,AMP,23.8477303
110+04683,MIDD,22.9461487
110+04683,PMP,18.0189711
110+04683,WE,21.5641088
110+04684,AMP,23.8591981
110+04684,MIDD,23.0670546
110+04684,PMP,18.0657476
110+04684,WE,21.6484918
110+04686,AMP,7.2413939
110+04686,MIDD,11.5480249
110+04686,PMP,4.1252259
110+04686,WE,7.9955545
110+04687,AMP,7.228486
110+04687,MIDD,11.5945106
110+04687,PMP,4.1133014
110+04687,WE,8.1382701
110+04688,AMP,7.309856
110+04688,MIDD,11.5569906
110+04688,PMP,4.1155387
110+04688,WE,8.0985717
110+04689,AMP,7.2608913
110+04689,MIDD,11.595871
110+04689,PMP,4.1298902
110+04689,WE,8.1057886
110+04690,AMP,7.3526716
110+04690,MIDD,11.4890699
110+04690,PMP,4.2251216
110+04690,WE,8.174088
110+04691,AMP,7.3325208
110+04691,MIDD,11.4870152
110+04691,PMP,4.2281472
110+04691,WE,8.1956163
110+04692,AMP,7.5414872
110+04692,MIDD,11.4251911
110+04692,PMP,4.2573367
110+04692,WE,8.209098
110+04693,AMP,7.5414872
110+04693,MIDD,11.4251911
110+04693,PMP,4.2573367
110+04693,WE,8.209098
110+04694,AMP,7.5892119
110+04694,MIDD,11.5320143
110+04694,PMP,4.1706957
110+04694,WE,8.2714588
110+04695,AMP,7.5889427
110+04695,MIDD,11.5320143
110+04695,PMP,4.1706957
110+04695,WE,8.2713657
110+04696,AMP,7.5892119
110+04696,MIDD,11.5320143
110+04696,PMP,4.1706957
110+04696,WE,8.2714588
110+04697,AMP,7.5892119
110+04697,MIDD,11.5320143
110+04697,PMP,4.1706957
110+04697,WE,8.2714588
110+04698,AMP,7.8088654
110+04698,MIDD,11.3074151
110+04698,PMP,4.2561986
110+04698,WE,8.1241763
110+04699,AMP,7.8088654
110+04699,MIDD,11.3074151
110+04699,PMP,4.2561986
110+04699,WE,8.1241763
110+04700,AMP,7.8694667
110+04700,MIDD,11.2971819
110+04700,PMP,4.2765322
110+04700,WE,8.0726002
110+04701,AMP,7.9540285
110+04701,MIDD,11.2801131
110+04701,PMP,4.2847297
110+04701,WE,8.0297279
110+04702,AMP,3.0976604
110+04702,MIDD,2.8103696
110+04702,PMP,1.0630074
110+04702,WE,2.2347395
110+04703,AMP,3.1127031
110+04703,MIDD,2.8842205
110+04703,PMP,1.0475566
110+04703,WE,2.4004555
110+04704,AMP,3.1169423
110+04704,MIDD,2.869552
110+04704,PMP,1.048567
110+04704,WE,2.3485531
110+04705,AMP,3.113533
110+04705,MIDD,2.8798651
110+04705,PMP,1.0447836
110+04705,WE,2.3418888
110+04706,AMP,3.1052908
110+04706,MIDD,2.9100357
110+04706,PMP,1.0474787
110+04706,WE,2.3865555
110+04707,AMP,3.1002348
110+04707,MIDD,2.9117887
110+04707,PMP,1.0416765
110+04707,WE,2.3902166
110+04708,AMP,3.1251298
110+04708,MIDD,2.9321407
110+04708,PMP,1.0325685
110+04708,WE,2.3606063
110+04709,AMP,3.1504217
110+04709,MIDD,2.9372257
110+04709,PMP,1.0309055
110+04709,WE,2.3525753
110+04710,AMP,3.1548646
110+04710,MIDD,2.9031724
110+04710,PMP,1.0244235
110+04710,WE,2.269083
110+04711,AMP,3.1734873
110+04711,MIDD,2.9242569
110+04711,PMP,1.0245585
110+04711,WE,2.3236374
110+04728,AMP,8.5390769
110+04728,MIDD,9.0288989
110+04728,PMP,3.4200989
110+04728,WE,7.039202
110+04729,AMP,8.5390769
110+04729,MIDD,9.0288989
110+04729,PMP,3.4200989
110+04729,WE,7.039202
110+04730,AMP,8.5514238
110+04730,MIDD,9.1617724
110+04730,PMP,3.4267122
110+04730,WE,7.3154985
110+04731,AMP,8.4428933
110+04731,MIDD,9.1092299
110+04731,PMP,3.4183923
110+04731,WE,7.1596105
110+04732,AMP,8.3676715
110+04732,MIDD,9.1318499
110+04732,PMP,3.4225234
110+04732,WE,7.1820057
110+04733,AMP,8.3676715
110+04733,MIDD,9.1316673
110+04733,PMP,3.4225234
110+04733,WE,7.1819366
110+04734,AMP,8.3672607
110+04734,MIDD,9.3116927
110+04734,PMP,3.4290404
110+04734,WE,7.448002
110+04735,AMP,8.1271795
110+04735,MIDD,9.0758203
110+04735,PMP,3.4142045
110+04735,WE,7.1991544
110+04736,AMP,8.1879916
110+04736,MIDD,9.0202848
110+04736,PMP,3.4111715
110+04736,WE,7.1092067
110+04737,AMP,8.2641618
110+04737,MIDD,9.1361561
110+04737,PMP,3.4251782
110+04737,WE,7.2346093
110+04738,AMP,8.2641618
110+04738,MIDD,9.1361561
110+04738,PMP,3.4251782
110+04738,WE,7.2346093
110+04739,AMP,8.2641618
110+04739,MIDD,9.1361561
110+04739,PMP,3.4251782
110+04739,WE,7.2346093
110+04740,AMP,8.5022463
110+04740,MIDD,8.4471332
110+04740,PMP,3.4009057
110+04740,WE,6.7515334
110+04741,AMP,8.5505143
110+04741,MIDD,8.5055051
110+04741,PMP,3.4017224
110+04741,WE,6.7833422
110+04742,AMP,8.5505143
110+04742,MIDD,8.5055051
110+04742,PMP,3.4017224
110+04742,WE,6.7833422
110+04743,AMP,8.5837729
110+04743,MIDD,8.5792387
110+04743,PMP,3.4037725
110+04743,WE,6.8439746
110+04744,AMP,8.5981226
110+04744,MIDD,8.7035478
110+04744,PMP,3.407799
110+04744,WE,6.9561364
110+04770,AMP,9.2770153
110+04770,MIDD,12.467441
110+04770,PMP,9.1463249
110+04770,WE,10.6630461
110+04771,AMP,9.2771553
110+04771,MIDD,12.5059715
110+04771,PMP,9.1920774
110+04771,WE,10.6938857
110+04772,AMP,9.1545612
110+04772,MIDD,12.4793412
110+04772,PMP,9.2349045
110+04772,WE,10.5315074
110+04773,AMP,9.0353091
110+04773,MIDD,12.4460811
110+04773,PMP,9.1730501
110+04773,WE,10.4252612
110+04774,AMP,9.0284083
110+04774,MIDD,12.4214522
110+04774,PMP,9.126552
110+04774,WE,10.3980813
110+04775,AMP,9.0075742
110+04775,MIDD,12.4239164
110+04775,PMP,9.1370145
110+04775,WE,10.3969338
110+04776,AMP,8.9969675
110+04776,MIDD,12.3605247
110+04776,PMP,9.0443308
110+04776,WE,10.3379742
110+04777,AMP,8.9918145
110+04777,MIDD,12.386486
110+04777,PMP,9.0754284
110+04777,WE,10.3572503
110+04785,AMP,8.4887918
110+04785,MIDD,9.0665327
110+04785,PMP,5.7933636
110+04785,WE,7.899374
110+04786,AMP,8.4903509
110+04786,MIDD,9.0635662
110+04786,PMP,5.7770492
110+04786,WE,7.8918944
110+04787,AMP,8.509242
110+04787,MIDD,9.0556376
110+04787,PMP,5.7615536
110+04787,WE,7.8726372
110+04788,AMP,8.4963788
110+04788,MIDD,9.0417065
110+04788,PMP,5.7424923
110+04788,WE,7.8695272
110+04789,AMP,8.5696841
110+04789,MIDD,9.0520956
110+04789,PMP,5.7263532
110+04789,WE,7.8518766
110+04790,AMP,8.5401929
110+04790,MIDD,9.0778279
110+04790,PMP,5.7118676
110+04790,WE,7.9333707
110+04792,AMP,7.2698595
110+04792,MIDD,7.8623868
110+04792,PMP,4.7256484
110+04792,WE,6.836406
110+04793,AMP,7.2611253
110+04793,MIDD,7.8763571
110+04793,PMP,4.7373345
110+04793,WE,6.8577468
110+04794,AMP,7.2770262
110+04794,MIDD,7.85491
110+04794,PMP,4.7129522
110+04794,WE,6.8109602
110+04795,AMP,7.3152101
110+04795,MIDD,7.8251187
110+04795,PMP,4.7054138
110+04795,WE,6.7546174
110+04796,AMP,7.3152101
110+04796,MIDD,7.8251187
110+04796,PMP,4.7054138
110+04796,WE,6.7546174
110+04798,AMP,8.7665081
110+04798,MIDD,10.0227482
110+04798,PMP,6.9054491
110+04798,WE,8.8697135
110+04799,AMP,8.6183611
110+04799,MIDD,10.0127842
110+04799,PMP,6.9128114
110+04799,WE,8.7975829
110+04800,AMP,8.598716
110+04800,MIDD,10.0323303
110+04800,PMP,6.9235622
110+04800,WE,8.8050629
110+04801,AMP,8.4585327
110+04801,MIDD,10.0295013
110+04801,PMP,6.9353329
110+04801,WE,8.7419609
110+04803,AMP,8.4002291
110+04803,MIDD,10.0338166
110+04803,PMP,6.9506108
110+04803,WE,8.6851319
110+04804,AMP,8.4549828
110+04804,MIDD,10.0108867
110+04804,PMP,6.9501713
110+04804,WE,8.6790058
110+04805,AMP,8.4571876
110+04805,MIDD,10.0197672
110+04805,PMP,6.9742022
110+04805,WE,8.6908328
110+04806,AMP,8.4571876
110+04806,MIDD,10.0197672
110+04806,PMP,6.9742022
110+04806,WE,8.6908328
110+04807,AMP,8.3555887
110+04807,MIDD,10.0239325
110+04807,PMP,6.9363784
110+04807,WE,8.6429521
110+04808,AMP,8.3555887
110+04808,MIDD,10.0239325
110+04808,PMP,6.9363784
110+04808,WE,8.6429521
110+04809,AMP,8.3248236
110+04809,MIDD,10.0106357
110+04809,PMP,6.9426
110+04809,WE,8.621962
110+04810,AMP,8.2928545
110+04810,MIDD,10.0002543
110+04810,PMP,6.9497495
110+04810,WE,8.6019863
110+04811,AMP,8.2073961
110+04811,MIDD,9.9956583
110+04811,PMP,6.9528649
110+04811,WE,8.5656534
110+04812,AMP,8.2008733
110+04812,MIDD,10.0020417
110+04812,PMP,6.9527572
110+04812,WE,8.565509
110+04813,AMP,8.166579
110+04813,MIDD,9.9945216
110+04813,PMP,6.9458823
110+04813,WE,8.5232012
110+04814,AMP,8.1266815
110+04814,MIDD,10.0454377
110+04814,PMP,6.9881368
110+04814,WE,8.5800435
110+04815,AMP,7.4991326
110+04815,MIDD,10.5944106
110+04815,PMP,6.845403
110+04815,WE,8.5424236
110+04816,AMP,7.5750642
110+04816,MIDD,10.5720987
110+04816,PMP,6.8429727
110+04816,WE,8.5764825
110+04817,AMP,7.5785564
110+04817,MIDD,10.5608623
110+04817,PMP,6.8495765
110+04817,WE,8.5749293
110+04818,AMP,7.5275159
110+04818,MIDD,10.5193575
110+04818,PMP,6.8100888
110+04818,WE,8.4872431
110+04819,AMP,7.2217873
110+04819,MIDD,7.8493738
110+04819,PMP,4.7182726
110+04819,WE,6.8308769
110+04820,AMP,7.2217873
110+04820,MIDD,7.8493738
110+04820,PMP,4.7182726
110+04820,WE,6.8308769
110+04821,AMP,7.2249675
110+04821,MIDD,7.8210671
110+04821,PMP,4.7064007
110+04821,WE,6.7815532
110+04823,AMP,3.889427
110+04823,MIDD,4.6007082
110+04823,PMP,1.3233024
110+04823,WE,3.6780649
110+04824,AMP,3.889427
110+04824,MIDD,4.6007082
110+04824,PMP,1.3233024
110+04824,WE,3.6780649
110+04825,AMP,3.889427
110+04825,MIDD,4.6007082
110+04825,PMP,1.3233024
110+04825,WE,3.6780649
110+04827,AMP,11.9814094
110+04827,MIDD,15.2328949
110+04827,PMP,11.1766151
110+04827,WE,13.1016788
110+04828,AMP,11.962667
110+04828,MIDD,15.2459248
110+04828,PMP,11.2032595
110+04828,WE,13.1013766
110+04847,AMP,1.9348949
110+04847,MIDD,3.3991151
110+04847,PMP,1.4840342
110+04847,WE,2.2350487
110+04848,AMP,1.891558
110+04848,MIDD,3.4490933
110+04848,PMP,1.4883174
110+04848,WE,2.3046958
110+04849,AMP,1.891558
110+04849,MIDD,3.4490933
110+04849,PMP,1.4883174
110+04849,WE,2.3046958
110+04850,AMP,1.8906012
110+04850,MIDD,3.4504033
110+04850,PMP,1.4833676
110+04850,WE,2.3018281
110+04851,AMP,1.9053682
110+04851,MIDD,3.4454788
110+04851,PMP,1.4920811
110+04851,WE,2.3396034
110+04852,AMP,1.9386549
110+04852,MIDD,3.4435818
110+04852,PMP,1.4761805
110+04852,WE,2.314247
110+04855,AMP,9.0513014
110+04855,MIDD,11.4772645
110+04855,PMP,5.7389956
110+04855,WE,9.1406369
110+04856,AMP,9.1431967
110+04856,MIDD,11.329114
110+04856,PMP,5.8096266
110+04856,WE,9.0278825
110+04857,AMP,9.083312
110+04857,MIDD,11.3910399
110+04857,PMP,5.8053976
110+04857,WE,9.088555
110+04858,AMP,3.3943204
110+04858,MIDD,4.7719165
110+04858,PMP,2.1052791
110+04858,WE,3.559267
110+04859,AMP,3.388662
110+04859,MIDD,4.8230257
110+04859,PMP,2.0907134
110+04859,WE,3.6288926
110+04860,AMP,3.4032524
110+04860,MIDD,4.8280846
110+04860,PMP,2.0964955
110+04860,WE,3.6231605
110+04861,AMP,3.3973701
110+04861,MIDD,4.8283198
110+04861,PMP,2.0953543
110+04861,WE,3.6090462
110+04862,AMP,3.3946832
110+04862,MIDD,4.8858846
110+04862,PMP,2.0906121
110+04862,WE,3.6469544
110+04863,AMP,4.1292318
110+04863,MIDD,4.4693242
110+04863,PMP,1.3244175
110+04863,WE,3.4628427
110+04864,AMP,4.031194
110+04864,MIDD,4.4029409
110+04864,PMP,1.3243127
110+04864,WE,3.3824273
110+04865,AMP,4.0211265
110+04865,MIDD,4.4545364
110+04865,PMP,1.3232484
110+04865,WE,3.4263972
110+04866,AMP,4.0211265
110+04866,MIDD,4.4545364
110+04866,PMP,1.3232484
110+04866,WE,3.4263972
110+04867,AMP,4.0418936
110+04867,MIDD,4.4938172
110+04867,PMP,1.3135474
110+04867,WE,3.4712993
110+04868,AMP,3.9409811
110+04868,MIDD,4.5142523
110+04868,PMP,1.3164765
110+04868,WE,3.5090006
110+04869,AMP,3.8862061
110+04869,MIDD,4.5247627
110+04869,PMP,1.312234
110+04869,WE,3.5629411
110+04870,AMP,4.2267249
110+04870,MIDD,4.6845823
110+04870,PMP,1.293066
110+04870,WE,3.8317348
110+04871,AMP,4.2267249
110+04871,MIDD,4.6845823
110+04871,PMP,1.293066
110+04871,WE,3.8317348
110+04872,AMP,4.2172235
110+04872,MIDD,4.4685001
110+04872,PMP,1.3178263
110+04872,WE,3.536854
110+04873,AMP,4.0218566
110+04873,MIDD,4.4408454
110+04873,PMP,2.2404286
110+04873,WE,3.695896
110+04874,AMP,3.9919856
110+04874,MIDD,4.3957404
110+04874,PMP,2.2499266
110+04874,WE,3.6626776
110+04875,AMP,4.0369008
110+04875,MIDD,4.4525614
110+04875,PMP,2.2300195
110+04875,WE,3.67972
110+04876,AMP,3.998916
110+04876,MIDD,4.4790706
110+04876,PMP,2.2299414
110+04876,WE,3.7049803
110+04877,AMP,3.998916
110+04877,MIDD,4.4790706
110+04877,PMP,2.2299414
110+04877,WE,3.7049803
110+04878,AMP,3.998916
110+04878,MIDD,4.4790706
110+04878,PMP,2.2299414
110+04878,WE,3.7049803
110+04879,AMP,4.0032392
110+04879,MIDD,4.534748
110+04879,PMP,2.2264543
110+04879,WE,3.7277158
110+04880,AMP,3.9676663
110+04880,MIDD,4.3995144
110+04880,PMP,2.2565479
110+04880,WE,3.6393913
110+04881,AMP,3.9674568
110+04881,MIDD,4.3995144
110+04881,PMP,2.2565479
110+04881,WE,3.6393286
110+04882,AMP,3.9676663
110+04882,MIDD,4.3995144
110+04882,PMP,2.2565479
110+04882,WE,3.6393913
110+04883,AMP,3.9341047
110+04883,MIDD,4.4864328
110+04883,PMP,2.2352685
110+04883,WE,3.680782
110+04884,AMP,4.0574132
110+04884,MIDD,4.4027507
110+04884,PMP,2.2502451
110+04884,WE,3.6548129
110+04885,AMP,6.6748498
110+04885,MIDD,6.8812885
110+04885,PMP,3.1740162
110+04885,WE,5.6863394
110+04886,AMP,6.6577687
110+04886,MIDD,6.8999723
110+04886,PMP,3.1747284
110+04886,WE,5.6959827
110+04887,AMP,6.5354016
110+04887,MIDD,6.9025295
110+04887,PMP,3.1687276
110+04887,WE,5.6797661
110+04888,AMP,6.5925154
110+04888,MIDD,6.833906
110+04888,PMP,3.1735761
110+04888,WE,5.6237105
110+04889,AMP,6.6137756
110+04889,MIDD,6.9348474
110+04889,PMP,3.1734063
110+04889,WE,5.7535639
110+04890,AMP,6.5727787
110+04890,MIDD,6.9783937
110+04890,PMP,3.1724765
110+04890,WE,5.7997692
110+04891,AMP,6.5730081
110+04891,MIDD,6.9783937
110+04891,PMP,3.172186
110+04891,WE,5.7997584
110+04892,AMP,10.8122724
110+04892,MIDD,11.9188174
110+04892,PMP,7.0510971
110+04892,WE,10.2601585
110+04893,AMP,10.8487573
110+04893,MIDD,11.9749569
110+04893,PMP,7.0743419
110+04893,WE,10.2896723
110+04894,AMP,10.8282246
110+04894,MIDD,11.9526544
110+04894,PMP,7.0760152
110+04894,WE,10.2047004
110+04895,AMP,10.8723332
110+04895,MIDD,11.866325
110+04895,PMP,7.048102
110+04895,WE,10.1533269
110+04896,AMP,10.8723332
110+04896,MIDD,11.8660089
110+04896,PMP,7.048102
110+04896,WE,10.1531862
110+04897,AMP,10.8608786
110+04897,MIDD,11.8531016
110+04897,PMP,7.0507592
110+04897,WE,10.1452733
110+04898,AMP,10.8797874
110+04898,MIDD,11.8791284
110+04898,PMP,7.034369
110+04898,WE,10.2197262
110+04899,AMP,10.8742391
110+04899,MIDD,11.8588444
110+04899,PMP,6.9981014
110+04899,WE,10.1984986
110+04900,AMP,9.3856588
110+04900,MIDD,12.5306033
110+04900,PMP,9.6384172
110+04900,WE,10.8996688
110+04901,AMP,9.3814943
110+04901,MIDD,12.5412395
110+04901,PMP,9.6508087
110+04901,WE,10.9070963
110+04902,AMP,9.2762564
110+04902,MIDD,12.551147
110+04902,PMP,9.6428994
110+04902,WE,10.8275021
110+04903,AMP,9.1569326
110+04903,MIDD,12.5663505
110+04903,PMP,9.6594151
110+04903,WE,10.6615108
