year,tmc_code,Urban_Code,miles,nhs_pct,miles on NHS
2017,110-04683,96103,1.726225,100,1.726
2017,110-04684,96103,3.070138,100,3.07
2017,110-04685,90892,0.815705,100,0.816
2017,110-04686,90892,0.73451,100,0.735
2017,110-04687,90892,0.340437,100,0.34
2017,110-04688,90892,0.272695,100,0.273
2017,110-04689,90892,0.736977,100,0.737
2017,110-04690,90892,0.373661,100,0.374
2017,110-04691,90892,0.176687,100,0.177
2017,110-04692,90892,0.119887,100,0.12
2017,110-04693,90892,0.067133,100,0.067
2017,110-04694,90892,0.00499,100,0.005
2017,110-04695,90892,0.386878,100,0.387
2017,110-04697,90892,0.247654,100,0.248
2017,110-04698,90892,0.056079,100,0.056
2017,110-04699,90892,0.460423,100,0.46
2017,110-04700,90892,1.828297,100,1.828
2017,110-04701,90892,0.484011,100,0.484
2017,110-04702,90892,0.396783,100,0.397
2017,110-04703,90892,0.399324,100,0.399
2017,110-04704,90892,0.793951,100,0.794
2017,110-04705,90892,1.797384,100,1.797
2017,110-04706,90892,1.211052,100,1.211
2017,110-04707,90892,0.825168,100,0.825
2017,110-04708,90892,0.822639,100,0.823
2017,110-04709,90892,0.846954,100,0.847
2017,110-04711,90892,0.600654,100,0.601
2017,110-04712,96103,2.304124,100,2.304
2017,110-04713,96103,1.860018,100,1.86
2017,110-04714,96103,1.100746,100,1.101
2017,110-04715,96103,1.786808,100,1.787
2017,110-04717,74746,1.509267,100,1.509
2017,110-04718,74746,1.840153,100,1.84
2017,110-04719,74746,1.336383,100,1.336
2017,110-04720,74746,0.304205,100,0.304
2017,110-04721,74746,0.594807,100,0.595
2017,110-04722,74746,0.377309,100,0.377
2017,110-04723,74746,0.833563,100,0.834
2017,110-04724,74746,0.024532,100,0.025
2017,110-04725,74746,0.319795,100,0.32
2017,110-04727,90892,0.083084,100,0.083
2017,110-04728,90892,0.266531,100,0.267
2017,110-04729,90892,0.573849,100,0.574
2017,110-04730,90892,0.467377,100,0.467
2017,110-04731,90892,1.462161,100,1.462
2017,110-04732,90892,0.574134,100,0.574
2017,110-04733,90892,0.164141,100,0.164
2017,110-04734,90892,0.744632,100,0.745
2017,110-04735,90892,5.472116,100,5.472
2017,110-04736,90892,0.431101,100,0.431
2017,110-04738,90892,0.016777,100,0.017
2017,110-04739,90892,0.433978,100,0.434
2017,110-04740,90892,0.150676,100,0.151
2017,110-04741,90892,0.260733,100,0.261
2017,110-04742,90892,0.785108,100,0.785
2017,110-04743,90892,0.621781,100,0.622
2017,110-04745,74746,0.207501,100,0.208
2017,110-04746,74746,1.260656,100,1.261
2017,110-04747,74746,3.162256,100,3.162
2017,110-04748,74746,2.403531,100,2.404
2017,110-04749,74746,2.746969,100,2.747
2017,110-04750,74746,0.508611,100,0.509
2017,110-04751,74746,2.403767,100,2.404
2017,110-04752,74746,0.38425,100,0.384
2017,110-04753,74746,0.492381,100,0.492
2017,110-04754,74746,0.475697,100,0.476
2017,110-04755,74746,0.933318,100,0.933
2017,110-04757,74746,0.333372,100,0.333
2017,110-04758,74746,0.302521,100,0.303
2017,110-04759,74746,0.703361,100,0.703
2017,110-04760,74746,0.191295,100,0.191
2017,110-04761,74746,0.609292,100,0.609
2017,110-04762,74746,0.818805,100,0.819
2017,110-04763,74746,1.364034,100,1.364
2017,110-04764,74746,1.247129,100,1.247
2017,110-04765,74746,0.588674,100,0.589
2017,110-04766,74746,0.250941,100,0.251
2017,110-04767,74746,0.440297,100,0.44
2017,110-04768,74746,1.068435,100,1.068
2017,110-04769,74746,1.70749,100,1.707
2017,110-04770,74746,5.79375,100,5.794
2017,110-04771,74746,3.148897,100,3.149
2017,110-04772,74746,6.174663,100,6.175
2017,110-04773,74746,2.214858,100,2.215
2017,110-04774,74746,0.793149,100,0.793
2017,110-04775,74746,1.812757,100,1.813
2017,110-04776,74746,0.595907,100,0.596
2017,110-04777,74746,2.044683,100,2.045
2017,110-04778,90892,0.224682,100,0.225
2017,110-04779,90892,1.294484,100,1.294
2017,110-04780,90892,0.751809,100,0.752
2017,110-04781,90892,0.737803,100,0.738
2017,110-04782,90892,0.157946,100,0.158
2017,110-04784,74746,0.258907,100,0.259
2017,110-04785,74746,0.801196,100,0.801
2017,110-04786,74746,0.552355,100,0.552
2017,110-04787,74746,1.189609,100,1.19
2017,110-04788,74746,1.111564,100,1.112
2017,110-04789,74746,0.650675,100,0.651
2017,110-04790,74746,1.885302,100,1.885
2017,110-04791,74746,0.130016,100,0.13
2017,110-04792,74746,0.04577,100,0.046
2017,110-04793,74746,1.85368,100,1.854
2017,110-04794,74746,0.106671,100,0.107
2017,110-04795,74746,0.336006,100,0.336
2017,110-04797,74746,2.397809,100,2.398
2017,110-04798,74746,3.156801,100,3.157
2017,110-04799,74746,4.030312,100,4.03
2017,110-04800,74746,0.821887,100,0.822
2017,110-04801,74746,0.289254,100,0.289
2017,110-04802,74746,0.63081,100,0.631
2017,110-04803,74746,1.352501,100,1.353
2017,110-04804,74746,0.235959,100,0.236
2017,110-04805,74746,0.005394,100,0.005
2017,110-04806,74746,0.005841,100,0.006
2017,110-04807,74746,0.03366,100,0.034
2017,110-04808,74746,0.623881,100,0.624
2017,110-04809,74746,0.620557,100,0.621
2017,110-04810,74746,3.493528,100,3.494
2017,110-04811,74746,2.323319,100,2.323
2017,110-04812,74746,0.997667,100,0.998
2017,110-04813,74746,1.490346,100,1.49
2017,110-04814,74746,2.275684,100,2.276
2017,110-04815,74746,0.906226,100,0.906
2017,110-04816,74746,3.513008,100,3.513
2017,110-04817,74746,0.454937,100,0.455
2017,110-04818,74746,0.066021,100,0.066
2017,110-04819,74746,0.089322,100,0.089
2017,110-04820,74746,0.14271,100,0.143
2017,110-04821,74746,0.026526,100,0.027
2017,110-04822,90892,0.310686,100,0.311
2017,110-04823,90892,0.167074,100,0.167
2017,110-04824,90892,1.808861,100,1.809
2017,110-04826,74746,0.805999,100,0.806
2017,110-04827,74746,2.130607,100,2.131
2017,110-04829,74746,0.24541,100,0.245
2017,110-04830,74746,0.190748,100,0.191
2017,110-04833,95411,0.067089,100,0.067
2017,110-04834,95411,0.524058,100,0.524
2017,110-04836,74746,0.146451,100,0.146
2017,110-04837,74746,0.28757,100,0.288
2017,110-04838,74746,0.066766,100,0.067
2017,110-04839,74746,0.031255,100,0.031
2017,110-04840,74746,0.108174,100,0.108
2017,110-04841,74746,0.251574,100,0.252
2017,110-04842,74746,0.057837,100,0.058
2017,110-04843,74746,0.197776,100,0.198
2017,110-04844,74746,0.032591,100,0.033
2017,110-04845,74746,0.027695,100,0.028
2017,110-04846,74746,0.229112,100,0.229
2017,110-04847,74746,0.030895,100,0.031
2017,110-04848,74746,0.370244,100,0.37
2017,110-04849,74746,0.183727,100,0.184
2017,110-04850,74746,0.24418,100,0.244
2017,110-04851,74746,0.420867,100,0.421
2017,110-04852,74746,0.048231,100,0.048
2017,110-04854,90892,1.473072,100,1.473
2017,110-04855,90892,0.915516,100,0.916
2017,110-04856,90892,3.623283,100,3.623
2017,110-04857,90892,0.16009,100,0.16
2017,110-04858,90892,0.310754,100,0.311
2017,110-04859,90892,0.159245,100,0.159
2017,110-04860,90892,1.769839,100,1.77
2017,110-04861,90892,1.965732,100,1.966
2017,110-04862,90892,1.046581,100,1.047
2017,110-04863,90892,0.730757,100,0.731
2017,110-04864,90892,0.061826,100,0.062
2017,110-04865,90892,0.67136,100,0.671
2017,110-04866,90892,0.919349,100,0.919
2017,110-04867,90892,0.454204,100,0.454
2017,110-04868,90892,0.353715,100,0.354
2017,110-04869,90892,0.219959,100,0.22
2017,110-04870,90892,0.118315,100,0.118
2017,110-04871,90892,0.907127,100,0.907
2017,110-04872,90892,0.751293,100,0.751
2017,110-04873,90892,1.578599,100,1.579
2017,110-04874,90892,0.070669,100,0.071
2017,110-04875,90892,0.198292,100,0.198
2017,110-04876,90892,0.195757,100,0.196
2017,110-04877,90892,0.188847,100,0.189
2017,110-04878,90892,0.110231,100,0.11
2017,110-04879,90892,1.288661,100,1.289
2017,110-04880,90892,0.217902,100,0.218
2017,110-04881,90892,0.029111,100,0.029
2017,110-04882,90892,0.245466,100,0.245
2017,110-04883,90892,0.638334,100,0.638
2017,110-04884,90892,0.277386,100,0.277
2017,110-04885,90892,0.428491,100,0.428
2017,110-04886,90892,2.379497,100,2.379
2017,110-04887,90892,1.097919,100,1.098
2017,110-04888,90892,0.855678,100,0.856
2017,110-04889,90892,4.040943,100,4.041
2017,110-04890,90892,1.93142,100,1.931
2017,110-04891,90892,0.660952,100,0.661
2017,110-04892,90892,2.475306,100,2.475
2017,110-04893,95411,1.068845,100,1.069
2017,110-04894,95411,3.272662,100,3.273
2017,110-04895,95411,3.835872,100,3.836
2017,110-04896,95411,2.150099,100,2.15
2017,110-04897,95411,3.486134,100,3.486
2017,110-04898,74746,6.351654,100,6.352
2017,110-04899,74746,5.077595,100,5.078
2017,110-04900,74746,2.857691,100,2.858
2017,110-04901,74746,5.19445,100,5.194
2017,110-04902,74746,3.447615,100,3.448
2017,110-04903,74746,1.880741,100,1.881
2017,110-04904,74746,1.359367,100,1.359
2017,110-04905,74746,1.744549,100,1.745
2017,110-04906,74746,0.787929,100,0.788
2017,110-04907,74746,0.965449,100,0.965
2017,110-04909,90892,0.624012,92,0.574
2017,110-04910,90892,0.455111,100,0.455
2017,110-04911,90892,0.42229,100,0.422
2017,110-04912,90892,1.460893,100,1.461
2017,110-04913,90892,0.662232,100,0.662
2017,110-04914,90892,0.166298,100,0.166
2017,110-04916,90892,0.357357,100,0.357
2017,110-04917,90892,0.868832,100,0.869
2017,110-04918,90892,1.882996,100,1.883
2017,110-04919,90892,1.520116,100,1.52
2017,110-04921,90892,0.434171,100,0.434
2017,110-04922,90892,0.31895,100,0.319
2017,110-04923,90892,8.248128,100,8.248
2017,110-04924,90892,9.435183,100,9.435
2017,110-04925,31600,3.488806,100,3.489
2017,110-04926,31600,1.768099,100,1.768
2017,110-04928,90892,0.816823,100,0.817
2017,110-04929,90892,1.835654,100,1.836
2017,110-04930,90892,1.057132,100,1.057
2017,110-04931,90892,0.109802,100,0.11
2017,110-04932,90892,1.102349,100,1.102
2017,110-04933,90892,0.965356,100,0.965
2017,110-04934,90892,0.992802,100,0.993
2017,110-04935,90892,0.912011,100,0.912
2017,110-04936,90892,0.142089,100,0.142
2017,110-04938,95411,1.461123,100,1.461
2017,110-04939,95411,2.346409,100,2.346
2017,110-04940,95411,0.448649,100,0.449
2017,110-04941,95411,0.629598,100,0.63
2017,110-04943,74746,0.871349,100,0.871
2017,110-04944,74746,0.272042,100,0.272
2017,110-04945,74746,0.384125,100,0.384
2017,110-04946,74746,0.109355,100,0.109
2017,110-04947,74746,1.465677,100,1.466
2017,110-04948,74746,0.592434,100,0.592
2017,110-04949,74746,0.943571,100,0.944
2017,110-04950,74746,0.501794,100,0.502
2017,110-04951,74746,1.919166,100,1.919
2017,110-04952,74746,0.005766,100,0.006
2017,110-04953,74746,0.070072,100,0.07
2017,110-04954,74746,0.111648,100,0.112
2017,110-04955,74746,0.830785,100,0.831
2017,110-04956,74746,2.744782,100,2.745
2017,110-04957,74746,1.534569,100,1.535
2017,110-04958,74746,0.607875,100,0.608
2017,110-04960,90892,2.026949,100,2.027
2017,110-04961,90892,1.281882,100,1.282
2017,110-04962,90892,0.831401,100,0.831
2017,110-04963,90892,1.488954,100,1.489
2017,110-05007,75421,4.421838,100,4.422
2017,110-05008,75421,2.837379,100,2.837
2017,110-05009,75421,1.134512,100,1.135
2017,110-05010,75421,2.104242,100,2.104
2017,110-05011,75421,2.33546,100,2.335
2017,110-05012,75421,3.069045,100,3.069
2017,110-05014,75421,1.378462,100,1.378
2017,110-05015,75421,0.339977,100,0.34
2017,110-05016,75421,0.686248,100,0.686
2017,110-05017,75421,0.509611,100,0.51
2017,110-05018,75421,0.125995,100,0.126
2017,110-05019,75421,1.299765,100,1.3
2017,110-05020,75421,0.639472,100,0.639
2017,110-05021,75421,1.006714,100,1.007
2017,110-05022,75421,0.635706,100,0.636
2017,110-05353,84630,0.33047,100,0.33
2017,110-05354,84630,2.574539,100,2.575
2017,110-05355,84630,1.558349,100,1.558
2017,110-05356,99999,7.162388,100,7.162
2017,110-05357,99999,4.366616,100,4.367
2017,110-05358,37162,2.806838,100,2.807
2017,110-05359,37162,2.260256,100,2.26
2017,110-05360,37162,1.040952,100,1.041
2017,110-05361,37162,3.429129,100,3.429
2017,110-05362,37162,6.339239,100,6.339
2017,110-05363,37162,6.559198,100,6.559
2017,110-05364,37162,3.734626,100,3.735
2017,110-05365,37162,4.115614,100,4.116
2017,110-05366,37162,3.325689,100,3.326
2017,110-05367,37162,1.526174,100,1.526
2017,110-05368,99999,3.557486,100,3.557
2017,110-05369,99999,7.676964,100,7.677
2017,110-05370,99999,4.756291,100,4.756
2017,110-05371,99998,1.158963,100,1.159
2017,110-05372,99999,1.563531,100,1.564
2017,110-05373,99999,1.56693,100,1.567
2017,110-05374,99999,4.253359,100,4.253
2017,110-05375,96103,2.533243,100,2.533
2017,110-05376,99999,2.031144,100,2.031
2017,110-05377,99999,0.154286,100,0.154
2017,110-05379,74746,2.32261,100,2.323
2017,110-05380,99999,5.591034,100,5.591
2017,110-05381,99999,5.746799,100,5.747
2017,110-05382,99999,5.55451,100,5.555
2017,110-05383,99999,6.036619,100,6.037
2017,110-05384,99999,0.086439,100,0.086
2017,110-05385,90892,2.591471,100,2.591
2017,110-05386,90892,0.178675,100,0.179
2017,110-05387,90892,2.641802,100,2.642
2017,110-05388,90892,1.323638,100,1.324
2017,110-05389,99999,1.531866,100,1.532
2017,110-05390,99999,6.898834,100,6.899
2017,110-05391,99999,2.247729,100,2.248
2017,110-05392,99999,1.668083,100,1.668
2017,110-05393,99999,3.543374,100,3.543
2017,110-05394,99999,1.924162,100,1.924
2017,110-05395,99999,1.489227,100,1.489
2017,110-05396,99998,3.893076,100,3.893
2017,110-05397,99999,1.982633,100,1.983
2017,110-05398,99999,3.996372,100,3.996
2017,110-05399,99999,3.522993,100,3.523
2017,110-05400,99999,4.686616,100,4.687
2017,110-05401,8002,2.080816,100,2.081
2017,110-05402,8002,0.332067,100,0.332
2017,110-05403,75421,8.929915,100,8.93
2017,110-05404,75421,3.598067,100,3.598
2017,110-05405,99999,5.450871,100,5.451
2017,110-05406,99999,5.425277,100,5.425
2017,110-05407,99999,5.612925,100,5.613
2017,110-05408,99999,0.545005,100,0.545
2017,110-05409,99999,6.967334,100,6.967
2017,110-05410,99999,4.388737,100,4.389
2017,110-05411,99999,7.367248,100,7.367
2017,110-05412,99999,2.155319,100,2.155
2017,110-05414,99999,4.054576,100,4.055
2017,110-05415,99999,3.532625,100,3.533
2017,110-05416,99998,2.673579,100,2.674
2017,110-05417,99998,1.617081,100,1.617
2017,110-05418,99998,0.543215,100,0.543
2017,110-05419,74746,3.30081,100,3.301
2017,110-05420,74746,2.444511,100,2.445
2017,110-05421,74746,3.420306,100,3.42
2017,110-05422,74746,6.061462,100,6.061
2017,110-05423,74746,1.998087,100,1.998
2017,110-05424,74746,0.883434,100,0.883
2017,110-05426,99999,0.520752,100,0.521
2017,110-05427,99999,3.332127,100,3.332
2017,110-05428,99999,7.528059,100,7.528
2017,110-05429,99999,2.223365,100,2.223
2017,110-05430,99999,8.68589,100,8.686
2017,110-05431,99999,2.419395,100,2.419
2017,110-05432,99999,1.067503,100,1.068
2017,110-05433,99999,5.738113,100,5.738
2017,110-05434,99999,4.336374,100,4.336
2017,110-05435,99999,2.450022,100,2.45
2017,110-05436,99999,5.428135,100,5.428
2017,110-05437,99999,4.318218,100,4.318
2017,110-05438,99999,7.825671,100,7.826
2017,110-05439,74746,1.349935,100,1.35
2017,110-05440,74746,0.756103,100,0.756
2017,110-05441,74746,0.00586,100,0.006
2017,110-05442,99999,1.335171,100,1.335
2017,110-05443,99999,6.132236,100,6.132
2017,110-05444,99999,7.237226,100,7.237
2017,110-05445,99999,6.16497,100,6.165
2017,110-05446,99999,3.357112,100,3.357
2017,110-05447,99999,5.119973,100,5.12
2017,110-05448,99999,5.613304,100,5.613
2017,110-05449,99999,6.462078,100,6.462
2017,110-05450,99999,4.896031,100,4.896
2017,110-05451,15724,2.340176,100,2.34
2017,110-05452,15724,1.279042,100,1.279
2017,110-05453,15724,1.393977,100,1.394
2017,110-05454,99999,3.164649,100,3.165
2017,110-05455,99999,6.449707,100,6.45
2017,110-05456,99999,7.475708,100,7.476
2017,110-05457,99999,2.781462,100,2.781
2017,110-05458,84630,1.687662,100,1.688
2017,110-05459,84630,2.781008,100,2.781
2017,110-05460,84630,3.720875,100,3.721
2017,110-05462,10351,0.553555,100,0.554
2017,110-05463,10351,2.459964,100,2.46
2017,110-05464,10351,0.907854,100,0.908
2017,110-05465,10351,1.494074,100,1.494
2017,110-05466,10351,2.112761,100,2.113
2017,110-05467,10351,2.750667,100,2.751
2017,110-05468,10351,1.529064,100,1.529
2017,110-05469,10351,1.799521,100,1.8
2017,110-05470,10351,2.151777,100,2.152
2017,110-05471,10351,2.251836,100,2.252
2017,110-05472,99999,2.1595,100,2.159
2017,110-05473,99999,1.020782,100,1.021
2017,110-05474,99999,2.546217,100,2.546
2017,110-05475,99999,2.283464,100,2.283
2017,110-05476,99999,2.754668,100,2.755
2017,110-05477,99999,3.524597,100,3.525
2017,110-05478,99998,3.692162,100,3.692
2017,110-05479,99998,0.675231,100,0.675
2017,110-05480,99998,1.325739,100,1.326
2017,110-05481,99998,1.601503,100,1.602
2017,110-05482,99998,2.282929,100,2.283
2017,110-05483,99998,3.612216,100,3.612
2017,110-05484,99999,5.257395,100,5.257
2017,110-05485,99999,6.401091,100,6.401
2017,110-05486,99998,2.970365,100,2.97
2017,110-05487,99998,1.504905,100,1.505
2017,110-05489,99999,0.99315,100,0.993
2017,110-05490,99999,2.296451,100,2.296
2017,110-05491,99999,3.144324,100,3.144
2017,110-05492,99998,0.305019,100,0.305
2017,110-05494,99999,3.177822,100,3.178
2017,110-05495,99999,5.192835,100,5.193
2017,110-05496,99999,4.030436,100,4.03
2017,110-05497,99999,7.700589,100,7.701
2017,110-05498,99999,4.140723,100,4.141
2017,110-05499,99999,2.185045,100,2.185
2017,110-05500,99999,0.532888,100,0.533
2017,110-05502,99998,1.081167,100,1.081
2017,110-05503,99998,6.059206,100,6.059
2017,110-05504,99998,6.192148,100,6.192
2017,110-05506,99998,0.270526,100,0.271
2017,110-05507,99999,5.094515,100,5.095
2017,110-05508,99999,0.391874,100,0.392
2017,110-05509,99999,3.97258,100,3.973
2017,110-05510,99999,5.514413,100,5.514
2017,110-05511,99999,3.297492,100,3.297
2017,110-05512,99999,1.553595,100,1.554
2017,110-05513,99999,1.485039,100,1.485
2017,110-05514,99999,0.730919,100,0.731
2017,110-05516,99999,0.8764,100,0.876
2017,110-05517,99999,7.251406,100,7.251
2017,110-05518,99999,5.742897,100,5.743
2017,110-05519,99999,3.699028,100,3.699
2017,110-05520,99999,4.608317,100,4.608
2017,110-05521,99999,7.32973,100,7.33
2017,110-05523,8002,0.13777,100,0.138
2017,110-05524,8002,2.073733,100,2.074
2017,110-05525,8002,0.156567,100,0.157
2017,110-05526,8002,1.618628,100,1.619
2017,110-05527,8002,2.645139,100,2.645
2017,110-05528,99999,1.778476,100,1.778
2017,110-05529,99999,4.936675,100,4.937
2017,110-05530,99999,3.014606,100,3.015
2017,110-05531,99999,4.252415,100,4.252
2017,110-05532,99998,1.016898,100,1.017
2017,110-05533,99999,4.810903,100,4.811
2017,110-05534,99999,1.898823,100,1.899
2017,110-05535,99998,3.317842,100,3.318
2017,110-05536,99999,1.290426,100,1.29
2017,110-05537,99999,5.800939,100,5.801
2017,110-05538,99999,6.484634,100,6.485
2017,110-05539,99999,6.786409,100,6.786
2017,110-05540,99999,4.948667,100,4.949
2017,110-05541,99998,0.502615,100,0.503
2017,110-05543,15724,0.215299,100,0.215
