tmc_code,year,obs AMP rel_unrel,obs MIDD rel_unrel,obs PMP rel_unrel,obs WE rel_unrel,obs rel_unrel,obs rel_unrel WD
110+04230,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04230,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04230,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04231,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04231,2018,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04231,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04231,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04232,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04232,2018,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04232,2019,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04232,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04233,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04233,2018,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04233,2019,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04233,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04234,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04234,2018,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04234,2019,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04234,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04235,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04235,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04235,2019,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04235,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04236,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04236,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04236,2019,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04236,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04237,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04237,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04237,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04237,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04238,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04238,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04238,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04238,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04239,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04239,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04239,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04239,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04240,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04240,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04240,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04240,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04241,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04241,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04241,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04241,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04242,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04242,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04242,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04242,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04243,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04243,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04243,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04243,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04244,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04244,2018,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04244,2019,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04244,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04247,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04247,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04247,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04247,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04248,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04248,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04248,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04248,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04249,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04249,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04249,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04249,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04250,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04250,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04250,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04250,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04251,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04251,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04251,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04251,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04252,2017,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04252,2018,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04252,2019,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04252,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04298,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04298,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04298,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04299,2017,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04299,2018,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04299,2019,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04300,2017,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04300,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04300,2019,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04301,2017,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04301,2018,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04301,2019,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04302,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04302,2018,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04302,2019,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04303,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04307,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04307,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04307,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04308,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04308,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04308,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04309,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04309,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04309,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04310,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04310,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04310,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04311,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04311,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04311,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04312,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04312,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04312,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04313,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04313,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04313,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04314,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04314,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04314,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04315,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04315,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04315,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04316,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04316,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04316,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04317,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04317,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04317,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04326,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04326,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04326,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04326,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04327,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04327,2018,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04327,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04327,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04328,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04328,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04328,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04328,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04329,2017,Unrel,Unrel,Unrel,Rel,Unrel,Unrel
110+04329,2018,Rel,Unrel,Unrel,Rel,Unrel,Unrel
110+04329,2019,Unrel,Unrel,Unrel,Rel,Unrel,Unrel
110+04329,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04330,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04330,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04330,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04330,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04331,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04331,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04331,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04331,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04332,2017,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04332,2018,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04332,2019,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04332,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04333,2017,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04333,2018,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04333,2019,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04333,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04334,2017,Rel,Rel,Rel,Rel,Rel,Rel
