Tmc,year,AMP EPDOR,MIDD EPDOR,PMP EPDOR,WE EPDOR
110+04158,2020,7.621858996,49.16099053,5.049481585,45.63588074
110+04159,2017,36.10855699,19.53101368,19.81683339,13.14770677
110+04159,2018,50.30426937,31.82126131,5.24002806,31.44016836
110+04159,2019,22.10339109,33.63145282,17.24445598,19.62628692
110+04159,2020,7.621858996,49.16099053,5.049481585,45.63588074
110+04163,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04163,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04163,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04163,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04164,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04164,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04164,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04164,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04165,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04165,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04165,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04165,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04166,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04166,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04166,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04166,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04167,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04167,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04167,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04167,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04168,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04168,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04168,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04168,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04169,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04169,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04169,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04169,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04170,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04170,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04170,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04170,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04171,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04171,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04171,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04171,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04172,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04172,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04172,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04172,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04173,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04173,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04173,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04173,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04174,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04174,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04174,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04174,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04175,2017,14.64922571,14.55471457,24.4783836,11.5303583
110+04175,2018,6.143223684,15.59433704,5.009090081,6.143223684
110+04175,2019,14.55471457,11.43584717,14.64922571,5.103601214
110+04175,2020,3.969467611,2.36277834,18.24064878,4.536534413
110+04176,2017,21.94007732,48.6434609,72.74867742,24.8269296
110+04176,2018,18.18716936,43.15844157,48.21043306,32.04406029
110+04176,2019,23.67218869,61.0569257,55.71624898,20.78533641
110+04176,2020,24.39390176,41.71501543,11.11438127,7.217130697
110+04177,2017,21.94007732,48.6434609,72.74867742,24.8269296
110+04177,2018,18.18716936,43.15844157,48.21043306,32.04406029
110+04177,2019,23.67218869,61.0569257,55.71624898,20.78533641
110+04177,2020,24.39390176,41.71501543,11.11438127,7.217130697
110+04178,2017,21.94007732,48.6434609,72.74867742,24.8269296
110+04178,2018,18.18716936,43.15844157,48.21043306,32.04406029
110+04178,2019,23.67218869,61.0569257,55.71624898,20.78533641
110+04178,2020,24.39390176,41.71501543,11.11438127,7.217130697
110+04179,2017,21.94007732,48.6434609,72.74867742,24.8269296
110+04179,2018,18.18716936,43.15844157,48.21043306,32.04406029
110+04179,2019,23.67218869,61.0569257,55.71624898,20.78533641
110+04179,2020,24.39390176,41.71501543,11.11438127,7.217130697
110+04180,2017,73.62757236,111.1459286,75.38899754,59.53617095
110+04180,2018,85.9575486,56.36560564,51.9620427,46.67776717
110+04180,2019,33.64322086,59.88845599,81.90627069,94.76467448
110+04180,2020,42.62648926,68.87172439,24.65995247,22.0178147
110+04181,2017,73.62757236,111.1459286,75.38899754,59.53617095
110+04181,2018,85.9575486,56.36560564,51.9620427,46.67776717
110+04181,2019,33.64322086,59.88845599,81.90627069,94.76467448
110+04181,2020,42.62648926,68.87172439,24.65995247,22.0178147
110+04182,2017,73.62757236,111.1459286,75.38899754,59.53617095
110+04182,2018,85.9575486,56.36560564,51.9620427,46.67776717
110+04182,2019,33.64322086,59.88845599,81.90627069,94.76467448
110+04182,2020,42.62648926,68.87172439,24.65995247,22.0178147
110+04183,2017,73.62757236,111.1459286,75.38899754,59.53617095
110+04183,2018,85.9575486,56.36560564,51.9620427,46.67776717
110+04183,2019,33.64322086,59.88845599,81.90627069,94.76467448
110+04183,2020,42.62648926,68.87172439,24.65995247,22.0178147
110+04184,2017,4.185003959,21.34352019,48.75529612,0.418500396
110+04184,2018,0.627750594,6.277505939,29.08577752,1.464751386
110+04184,2019,3.348003167,27.83027633,11.29951069,5.022004751
110+04184,2020,1.255501188,9.834759304,29.92277831,5.231254949
110+04185,2017,0.738174082,15.94456017,15.35402091,14.76348164
110+04185,2018,0.738174082,2.214522246,5.314853391,13.13949866
110+04185,2019,3.838505227,3.543235594,13.58240311,1.771617797
110+04185,2020,2.805061512,8.710454169,7.972280087,2.362157063
110+04186,2017,0.738174082,15.94456017,15.35402091,14.76348164
110+04186,2018,0.738174082,2.214522246,5.314853391,13.13949866
110+04186,2019,3.838505227,3.543235594,13.58240311,1.771617797
110+04186,2020,2.805061512,8.710454169,7.972280087,2.362157063
110+04187,2017,0.738174082,15.94456017,15.35402091,14.76348164
110+04187,2018,0.738174082,2.214522246,5.314853391,13.13949866
110+04187,2019,3.838505227,3.543235594,13.58240311,1.771617797
110+04187,2020,2.805061512,8.710454169,7.972280087,2.362157063
110+04188,2017,10.59226049,1.611865727,10.13172742,1.611865727
110+04188,2018,0.345399799,15.42785767,2.763198388,3.799397784
110+04188,2019,2.187532057,0.575666331,11.74359315,1.036199396
110+04188,2020,0.805932863,10.36199396,1.842132259,13.01005908
110+04189,2017,0.339784558,13.70464386,2.944799507,10.19353675
110+04189,2018,0.679569117,1.019353675,43.49242348,10.75984435
110+04189,2019,0.339784558,1.925445831,1.812184312,10.98636739
110+04189,2020,0.339784558,0.566307597,1.925445831,2.038707351
110+04190,2017,0.339784558,13.70464386,2.944799507,10.19353675
110+04190,2018,0.679569117,1.019353675,43.49242348,10.75984435
110+04190,2019,0.339784558,1.925445831,1.812184312,10.98636739
110+04190,2020,0.339784558,0.566307597,1.925445831,2.038707351
110+04191,2017,0.339784558,13.70464386,2.944799507,10.19353675
110+04191,2018,0.679569117,1.019353675,43.49242348,10.75984435
110+04191,2019,0.339784558,1.925445831,1.812184312,10.98636739
110+04191,2020,0.339784558,0.566307597,1.925445831,2.038707351
110+04192,2017,0.339784558,13.70464386,2.944799507,10.19353675
110+04192,2018,0.679569117,1.019353675,43.49242348,10.75984435
110+04192,2019,0.339784558,1.925445831,1.812184312,10.98636739
110+04192,2020,0.339784558,0.566307597,1.925445831,2.038707351
110+04193,2017,1.037744102,0.20754882,0.518872051,1.245292922
110+04193,2018,0.20754882,0.726420871,8.924599278,11.10386189
110+04193,2019,0.415097641,0.20754882,10.58498984,1.245292922
110+04193,2020,0.311323231,1.349067333,1.141518512,9.547245739
110+04194,2017,1.037744102,0.20754882,0.518872051,1.245292922
110+04194,2018,0.20754882,0.726420871,8.924599278,11.10386189
110+04194,2019,0.415097641,0.20754882,10.58498984,1.245292922
110+04194,2020,0.311323231,1.349067333,1.141518512,9.547245739
110+04603,2017,69.8967255,39.55233868,52.63181575,24.48478109
110+04603,2018,34.84372693,49.70201289,24.06623782,26.78676905
110+04603,2019,26.26358997,46.14439512,38.4013447,37.56425816
110+04603,2020,19.46226189,29.6119361,37.7735298,14.23047106
110+04604,2017,69.8967255,39.55233868,52.63181575,24.48478109
110+04604,2018,34.84372693,49.70201289,24.06623782,26.78676905
110+04604,2019,26.26358997,46.14439512,38.4013447,37.56425816
110+04604,2020,19.46226189,29.6119361,37.7735298,14.23047106
110+04605,2017,69.8967255,39.55233868,52.63181575,24.48478109
110+04605,2018,34.84372693,49.70201289,24.06623782,26.78676905
110+04605,2019,26.26358997,46.14439512,38.4013447,37.56425816
110+04605,2020,19.46226189,29.6119361,37.7735298,14.23047106
110+04606,2017,69.8967255,39.55233868,52.63181575,24.48478109
110+04606,2018,34.84372693,49.70201289,24.06623782,26.78676905
110+04606,2019,26.26358997,46.14439512,38.4013447,37.56425816
110+04606,2020,19.46226189,29.6119361,37.7735298,14.23047106
110+04607,2017,69.8967255,39.55233868,52.63181575,24.48478109
110+04607,2018,34.84372693,49.70201289,24.06623782,26.78676905
110+04607,2019,26.26358997,46.14439512,38.4013447,37.56425816
110+04607,2020,19.46226189,29.6119361,37.7735298,14.23047106
110+04608,2017,69.8967255,39.55233868,52.63181575,24.48478109
110+04608,2018,34.84372693,49.70201289,24.06623782,26.78676905
110+04608,2019,26.26358997,46.14439512,38.4013447,37.56425816
110+04608,2020,19.46226189,29.6119361,37.7735298,14.23047106
110+04609,2017,96.37568011,86.2562337,26.02143363,13.17134295
110+04609,2018,66.33859314,24.8970507,16.06261335,11.24382935
110+04609,2019,61.03793074,30.35833924,13.97447362,16.54449175
110+04609,2020,32.6071051,10.60132481,12.68946455,19.91764056
110+04610,2017,96.37568011,86.2562337,26.02143363,13.17134295
110+04610,2018,66.33859314,24.8970507,16.06261335,11.24382935
110+04610,2019,61.03793074,30.35833924,13.97447362,16.54449175
110+04610,2020,32.6071051,10.60132481,12.68946455,19.91764056
110+04611,2017,96.37568011,86.2562337,26.02143363,13.17134295
110+04611,2018,66.33859314,24.8970507,16.06261335,11.24382935
110+04611,2019,61.03793074,30.35833924,13.97447362,16.54449175
110+04611,2020,32.6071051,10.60132481,12.68946455,19.91764056
110+04612,2017,96.37568011,86.2562337,26.02143363,13.17134295
110+04612,2018,66.33859314,24.8970507,16.06261335,11.24382935
110+04612,2019,61.03793074,30.35833924,13.97447362,16.54449175
110+04612,2020,32.6071051,10.60132481,12.68946455,19.91764056
110+04613,2017,96.37568011,86.2562337,26.02143363,13.17134295
110+04613,2018,66.33859314,24.8970507,16.06261335,11.24382935
110+04613,2019,61.03793074,30.35833924,13.97447362,16.54449175
110+04613,2020,32.6071051,10.60132481,12.68946455,19.91764056
110+04614,2017,96.37568011,86.2562337,26.02143363,13.17134295
110+04614,2018,66.33859314,24.8970507,16.06261335,11.24382935
110+04614,2019,61.03793074,30.35833924,13.97447362,16.54449175
110+04614,2020,32.6071051,10.60132481,12.68946455,19.91764056
110+04645,2017,28.41722481,46.90788479,32.89391091,21.6048764
110+04645,2018,12.84614272,11.67831157,42.43119869,24.13517723
110+04645,2019,4.087409048,56.63981109,26.8601166,28.61186333
110+04645,2020,9.92656483,14.98716651,39.90089785,2.530300839
110+04646,2017,28.41722481,46.90788479,32.89391091,21.6048764
110+04646,2018,12.84614272,11.67831157,42.43119869,24.13517723
110+04646,2019,4.087409048,56.63981109,26.8601166,28.61186333
110+04646,2020,9.92656483,14.98716651,39.90089785,2.530300839
110+04647,2017,28.41722481,46.90788479,32.89391091,21.6048764
110+04647,2018,12.84614272,11.67831157,42.43119869,24.13517723
110+04647,2019,4.087409048,56.63981109,26.8601166,28.61186333
110+04647,2020,9.92656483,14.98716651,39.90089785,2.530300839
110+04648,2017,28.41722481,46.90788479,32.89391091,21.6048764
110+04648,2018,12.84614272,11.67831157,42.43119869,24.13517723
110+04648,2019,4.087409048,56.63981109,26.8601166,28.61186333
110+04648,2020,9.92656483,14.98716651,39.90089785,2.530300839
110+04670,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04670,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04670,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04670,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04681,2017,2.880018125,2.453348773,2.560016111,0.213334676
110+04681,2018,0.53333669,5.973370926,1.813344745,1.386675393
110+04681,2019,2.560016111,5.76003625,1.386675393,2.346681435
110+04681,2020,9.280058403,10.88006847,0.640004028,1.173340718
110+04682,2017,0.798663711,9.406483712,1.686067835,0.709923299
110+04682,2018,1.419846598,2.662212371,2.484731546,17.48186124
110+04682,2019,8.252858351,1.774808247,2.484731546,0.709923299
110+04682,2020,9.140262475,2.395991134,2.395991134,1.774808247
110+04683,2017,0.798663711,9.406483712,1.686067835,0.709923299
110+04683,2018,1.419846598,2.662212371,2.484731546,17.48186124
110+04683,2019,8.252858351,1.774808247,2.484731546,0.709923299
110+04683,2020,9.140262475,2.395991134,2.395991134,1.774808247
110+04684,2017,0.798663711,9.406483712,1.686067835,0.709923299
110+04684,2018,1.419846598,2.662212371,2.484731546,17.48186124
110+04684,2019,8.252858351,1.774808247,2.484731546,0.709923299
110+04684,2020,9.140262475,2.395991134,2.395991134,1.774808247
110+04686,2017,30.6137914,12.47228539,30.73977408,16.2517658
110+04686,2018,36.40899471,34.01532378,20.78714231,21.54303839
110+04686,2019,15.87381776,30.86575676,4.661359184,14.11006023
110+04686,2020,34.01532378,20.66115963,9.826649091,18.2674887
110+04687,2017,30.6137914,12.47228539,30.73977408,16.2517658
110+04687,2018,36.40899471,34.01532378,20.78714231,21.54303839
110+04687,2019,15.87381776,30.86575676,4.661359184,14.11006023
110+04687,2020,34.01532378,20.66115963,9.826649091,18.2674887
110+04688,2017,30.6137914,12.47228539,30.73977408,16.2517658
110+04688,2018,36.40899471,34.01532378,20.78714231,21.54303839
110+04688,2019,15.87381776,30.86575676,4.661359184,14.11006023
110+04688,2020,34.01532378,20.66115963,9.826649091,18.2674887
110+04689,2017,30.6137914,12.47228539,30.73977408,16.2517658
110+04689,2018,36.40899471,34.01532378,20.78714231,21.54303839
110+04689,2019,15.87381776,30.86575676,4.661359184,14.11006023
110+04689,2020,34.01532378,20.66115963,9.826649091,18.2674887
110+04690,2017,30.6137914,12.47228539,30.73977408,16.2517658
110+04690,2018,36.40899471,34.01532378,20.78714231,21.54303839
110+04690,2019,15.87381776,30.86575676,4.661359184,14.11006023
110+04690,2020,34.01532378,20.66115963,9.826649091,18.2674887
110+04691,2017,30.6137914,12.47228539,30.73977408,16.2517658
110+04691,2018,36.40899471,34.01532378,20.78714231,21.54303839
110+04691,2019,15.87381776,30.86575676,4.661359184,14.11006023
110+04691,2020,34.01532378,20.66115963,9.826649091,18.2674887
110+04692,2017,30.6137914,12.47228539,30.73977408,16.2517658
110+04692,2018,36.40899471,34.01532378,20.78714231,21.54303839
110+04692,2019,15.87381776,30.86575676,4.661359184,14.11006023
110+04692,2020,34.01532378,20.66115963,9.826649091,18.2674887
110+04693,2017,30.6137914,12.47228539,30.73977408,16.2517658
110+04693,2018,36.40899471,34.01532378,20.78714231,21.54303839
110+04693,2019,15.87381776,30.86575676,4.661359184,14.11006023
110+04693,2020,34.01532378,20.66115963,9.826649091,18.2674887
110+04694,2017,30.6137914,12.47228539,30.73977408,16.2517658
110+04694,2018,36.40899471,34.01532378,20.78714231,21.54303839
110+04694,2019,15.87381776,30.86575676,4.661359184,14.11006023
110+04694,2020,34.01532378,20.66115963,9.826649091,18.2674887
110+04695,2017,21.7473511,47.50634949,31.248621,12.45722053
110+04695,2018,3.378229297,19.63595779,32.09317832,31.248621
110+04695,2019,27.44811304,13.51291719,19.84709712,11.19038455
110+04695,2020,6.123040601,23.85874441,22.16962976,29.55950635
110+04696,2017,21.7473511,47.50634949,31.248621,12.45722053
110+04696,2018,3.378229297,19.63595779,32.09317832,31.248621
110+04696,2019,27.44811304,13.51291719,19.84709712,11.19038455
110+04696,2020,6.123040601,23.85874441,22.16962976,29.55950635
110+04697,2017,21.7473511,47.50634949,31.248621,12.45722053
110+04697,2018,3.378229297,19.63595779,32.09317832,31.248621
110+04697,2019,27.44811304,13.51291719,19.84709712,11.19038455
110+04697,2020,6.123040601,23.85874441,22.16962976,29.55950635
110+04698,2017,21.7473511,47.50634949,31.248621,12.45722053
110+04698,2018,3.378229297,19.63595779,32.09317832,31.248621
110+04698,2019,27.44811304,13.51291719,19.84709712,11.19038455
110+04698,2020,6.123040601,23.85874441,22.16962976,29.55950635
110+04699,2017,21.7473511,47.50634949,31.248621,12.45722053
110+04699,2018,3.378229297,19.63595779,32.09317832,31.248621
110+04699,2019,27.44811304,13.51291719,19.84709712,11.19038455
110+04699,2020,6.123040601,23.85874441,22.16962976,29.55950635
110+04700,2017,21.7473511,47.50634949,31.248621,12.45722053
110+04700,2018,3.378229297,19.63595779,32.09317832,31.248621
110+04700,2019,27.44811304,13.51291719,19.84709712,11.19038455
110+04700,2020,6.123040601,23.85874441,22.16962976,29.55950635
110+04701,2017,21.7473511,47.50634949,31.248621,12.45722053
110+04701,2018,3.378229297,19.63595779,32.09317832,31.248621
110+04701,2019,27.44811304,13.51291719,19.84709712,11.19038455
110+04701,2020,6.123040601,23.85874441,22.16962976,29.55950635
110+04702,2017,21.7473511,47.50634949,31.248621,12.45722053
110+04702,2018,3.378229297,19.63595779,32.09317832,31.248621
110+04702,2019,27.44811304,13.51291719,19.84709712,11.19038455
110+04702,2020,6.123040601,23.85874441,22.16962976,29.55950635
110+04703,2017,36.3289841,26.02412803,48.90440168,24.27754226
110+04703,2018,40.1714728,95.53824184,40.1714728,45.06191297
110+04703,2019,33.53444686,49.95235314,46.45918159,41.56874142
110+04703,2020,32.31183682,28.29468954,57.28801339,40.52078996
110+04704,2017,36.3289841,26.02412803,48.90440168,24.27754226
110+04704,2018,40.1714728,95.53824184,40.1714728,45.06191297
110+04704,2019,33.53444686,49.95235314,46.45918159,41.56874142
110+04704,2020,32.31183682,28.29468954,57.28801339,40.52078996
110+04705,2017,36.3289841,26.02412803,48.90440168,24.27754226
110+04705,2018,40.1714728,95.53824184,40.1714728,45.06191297
110+04705,2019,33.53444686,49.95235314,46.45918159,41.56874142
110+04705,2020,32.31183682,28.29468954,57.28801339,40.52078996
110+04706,2017,36.3289841,26.02412803,48.90440168,24.27754226
110+04706,2018,40.1714728,95.53824184,40.1714728,45.06191297
110+04706,2019,33.53444686,49.95235314,46.45918159,41.56874142
110+04706,2020,32.31183682,28.29468954,57.28801339,40.52078996
110+04707,2017,12.37734712,10.25551619,23.34014028,28.82153687
110+04707,2018,24.40105575,26.34606744,39.2538723,17.8587437
110+04707,2019,4.950938848,9.371419963,41.19888399,23.87059802
110+04707,2020,19.4501169,24.93151349,30.76654856,4.066842625
110+04708,2017,12.37734712,10.25551619,23.34014028,28.82153687
110+04708,2018,24.40105575,26.34606744,39.2538723,17.8587437
110+04708,2019,4.950938848,9.371419963,41.19888399,23.87059802
110+04708,2020,19.4501169,24.93151349,30.76654856,4.066842625
110+04709,2017,12.37734712,10.25551619,23.34014028,28.82153687
110+04709,2018,24.40105575,26.34606744,39.2538723,17.8587437
110+04709,2019,4.950938848,9.371419963,41.19888399,23.87059802
110+04709,2020,19.4501169,24.93151349,30.76654856,4.066842625
110+04710,2017,12.37734712,10.25551619,23.34014028,28.82153687
110+04710,2018,24.40105575,26.34606744,39.2538723,17.8587437
110+04710,2019,4.950938848,9.371419963,41.19888399,23.87059802
110+04710,2020,19.4501169,24.93151349,30.76654856,4.066842625
110+04711,2017,12.37734712,10.25551619,23.34014028,28.82153687
110+04711,2018,24.40105575,26.34606744,39.2538723,17.8587437
110+04711,2019,4.950938848,9.371419963,41.19888399,23.87059802
110+04711,2020,19.4501169,24.93151349,30.76654856,4.066842625
110+04728,2017,5.871615451,17.05564488,33.13268719,14.39943789
110+04728,2018,2.796007357,15.37804047,16.91584451,4.61341214
110+04728,2019,4.893012875,19.85165224,2.516406622,13.84023642
110+04728,2020,1.677604414,5.731815083,4.054210668,13.42083532
110+04729,2017,5.871615451,17.05564488,33.13268719,14.39943789
110+04729,2018,2.796007357,15.37804047,16.91584451,4.61341214
110+04729,2019,4.893012875,19.85165224,2.516406622,13.84023642
110+04729,2020,1.677604414,5.731815083,4.054210668,13.42083532
110+04730,2017,5.871615451,17.05564488,33.13268719,14.39943789
110+04730,2018,2.796007357,15.37804047,16.91584451,4.61341214
