Year_Record,Travel_Time_Code,DIR_AADT
2020,110-04873,45246
2020,110-04874,44406
2020,110-04875,44330
2020,110-04876,44330
2020,110-04877,44330
2020,110-04878,44760
2020,110-04879,50466
2020,110-04880,50466
2020,110-04881,52688
2020,110-04882,58618
2020,110-04883,76904
2020,110-04884,88334
2020,110-04885,74140
2020,110-04886,80924
2020,110-04887,68568
2020,110-04888,62486
2020,110-04889,47720
2020,110-04890,41210
2020,110-04891,39225
2020,110-04892,43706
2020,110-04893,42828
2020,110-04894,35048
2020,110-04895,32506
2020,110-04896,35260
2020,110-04897,31913
2020,110-04898,29301
2020,110-04899,33020
2020,110-04900,33747
2020,110-04901,33580
2020,110-04902,36334
2020,110-04903,18058
2020,110-04904,25531
2020,110-04905,32936
2020,110-04906,40731
2020,110-04907,51102
2020,110-04910,30626
2020,110-04911,28592
2020,110-04912,26588
2020,110-04913,28004
2020,110-04914,26064
2020,110-04916,24059
2020,110-04917,24059
2020,110-04918,34856
2020,110-04919,34846
2020,110-04921,5060
2020,110-04922,5020
2020,110-04923,4386
2020,110-04924,4385
2020,110-04925,61416
2020,110-04926,74520
2020,110-04938,14274
2020,110-04939,12232
2020,110-04940,11724
2020,110-04941,12184
2020,110-04943,75011
2020,110-04944,60434
2020,110-04945,60434
2020,110-04946,56772
2020,110-04947,56772
2020,110-04948,53004
2020,110-04949,43759
2020,110-04950,36357
2020,110-04951,37978
2020,110-04953,53896
2020,110-04954,42092
2020,110-04955,38750
2020,110-04956,34646
2020,110-04957,34272
2020,110-04958,32592
2020,110-04960,26512
2020,110-04961,30451
2020,110-04962,24882
2020,110-04963,12401
2020,110-05007,26212
2020,110-05008,31894
2020,110-05009,32274
2020,110-05010,36144
2020,110-05011,32076
2020,110-05012,26894
2020,110-05014,26405
2020,110-05015,32418
2020,110-05016,32418
2020,110-05017,32397
2020,110-05018,37716
2020,110-05019,38722
2020,110-05020,30604
2020,110-05021,29222
2020,110-05022,22844
2020,110-05353,30425
2020,110-05354,29120
2020,110-05355,29012
2020,110-05356,27378
2020,110-05357,27755
2020,110-05358,28278
2020,110-05359,29008
2020,110-05360,28482
2020,110-05361,25956
2020,110-05362,25648
2020,110-05363,22727
2020,110-05364,20682
2020,110-05365,22432
2020,110-05366,22934
2020,110-05367,20860
2020,110-05368,22955
2020,110-05369,24158
2020,110-05370,25160
2020,110-05371,27043
2020,110-05372,29776
2020,110-05373,27089
2020,110-05374,27171
2020,110-05375,29386
2020,110-05376,26618
2020,110-05377,24863
2020,110-05379,58524
2020,110-05380,54616
2020,110-05381,52972
2020,110-05382,51730
2020,110-05383,49884
2020,110-05385,5192
2020,110-05386,5188
2020,110-05387,5184
2020,110-05388,18578
2020,110-05389,49894
2020,110-05390,51266
2020,110-05391,20568
2020,110-05392,18955
2020,110-05393,17930
2020,110-05394,21174
2020,110-05395,21010
2020,110-05396,21434
2020,110-05397,22290
2020,110-05398,22000
2020,110-05399,22830
2020,110-05400,22832
2020,110-05401,26432
2020,110-05402,26432
2020,110-05403,24302
2020,110-05404,26088
2020,110-05405,20917
2020,110-05406,20692
2020,110-05407,19838
2020,110-05408,19574
2020,110-05409,19288
2020,110-05410,19755
2020,110-05411,19848
2020,110-05412,21197
2020,110-05414,22170
2020,110-05415,21468
2020,110-05416,21926
2020,110-05417,18494
2020,110-05418,18234
2020,110-05419,18492
2020,110-05420,18325
2020,110-05421,16238
2020,110-05422,18737
2020,110-05423,19184
2020,110-05424,19182
2020,110-05426,12368
2020,110-05427,12368
2020,110-05428,12556
2020,110-05429,11557
2020,110-05430,10830
2020,110-05431,10891
2020,110-05432,10644
2020,110-05433,10994
2020,110-05434,11185
2020,110-05435,11334
2020,110-05436,11924
2020,110-05437,12243
2020,110-05438,13602
2020,110-05439,20382
2020,110-05440,25770
2020,110-05442,27498
2020,110-05443,23585
2020,110-05444,18730
2020,110-05445,16950
2020,110-05446,16560
2020,110-05447,16488
2020,110-05448,18814
2020,110-05449,19642
2020,110-05450,22111
2020,110-05451,22504
2020,110-05452,26042
2020,110-05453,25988
2020,110-05454,22470
2020,110-05455,21212
2020,110-05456,18298
2020,110-05457,19213
2020,110-05458,21564
2020,110-05459,21031
2020,110-05460,22323
2020,110-05462,21733
2020,110-05463,21862
2020,110-05464,29208
2020,110-05465,27358
2020,110-05466,24460
2020,110-05467,24229
2020,110-05468,25570
2020,110-05469,22542
2020,110-05470,20792
2020,110-05471,19420
2020,110-05472,18554
2020,110-05473,18342
2020,110-05474,17830
2020,110-05475,15748
2020,110-05476,15702
2020,110-05477,15950
2020,110-05478,16442
2020,110-05479,15190
2020,110-05480,15982
2020,110-05481,14702
2020,110-05482,14185
2020,110-05483,13634
2020,110-05484,12191
2020,110-05485,14514
2020,110-05486,12971
2020,110-05487,15460
2020,110-05489,25844
2020,110-05490,26464
2020,110-05491,26397
2020,110-05492,24968
2020,110-05494,23030
2020,110-05495,23492
2020,110-05496,23756
2020,110-05497,24096
2020,110-05498,24262
2020,110-05499,27096
2020,110-05500,31113
2020,110-05502,19679
2020,110-05503,16791
