tmc_code,year,AMP LOTTR,MIDD LOTTR,PMP LOTTR,WE LOTTR,max LOTTR,max WD LOTTR,obs AMP rel_unrel,obs MIDD rel_unrel,obs PMP rel_unrel,obs WE rel_unrel,obs rel_unrel,obs rel_unrel WD
110N09335,2017,1.034148828,1.032874618,1.05141129,1.045917036,1.05141129,1.05141129,Rel,Rel,Rel,Rel,Rel,Rel
110N09335,2018,1.154848046,1.141511712,1.187650748,1.14163522,1.187650748,1.187650748,Rel,Rel,Rel,Rel,Rel,Rel
110N09338,2017,1.536423841,1.459119497,1.42384106,1.662251656,1.662251656,1.536423841,Unrel,Rel,Rel,Unrel,Unrel,Unrel
110N09338,2018,1.42384106,1.380952381,1.44295302,1.72327044,1.72327044,1.44295302,Rel,Rel,Rel,Unrel,Unrel,Rel
110N09338,2019,1.465517241,1.362068966,1.427710843,1.729885057,1.729885057,1.465517241,Rel,Rel,Rel,Unrel,Unrel,Rel
110N09338,2020,1.370860927,1.398734177,1.370860927,1.613924051,1.613924051,1.398734177,Rel,Rel,Rel,Unrel,Unrel,Rel
110N09340,2017,1.258018191,1.273221568,1.266791045,1.232511324,1.273221568,1.273221568,Rel,Rel,Rel,Rel,Rel,Rel
110N09340,2018,1.275659824,1.283760684,1.333333333,1.275659824,1.333333333,1.333333333,Rel,Rel,Rel,Rel,Rel,Rel
110N09341,2017,1.129604052,1.123433875,1.103422433,1.123743233,1.129604052,1.129604052,Rel,Rel,Rel,Rel,Rel,Rel
110N09341,2018,1.137740385,1.128143133,1.098475058,1.133315803,1.137740385,1.137740385,Rel,Rel,Rel,Rel,Rel,Rel
110N09341,2019,1.130598184,1.119360902,1.102815979,1.085552597,1.130598184,1.130598184,Rel,Rel,Rel,Rel,Rel,Rel
110N09341,2020,1.146932515,1.136574791,1.094694426,1.083503055,1.146932515,1.146932515,Rel,Rel,Rel,Rel,Rel,Rel
110N09342,2019,1.082840237,1.085284281,1.08487395,1.106550218,1.106550218,1.085284281,Rel,Rel,Rel,Rel,Rel,Rel
110N09342,2020,1.07466443,1.075144509,1.106217617,1.118777293,1.118777293,1.106217617,Rel,Rel,Rel,Rel,Rel,Rel
110N09343,2017,1.179508197,1.180527383,1.200159649,1.201107797,1.201107797,1.200159649,Rel,Rel,Rel,Rel,Rel,Rel
110N09343,2018,1.21100753,1.219012605,1.247060985,1.265327045,1.265327045,1.247060985,Rel,Rel,Rel,Rel,Rel,Rel
110N09343,2019,1.242070117,1.230357143,1.222337662,1.222122625,1.242070117,1.242070117,Rel,Rel,Rel,Rel,Rel,Rel
110N09343,2020,1.24134559,1.239418236,1.246019712,1.206883438,1.246019712,1.246019712,Rel,Rel,Rel,Rel,Rel,Rel
110N09344,2017,1.69889065,1.812772134,1.907715582,2.020602219,2.020602219,1.907715582,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09344,2018,1.667768595,1.755319149,1.807453416,2.247771836,2.247771836,1.807453416,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09344,2019,1.723320158,1.820158103,1.768939394,2.248888889,2.248888889,1.820158103,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09344,2020,1.591194969,1.721343874,2.024691358,2.248888889,2.248888889,2.024691358,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09346,2017,1.561959654,1.5,1.545722714,1.731861199,1.731861199,1.561959654,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09346,2018,1.6,1.469387755,1.455555556,2.084690554,2.084690554,1.6,Unrel,Rel,Rel,Unrel,Unrel,Unrel
110N09347,2017,1.534883721,1.580110497,1.723756906,1.609756098,1.723756906,1.723756906,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09347,2018,1.544502618,1.633507853,1.776744186,1.723756906,1.776744186,1.776744186,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09347,2019,1.5,1.664864865,1.512195122,2.221621622,2.221621622,1.664864865,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09347,2020,1.613636364,1.75,1.69047619,2.102272727,2.102272727,1.75,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09348,2017,1.365853659,1.37804878,1.470588235,1.422535211,1.470588235,1.470588235,Rel,Rel,Rel,Rel,Rel,Rel
110N09348,2018,1.365853659,1.365853659,1.470588235,1.422535211,1.470588235,1.470588235,Rel,Rel,Rel,Rel,Rel,Rel
110N09348,2019,1.388535032,1.412244898,1.4375,2.041284404,2.041284404,1.4375,Rel,Rel,Rel,Unrel,Unrel,Rel
110N09348,2020,1.448275862,1.527593819,1.785562633,1.812807882,1.812807882,1.785562633,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09349,2017,1.43956044,1.525252525,1.398058252,1.572916667,1.572916667,1.525252525,Rel,Unrel,Rel,Unrel,Unrel,Unrel
110N09349,2018,1.570093458,1.533980583,1.466019417,1.877777778,1.877777778,1.570093458,Unrel,Unrel,Rel,Unrel,Unrel,Unrel
110N09350,2017,1.718330849,1.623616236,1.57979798,1.746835443,1.746835443,1.718330849,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09350,2018,1.54589372,1.530551416,1.713798978,1.667850799,1.713798978,1.713798978,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09352,2017,1.775030157,1.733267717,1.894434629,2,2,1.894434629,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09352,2018,1.610867179,1.562707052,1.833055787,2.153683095,2.153683095,1.833055787,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09352,2019,1.666863556,1.720775906,1.832828064,2.249867092,2.249867092,1.832828064,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09352,2020,1.560606061,1.522077922,1.925252525,2.250146113,2.250146113,1.925252525,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09353,2017,1.334645669,1.341137124,1.37345679,1.334645669,1.37345679,1.37345679,Rel,Rel,Rel,Rel,Rel,Rel
110N09353,2018,1.369230769,1.338709677,1.293209877,1.418326693,1.418326693,1.369230769,Rel,Rel,Rel,Rel,Rel,Rel
110N09353,2019,1.285714286,1.331103679,1.352564103,1.357142857,1.357142857,1.352564103,Rel,Rel,Rel,Rel,Rel,Rel
110N09353,2020,1.319838057,1.331103679,1.386759582,1.34962406,1.386759582,1.386759582,Rel,Rel,Rel,Rel,Rel,Rel
110N09354,2017,2,1.821917808,2.11038961,2.067669173,2.11038961,2.11038961,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09354,2018,1.854961832,1.727272727,1.935064935,2.338129496,2.338129496,1.935064935,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09355,2017,1.815384615,1.638461538,1.748031496,2,2,1.815384615,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09355,2018,2.032258065,1.584745763,1.745762712,2.076923077,2.076923077,2.032258065,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09356,2017,1.735294118,1.653061224,1.857923497,2.449074074,2.449074074,1.857923497,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09356,2018,1.628415301,1.642512077,2,1.847826087,2,2,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09356,2019,1.558282209,1.519125683,1.810126582,1.650306748,1.810126582,1.810126582,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09356,2020,1.67251462,1.528409091,1.660130719,1.682352941,1.682352941,1.67251462,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09358,2017,1.379310345,1.360465116,1.517241379,1.512195122,1.517241379,1.517241379,Rel,Rel,Unrel,Unrel,Unrel,Unrel
110N09358,2018,1.402298851,1.402298851,1.635294118,1.605263158,1.635294118,1.635294118,Rel,Rel,Unrel,Unrel,Unrel,Unrel
110N09359,2017,1.478270814,1.499889012,1.559787627,1.39270724,1.559787627,1.559787627,Rel,Rel,Unrel,Rel,Unrel,Unrel
110N09359,2018,1.591005416,1.497104471,1.608511697,1.379440258,1.608511697,1.608511697,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110N09359,2019,1.517280453,1.389385475,1.366499853,1.174414977,1.517280453,1.517280453,Unrel,Rel,Rel,Rel,Unrel,Unrel
110N09359,2020,1.560067208,1.359954687,1.332352075,1.189257504,1.560067208,1.560067208,Unrel,Rel,Rel,Rel,Unrel,Unrel
110N09360,2017,2.190839695,2.147619048,2,2.108433735,2.190839695,2.190839695,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09360,2018,2.1,2.004444444,2.289340102,2.289340102,2.289340102,2.289340102,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09360,2019,1.818181818,1.684343434,1.86640159,1.845900288,1.86640159,1.86640159,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09360,2020,1.680525164,1.624923077,1.618826649,1.720674487,1.720674487,1.680525164,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09361,2017,1.417910448,1.432835821,1.575757576,1.791044776,1.791044776,1.575757576,Rel,Rel,Unrel,Unrel,Unrel,Unrel
110N09361,2018,1.686567164,1.579710145,1.791044776,2.083333333,2.083333333,1.791044776,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09363,2017,1.577293137,1.518922386,1.499648135,1.313669065,1.577293137,1.577293137,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110N09363,2018,1.540465632,1.558221182,1.615637319,1.551020408,1.615637319,1.615637319,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
