Tmc,year,AMP LIIR,MIDD LIIR,PMP LIIR,WE LIIR
110+04683,2020,0.798663711,0.621182887,0.798663711,0.709923299
110+04684,2017,0.088740412,0.532442474,0.532442474,0.088740412
110+04684,2018,0.266221237,0.354961649,0.532442474,0.621182887
110+04684,2019,0.443702062,0.532442474,0.532442474,0.798663711
110+04684,2020,0.798663711,0.621182887,0.798663711,0.709923299
110+04686,2017,6.929047436,7.055030117,6.425116714,7.055030117
110+04686,2018,6.929047436,7.181012797,4.535376504,5.165289907
110+04686,2019,4.787341865,5.921185991,4.031445781,3.401532378
110+04686,2020,4.157428462,4.913324546,3.9054631,2.897601655
110+04687,2017,6.929047436,7.055030117,6.425116714,7.055030117
110+04687,2018,6.929047436,7.181012797,4.535376504,5.165289907
110+04687,2019,4.787341865,5.921185991,4.031445781,3.401532378
110+04687,2020,4.157428462,4.913324546,3.9054631,2.897601655
110+04688,2017,6.929047436,7.055030117,6.425116714,7.055030117
110+04688,2018,6.929047436,7.181012797,4.535376504,5.165289907
110+04688,2019,4.787341865,5.921185991,4.031445781,3.401532378
110+04688,2020,4.157428462,4.913324546,3.9054631,2.897601655
110+04689,2017,6.929047436,7.055030117,6.425116714,7.055030117
110+04689,2018,6.929047436,7.181012797,4.535376504,5.165289907
110+04689,2019,4.787341865,5.921185991,4.031445781,3.401532378
110+04689,2020,4.157428462,4.913324546,3.9054631,2.897601655
110+04690,2017,6.929047436,7.055030117,6.425116714,7.055030117
110+04690,2018,6.929047436,7.181012797,4.535376504,5.165289907
110+04690,2019,4.787341865,5.921185991,4.031445781,3.401532378
110+04690,2020,4.157428462,4.913324546,3.9054631,2.897601655
110+04691,2017,6.929047436,7.055030117,6.425116714,7.055030117
110+04691,2018,6.929047436,7.181012797,4.535376504,5.165289907
110+04691,2019,4.787341865,5.921185991,4.031445781,3.401532378
110+04691,2020,4.157428462,4.913324546,3.9054631,2.897601655
110+04692,2017,6.929047436,7.055030117,6.425116714,7.055030117
110+04692,2018,6.929047436,7.181012797,4.535376504,5.165289907
110+04692,2019,4.787341865,5.921185991,4.031445781,3.401532378
110+04692,2020,4.157428462,4.913324546,3.9054631,2.897601655
110+04693,2017,6.929047436,7.055030117,6.425116714,7.055030117
110+04693,2018,6.929047436,7.181012797,4.535376504,5.165289907
110+04693,2019,4.787341865,5.921185991,4.031445781,3.401532378
110+04693,2020,4.157428462,4.913324546,3.9054631,2.897601655
110+04694,2017,6.929047436,7.055030117,6.425116714,7.055030117
110+04694,2018,6.929047436,7.181012797,4.535376504,5.165289907
110+04694,2019,4.787341865,5.921185991,4.031445781,3.401532378
110+04694,2020,4.157428462,4.913324546,3.9054631,2.897601655
110+04695,2017,0.844557324,1.689114648,3.800507959,2.744811304
110+04695,2018,1.90025398,3.589368628,4.856204614,3.378229297
110+04695,2019,1.90025398,3.589368628,4.645065283,2.111393311
110+04695,2020,2.111393311,6.123040601,2.533671973,4.222786621
110+04696,2017,0.844557324,1.689114648,3.800507959,2.744811304
110+04696,2018,1.90025398,3.589368628,4.856204614,3.378229297
110+04696,2019,1.90025398,3.589368628,4.645065283,2.111393311
110+04696,2020,2.111393311,6.123040601,2.533671973,4.222786621
110+04697,2017,0.844557324,1.689114648,3.800507959,2.744811304
110+04697,2018,1.90025398,3.589368628,4.856204614,3.378229297
110+04697,2019,1.90025398,3.589368628,4.645065283,2.111393311
110+04697,2020,2.111393311,6.123040601,2.533671973,4.222786621
110+04698,2017,0.844557324,1.689114648,3.800507959,2.744811304
110+04698,2018,1.90025398,3.589368628,4.856204614,3.378229297
110+04698,2019,1.90025398,3.589368628,4.645065283,2.111393311
110+04698,2020,2.111393311,6.123040601,2.533671973,4.222786621
110+04699,2017,0.844557324,1.689114648,3.800507959,2.744811304
110+04699,2018,1.90025398,3.589368628,4.856204614,3.378229297
110+04699,2019,1.90025398,3.589368628,4.645065283,2.111393311
110+04699,2020,2.111393311,6.123040601,2.533671973,4.222786621
110+04700,2017,0.844557324,1.689114648,3.800507959,2.744811304
110+04700,2018,1.90025398,3.589368628,4.856204614,3.378229297
110+04700,2019,1.90025398,3.589368628,4.645065283,2.111393311
110+04700,2020,2.111393311,6.123040601,2.533671973,4.222786621
110+04701,2017,0.844557324,1.689114648,3.800507959,2.744811304
110+04701,2018,1.90025398,3.589368628,4.856204614,3.378229297
110+04701,2019,1.90025398,3.589368628,4.645065283,2.111393311
110+04701,2020,2.111393311,6.123040601,2.533671973,4.222786621
110+04702,2017,0.844557324,1.689114648,3.800507959,2.744811304
110+04702,2018,1.90025398,3.589368628,4.856204614,3.378229297
110+04702,2019,1.90025398,3.589368628,4.645065283,2.111393311
110+04702,2020,2.111393311,6.123040601,2.533671973,4.222786621
110+04703,2017,11.00349038,15.71927197,12.400759,8.732928871
110+04703,2018,11.87678326,17.46585774,16.06858912,9.606221758
110+04703,2019,13.97268619,23.2295908,15.36995481,15.71927197
110+04703,2020,6.113050209,11.87678326,8.558270293,11.70212469
110+04704,2017,11.00349038,15.71927197,12.400759,8.732928871
110+04704,2018,11.87678326,17.46585774,16.06858912,9.606221758
110+04704,2019,13.97268619,23.2295908,15.36995481,15.71927197
110+04704,2020,6.113050209,11.87678326,8.558270293,11.70212469
110+04705,2017,11.00349038,15.71927197,12.400759,8.732928871
110+04705,2018,11.87678326,17.46585774,16.06858912,9.606221758
110+04705,2019,13.97268619,23.2295908,15.36995481,15.71927197
110+04705,2020,6.113050209,11.87678326,8.558270293,11.70212469
110+04706,2017,11.00349038,15.71927197,12.400759,8.732928871
110+04706,2018,11.87678326,17.46585774,16.06858912,9.606221758
110+04706,2019,13.97268619,23.2295908,15.36995481,15.71927197
110+04706,2020,6.113050209,11.87678326,8.558270293,11.70212469
110+04707,2017,3.359565647,3.005927158,4.597300359,4.066842625
110+04707,2018,2.29865018,3.359565647,5.658215827,4.24366187
110+04707,2019,1.94501169,1.414553957,2.829107913,1.768192446
110+04707,2020,4.066842625,3.182746402,3.713204136,1.591373201
110+04708,2017,3.359565647,3.005927158,4.597300359,4.066842625
110+04708,2018,2.29865018,3.359565647,5.658215827,4.24366187
110+04708,2019,1.94501169,1.414553957,2.829107913,1.768192446
110+04708,2020,4.066842625,3.182746402,3.713204136,1.591373201
110+04709,2017,3.359565647,3.005927158,4.597300359,4.066842625
110+04709,2018,2.29865018,3.359565647,5.658215827,4.24366187
110+04709,2019,1.94501169,1.414553957,2.829107913,1.768192446
110+04709,2020,4.066842625,3.182746402,3.713204136,1.591373201
110+04710,2017,3.359565647,3.005927158,4.597300359,4.066842625
110+04710,2018,2.29865018,3.359565647,5.658215827,4.24366187
110+04710,2019,1.94501169,1.414553957,2.829107913,1.768192446
110+04710,2020,4.066842625,3.182746402,3.713204136,1.591373201
110+04711,2017,3.359565647,3.005927158,4.597300359,4.066842625
110+04711,2018,2.29865018,3.359565647,5.658215827,4.24366187
110+04711,2019,1.94501169,1.414553957,2.829107913,1.768192446
110+04711,2020,4.066842625,3.182746402,3.713204136,1.591373201
110+04728,2017,1.258203311,1.677604414,1.677604414,1.537804047
110+04728,2018,1.537804047,0.978602575,2.236805886,1.398003679
110+04728,2019,1.398003679,2.097005518,1.258203311,0.699001839
110+04728,2020,1.118402943,1.258203311,2.097005518,0.699001839
110+04729,2017,1.258203311,1.677604414,1.677604414,1.537804047
110+04729,2018,1.537804047,0.978602575,2.236805886,1.398003679
110+04729,2019,1.398003679,2.097005518,1.258203311,0.699001839
110+04729,2020,1.118402943,1.258203311,2.097005518,0.699001839
110+04730,2017,1.258203311,1.677604414,1.677604414,1.537804047
110+04730,2018,1.537804047,0.978602575,2.236805886,1.398003679
110+04730,2019,1.398003679,2.097005518,1.258203311,0.699001839
110+04730,2020,1.118402943,1.258203311,2.097005518,0.699001839
